,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,André Silva,33.0,pt POR,FW,24-199,75.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,18.0,0.0,0.0,1.0,0.2,0.2,0.3,1.0,0.0,17.0,26.0,65.4,2.0,15.0,3.0,0.0,0.0,282.0,64.0,10.0,15.0,66.7,5.0,7.0,71.4,2.0,3.0,66.7,1.0,1.0,1.0,0.0,22.0,4.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,7.0,1.0,17.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,22.2,3.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,23.0,7.0,3.0,27.0,0.0,0.0,0.0,114.0,64.0,2.0,0.0,2.0,0.0,36.0,20.0,55.6,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,7.0,30.0
1,Bas Dost,9.0,nl NED,FW,30-358,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,3.0,5.0,60.0,1.0,1.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,1.0,1.0,100.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Filip Kostić,10.0,rs SRB,LW,27-204,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,19.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,22.0,37.0,59.5,2.0,31.0,5.0,1.0,1.0,363.0,107.0,11.0,17.0,64.7,8.0,14.0,57.1,1.0,4.0,25.0,1.0,3.0,1.0,0.0,36.0,1.0,1.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,20.0,9.0,8.0,28.0,8.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,21.1,9.0,6.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,10.0,24.0,16.0,4.0,44.0,100.0,1.0,0.0,208.0,163.0,3.0,3.0,2.0,1.0,44.0,36.0,81.8,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
3,Danny da Costa,24.0,de GER,RW,26-315,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,25.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0,26.0,61.5,1.0,16.0,1.0,0.0,0.0,244.0,104.0,12.0,13.0,92.3,2.0,5.0,40.0,2.0,6.0,33.3,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,9.0,6.0,17.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,5.0,20.0,5.0,15.0,5.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,10.0,24.0,8.0,1.0,40.0,0.0,0.0,0.0,31.0,11.0,0.0,0.0,2.0,4.0,35.0,23.0,65.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,60.0
4,Erik Durm,25.0,de GER,RW,28-011,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,5.0,0.0,0.0,0.0,66.0,21.0,1.0,1.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,1.0,7.0,6.0,85.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Mijat Gaćinović,11.0,rs SRB,AM,25-105,70.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,26.0,2.0,0.0,3.0,0.3,0.3,0.1,4.0,1.0,11.0,19.0,57.9,0.0,17.0,2.0,5.0,6.0,238.0,56.0,3.0,5.0,60.0,5.0,9.0,55.6,3.0,5.0,60.0,1.0,0.0,1.0,1.0,18.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,3.0,4.0,12.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,5.0,19.2,2.0,15.0,9.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,6.0,17.0,8.0,1.0,27.0,83.3,5.0,1.0,71.0,34.0,1.0,0.0,0.0,1.0,22.0,17.0,77.3,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
6,Djibril Sow,8.0,ch SUI,AM,23-107,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,11.0,81.8,1.0,9.0,1.0,0.0,0.0,208.0,60.0,1.0,1.0,100.0,6.0,6.0,100.0,2.0,4.0,50.0,1.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,8.0,2.0,0.0,14.0,0.0,0.0,0.0,53.0,36.0,0.0,0.0,0.0,2.0,6.0,5.0,83.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
7,Sebastian Rode,17.0,de GER,DM,29-225,70.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,22.0,5.0,1.0,2.0,0.0,0.0,0.3,2.0,2.0,35.0,44.0,79.5,2.0,24.0,0.0,1.0,1.0,715.0,200.0,17.0,19.0,89.5,11.0,12.0,91.7,7.0,11.0,63.6,2.0,1.0,0.0,0.0,40.0,4.0,2.0,0.0,5.0,4.0,0.0,2.0,0.0,2.0,0.0,21.0,15.0,8.0,6.0,31.0,5.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,45.5,12.0,7.0,3.0,0.0,0.0,2.0,6.0,0.0,0.0,3.0,18.0,33.0,8.0,0.0,52.0,100.0,1.0,0.0,65.0,9.0,0.0,0.0,0.0,3.0,30.0,29.0,96.7,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3
8,Daichi Kamada,15.0,jp JPN,DM,23-292,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,10.0,6.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Gelson Fernandes,5.0,ch SUI,DM,33-264,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,23.0,27.0,85.2,2.0,11.0,0.0,0.0,0.0,412.0,148.0,12.0,14.0,85.7,9.0,10.0,90.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,27.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,7.0,5.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,26.1,14.0,8.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,3.0,12.0,20.0,2.0,0.0,34.0,0.0,0.0,0.0,46.0,20.0,0.0,0.0,0.0,0.0,19.0,17.0,89.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,100.0
