,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Rodrigo Palacio,24.0,ar ARG,FW,37-361,90.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,64.0,24.0,2.0,0.0,1.0,0.6,0.6,0.5,5.0,1.0,35.0,44.0,79.5,5.0,46.0,7.0,0.0,5.0,595.0,121.0,19.0,22.0,86.4,12.0,15.0,80.0,4.0,5.0,80.0,2.0,1.0,3.0,1.0,42.0,2.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,12.0,5.0,30.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,50.0,1.0,7.0,29.2,0.0,6.0,18.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,3.0,23.0,40.0,11.0,62.0,0.0,0.0,0.0,234.0,103.0,1.0,3.0,5.0,5.0,72.0,50.0,69.4,25.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,8.0,4.0,66.7
1,Nicola Sansone,10.0,it ITA,LW,28-144,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,1.0,4.0,0.0,0.0,0.0,115.0,74.0,3.0,3.0,100.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,1.0,1.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Musa Barrow,99.0,gm GAM,"LW,WB",21-079,79.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,65.0,23.0,3.0,0.0,2.0,0.3,0.3,0.0,3.0,1.0,37.0,48.0,77.1,6.0,43.0,3.0,2.0,4.0,699.0,212.0,15.0,19.0,78.9,15.0,18.0,83.3,6.0,9.0,66.7,0.0,2.0,1.0,1.0,43.0,5.0,0.0,0.0,13.0,4.0,3.0,3.0,2.0,0.0,0.0,32.0,5.0,11.0,7.0,36.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,9.0,39.1,6.0,3.0,14.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,6.0,26.0,35.0,7.0,60.0,50.0,2.0,0.0,233.0,100.0,2.0,0.0,2.0,4.0,59.0,48.0,81.4,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,1.0,66.7
3,Riccardo Orsolini,7.0,it ITA,RW,23-008,71.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,45.0,19.0,0.0,0.0,0.0,0.4,0.4,0.1,4.0,0.0,27.0,36.0,75.0,4.0,37.0,4.0,1.0,3.0,460.0,98.0,15.0,17.0,88.2,8.0,11.0,72.7,4.0,6.0,66.7,1.0,1.0,2.0,0.0,34.0,2.0,1.0,0.0,12.0,1.0,4.0,1.0,0.0,1.0,0.0,24.0,4.0,8.0,31.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,36.8,0.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,32.0,8.0,44.0,33.3,1.0,0.0,217.0,83.0,0.0,1.0,1.0,1.0,53.0,38.0,71.7,12.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
4,Andreas Skov Olsen,17.0,dk DEN,"WB,RW",20-034,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,8.0,9.0,88.9,0.0,12.0,1.0,1.0,2.0,146.0,18.0,3.0,3.0,100.0,2.0,3.0,66.7,2.0,2.0,100.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,11.0,5.0,15.0,50.0,1.0,0.0,38.0,7.0,0.0,0.0,2.0,1.0,13.0,11.0,84.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Roberto Soriano,21.0,it ITA,AM,28-358,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,69.0,21.0,2.0,0.0,2.0,0.1,0.1,0.1,6.0,1.0,48.0,61.0,78.7,4.0,54.0,11.0,3.0,4.0,712.0,182.0,28.0,33.0,84.8,14.0,20.0,70.0,3.0,4.0,75.0,3.0,5.0,3.0,1.0,59.0,2.0,1.0,0.0,17.0,2.0,5.0,0.0,0.0,0.0,0.0,49.0,4.0,8.0,12.0,47.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,28.6,1.0,12.0,8.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,34.0,38.0,6.0,67.0,75.0,3.0,0.0,365.0,183.0,5.0,0.0,2.0,2.0,68.0,57.0,83.8,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
6,Jerdy Schouten,30.0,nl NED,"DM,CM",23-020,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,65.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,57.0,87.7,4.0,47.0,3.0,3.0,4.0,1022.0,167.0,16.0,18.0,88.9,22.0,26.0,84.6,10.0,11.0,90.9,0.0,4.0,4.0,0.0,56.0,1.0,1.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,38.0,12.0,7.0,6.0,43.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,18.2,3.0,7.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,12.0,33.0,25.0,0.0,64.0,75.0,3.0,0.0,161.0,79.0,1.0,0.0,0.0,1.0,45.0,41.0,91.1,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,6.0,25.0
7,Andrea Poli,16.0,it ITA,"DM,CM",30-125,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,74.0,21.0,1.0,1.0,2.0,0.1,0.1,0.7,4.0,0.0,62.0,68.0,91.2,14.0,53.0,5.0,1.0,1.0,1183.0,390.0,24.0,27.0,88.9,29.0,31.0,93.5,9.0,9.0,100.0,3.0,9.0,6.0,2.0,65.0,3.0,3.0,1.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,47.0,11.0,10.0,10.0,55.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,5.0,23.8,6.0,11.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,10.0,43.0,25.0,3.0,71.0,100.0,1.0,0.0,282.0,117.0,2.0,0.0,1.0,0.0,54.0,54.0,100.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
8,Stefano Denswil,4.0,nl NED,"LB,CB",26-270,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,7.0,3.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,67.0,79.0,84.8,8.0,48.0,9.0,0.0,1.0,1516.0,840.0,21.0,22.0,95.5,31.0,36.0,86.1,15.0,19.0,78.9,2.0,8.0,0.0,0.0,60.0,19.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,43.0,3.0,33.0,44.0,12.0,4.0,19.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,3.0,3.0,100.0,0.0,2.0,28.6,3.0,4.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,3.0,40.0,52.0,12.0,0.0,75.0,0.0,0.0,0.0,357.0,206.0,2.0,0.0,1.0,0.0,52.0,52.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,100.0
9,Danilo Larangeira,23.0,br BRA,CB,35-267,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,43.0,50.0,86.0,3.0,36.0,2.0,1.0,1.0,1053.0,323.0,9.0,9.0,100.0,23.0,23.0,100.0,11.0,17.0,64.7,0.0,4.0,0.0,0.0,46.0,4.0,4.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,10.0,5.0,41.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,41.7,9.0,3.0,0.0,1.0,0.0,0.0,2.0,8.0,0.0,4.0,25.0,36.0,2.0,0.0,57.0,100.0,1.0,0.0,196.0,98.0,1.0,0.0,1.0,0.0,39.0,39.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,2.0,66.7
