,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Giovanni Simeone,99.0,ar ARG,FW,24-211,83.0,1.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,20.0,13.0,1.0,0.0,0.0,1.1,1.1,0.2,3.0,1.0,10.0,10.0,100.0,1.0,13.0,4.0,1.0,1.0,277.0,89.0,1.0,1.0,100.0,4.0,4.0,100.0,4.0,4.0,100.0,2.0,0.0,1.0,1.0,9.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,1.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,11.0,5.0,19.0,100.0,1.0,0.0,112.0,46.0,0.0,2.0,2.0,0.0,32.0,16.0,50.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
1,Alberto Paloschi,9.0,it ITA,FW,30-028,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,João Pedro,10.0,it ITA,AM,27-329,90.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,50.0,15.0,1.0,1.0,1.0,1.0,0.2,0.1,3.0,0.0,20.0,33.0,60.6,1.0,26.0,2.0,0.0,1.0,379.0,58.0,10.0,13.0,76.9,6.0,12.0,50.0,4.0,7.0,57.1,2.0,1.0,1.0,0.0,33.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,11.0,1.0,24.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,5.0,33.3,1.0,6.0,8.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,8.0,28.0,17.0,4.0,49.0,0.0,0.0,0.0,158.0,79.0,1.0,0.0,1.0,2.0,46.0,35.0,76.1,20.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,7.0,5.0,0.0,100.0
3,Radja Nainggolan,4.0,be BEL,AM,31-273,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,60.0,10.0,1.0,0.0,2.0,0.2,0.2,0.3,10.0,0.0,36.0,45.0,80.0,5.0,36.0,4.0,0.0,0.0,835.0,189.0,8.0,10.0,80.0,20.0,22.0,90.9,8.0,12.0,66.7,5.0,3.0,0.0,0.0,41.0,4.0,1.0,0.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,26.0,10.0,9.0,8.0,34.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,2.0,6.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0,4.0,8.0,36.0,23.0,4.0,56.0,0.0,0.0,0.0,269.0,98.0,2.0,1.0,2.0,4.0,51.0,38.0,74.5,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,50.0
4,Artur Ioniță,21.0,md MDA,CM,29-168,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,17.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0,29.0,75.9,2.0,20.0,2.0,1.0,1.0,315.0,87.0,13.0,14.0,92.9,8.0,13.0,61.5,1.0,1.0,100.0,0.0,2.0,0.0,0.0,28.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,6.0,9.0,5.0,20.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,2.0,50.0,1.0,3.0,17.6,5.0,9.0,3.0,0.0,0.0,3.0,3.0,2.0,0.0,2.0,6.0,30.0,7.0,1.0,41.0,100.0,1.0,0.0,104.0,45.0,0.0,1.0,3.0,0.0,33.0,23.0,69.7,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,20.0
5,Nahitan Nández,18.0,uy URU,CM,24-035,90.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,36.0,16.0,2.0,1.0,2.0,0.1,0.1,0.0,8.0,1.0,17.0,27.0,63.0,4.0,25.0,5.0,1.0,1.0,297.0,98.0,7.0,9.0,77.8,8.0,10.0,80.0,2.0,5.0,40.0,1.0,2.0,0.0,0.0,26.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,5.0,7.0,2.0,22.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,25.0,7.0,6.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,8.0,18.0,15.0,3.0,35.0,100.0,1.0,0.0,186.0,95.0,3.0,1.0,0.0,1.0,33.0,24.0,72.7,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
6,Luca Cigarini,8.0,it ITA,DM,33-226,71.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,59.0,12.0,1.0,0.0,1.0,0.1,0.1,0.3,5.0,1.0,38.0,49.0,77.6,6.0,35.0,4.0,0.0,0.0,741.0,258.0,15.0,18.0,83.3,18.0,20.0,90.0,5.0,11.0,45.5,3.0,5.0,1.0,0.0,39.0,10.0,3.0,1.0,6.0,4.0,1.0,7.0,2.0,2.0,1.0,24.0,9.0,16.0,5.0,40.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,9.0,75.0,3.0,6.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,13.0,31.0,19.0,2.0,50.0,0.0,0.0,0.0,180.0,84.0,2.0,1.0,1.0,3.0,35.0,34.0,97.1,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,33.3
7,Christian Oliva,17.0,uy URU,DM,23-245,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,3.0,2.0,0.0,0.0,0.0,77.0,40.0,2.0,3.0,66.7,1.0,1.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,0.0,8.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
8,Luca Pellegrini,33.0,it ITA,LB,20-331,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,57.0,10.0,3.0,1.0,1.0,0.1,0.1,0.9,2.0,1.0,31.0,43.0,72.1,2.0,34.0,5.0,2.0,3.0,647.0,342.0,6.0,11.0,54.5,20.0,22.0,90.9,4.0,8.0,50.0,1.0,1.0,0.0,0.0,34.0,9.0,0.0,0.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,15.0,9.0,30.0,2.0,2.0,9.0,0.0,0.0,1.0,2.0,4.0,3.0,0.0,2.0,1.0,1.0,1.0,100.0,0.0,4.0,40.0,7.0,2.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,3.0,20.0,27.0,13.0,2.0,48.0,66.7,3.0,0.0,191.0,98.0,2.0,1.0,1.0,1.0,36.0,34.0,94.4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
9,Ragnar Klavan,15.0,ee EST,CB,34-094,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,43.0,88.4,3.0,28.0,3.0,0.0,0.0,796.0,206.0,10.0,10.0,100.0,20.0,21.0,95.2,7.0,11.0,63.6,1.0,3.0,0.0,0.0,42.0,1.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,4.0,32.0,7.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,50.0,5.0,2.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,14.0,33.0,23.0,0.0,0.0,50.0,0.0,0.0,0.0,236.0,139.0,0.0,0.0,0.0,0.0,37.0,37.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0
