,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Erik Thommy,15.0,de GER,"FW,LM",25-270,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,47.0,12.0,2.0,0.0,0.0,0.0,0.0,0.3,5.0,0.0,26.0,36.0,72.2,2.0,33.0,6.0,2.0,3.0,520.0,107.0,11.0,14.0,78.6,10.0,12.0,83.3,4.0,5.0,80.0,1.0,2.0,2.0,1.0,31.0,5.0,1.0,1.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,19.0,10.0,7.0,5.0,24.0,3.0,3.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,2.0,6.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,20.0,26.0,4.0,43.0,66.7,2.0,0.0,277.0,199.0,5.0,2.0,3.0,2.0,42.0,36.0,85.7,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
1,Kenan Karaman,11.0,tr TUR,FW,26-072,78.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,21.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,14.0,71.4,0.0,14.0,3.0,1.0,1.0,164.0,20.0,3.0,5.0,60.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,42.1,0.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,4.0,20.0,100.0,1.0,0.0,88.0,27.0,0.0,0.0,3.0,0.0,31.0,19.0,61.3,9.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,25.0
2,Steven Skrzybski,20.0,de GER,FW,27-180,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,0.0,62.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,9.0,4.0,44.4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Markus Suttner,29.0,at AUT,LM,33-030,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,25.0,31.0,80.6,6.0,24.0,2.0,0.0,1.0,517.0,216.0,12.0,14.0,85.7,10.0,11.0,90.9,3.0,6.0,50.0,2.0,1.0,2.0,1.0,27.0,4.0,2.0,0.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,18.0,8.0,5.0,24.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,40.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,11.0,23.0,10.0,0.0,38.0,0.0,0.0,0.0,98.0,52.0,0.0,0.0,3.0,1.0,33.0,31.0,93.9,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
4,Rouwen Hennings,28.0,de GER,FW,32-262,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,25.0,0.0,6.0,0.0,0.0,0.0,24.0,0.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0.0,10.0,0.0,0.0,0.0,24.0,7.0,0.0,0.0,0.0,1.0,8.0,7.0,87.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5,Valon Berisha,10.0,xk KVX,RM,27-099,68.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,36.0,22.0,3.0,0.0,0.0,0.2,0.2,0.1,3.0,0.0,23.0,26.0,88.5,4.0,21.0,1.0,0.0,1.0,321.0,70.0,16.0,16.0,100.0,6.0,7.0,85.7,1.0,1.0,100.0,3.0,2.0,2.0,0.0,25.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10.0,3.0,2.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,3.0,66.7,1.0,8.0,36.4,2.0,16.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,20.0,10.0,4.0,35.0,0.0,0.0,0.0,53.0,18.0,0.0,0.0,2.0,0.0,34.0,25.0,73.5,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
6,Adam Bodzek,13.0,de GER,DM,34-252,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,100.0,0.0,9.0,0.0,0.0,0.0,264.0,63.0,1.0,1.0,100.0,4.0,4.0,100.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,10.0,0.0,0.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,9.0,8.0,88.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Marcel Sobottka,31.0,de GER,DM,26-021,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.0,90.6,2.0,25.0,0.0,2.0,2.0,511.0,60.0,10.0,11.0,90.9,17.0,19.0,89.5,2.0,2.0,100.0,0.0,0.0,1.0,0.0,30.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,0.0,3.0,27.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,13.0,21.0,3.0,0.0,33.0,100.0,2.0,1.0,74.0,28.0,1.0,0.0,1.0,2.0,27.0,26.0,96.3,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
8,Alfredo Morales,6.0,us USA,RM,30-004,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,2.0,7.0,0.0,0.0,0.0,97.0,65.0,2.0,4.0,50.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,2.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,2.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,8.0,6.0,0.0,17.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,1.0,1.0,11.0,11.0,100.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,100.0
9,Kevin Stöger,22.0,at AUT,DM,26-263,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,15.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,53.0,64.0,82.8,5.0,44.0,1.0,0.0,1.0,1096.0,228.0,19.0,19.0,100.0,25.0,29.0,86.2,9.0,13.0,69.2,0.0,3.0,1.0,1.0,57.0,7.0,6.0,0.0,8.0,5.0,2.0,1.0,0.0,0.0,0.0,37.0,16.0,11.0,49.0,11.0,2.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,5.0,6.0,4.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,19.0,39.0,17.0,0.0,67.0,0.0,0.0,0.0,137.0,58.0,0.0,0.0,0.0,0.0,53.0,52.0,98.1,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
