,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Ángel Rodríguez,9.0,es ESP,FW,32-155,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,33.0,24.0,1.0,1.0,0.0,0.4,0.4,0.0,1.0,0.0,12.0,20.0,60.0,1.0,24.0,2.0,0.0,0.0,139.0,17.0,8.0,13.0,61.5,3.0,5.0,60.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,2.0,5.0,13.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.2,0.0,11.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,16.0,17.0,4.0,31.0,0.0,0.0,0.0,102.0,39.0,1.0,0.0,4.0,2.0,56.0,26.0,46.4,9.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
1,Jaime Mata,7.0,es ESP,FW,30-339,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,25.0,0.0,0.0,0.0,0.1,0.1,0.2,1.0,0.0,8.0,12.0,66.7,1.0,8.0,0.0,0.0,0.0,98.0,30.0,7.0,8.0,87.5,1.0,3.0,33.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,24.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,3.0,15.0,0.0,0.0,0.0,30.0,12.0,0.0,0.0,1.0,0.0,26.0,12.0,46.2,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,75.0
2,Jorge Molina,19.0,es ESP,FW,37-159,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,9.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,6.0,10.0,60.0,1.0,11.0,3.0,0.0,0.0,82.0,33.0,3.0,4.0,75.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,14.0,3.0,16.0,0.0,0.0,0.0,62.0,30.0,1.0,1.0,1.0,2.0,24.0,13.0,54.2,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,33.3
3,Marc Cucurella,15.0,es ESP,"LB,LM",21-068,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56.0,35.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,39.0,47.0,83.0,5.0,28.0,4.0,0.0,0.0,645.0,243.0,20.0,21.0,95.2,14.0,17.0,82.4,4.0,7.0,57.1,0.0,5.0,1.0,0.0,38.0,9.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,9.0,6.0,30.0,8.0,3.0,6.0,0.0,2.0,2.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,2.0,50.0,1.0,8.0,22.9,13.0,16.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,15.0,28.0,18.0,0.0,47.0,0.0,0.0,0.0,137.0,85.0,2.0,0.0,1.0,0.0,31.0,27.0,87.1,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
4,Nemanja Maksimović,20.0,rs SRB,CM,24-245,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,37.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,64.3,0.0,7.0,0.0,0.0,0.0,163.0,8.0,3.0,6.0,50.0,3.0,4.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,27.0,7.0,21.0,9.0,0.0,0.0,2.0,7.0,1.0,0.0,1.0,5.0,16.0,2.0,1.0,20.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,33.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,100.0
5,Mauro Arambarri,18.0,uy URU,CM,23-363,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,44.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,29.0,69.0,4.0,17.0,3.0,2.0,2.0,470.0,82.0,5.0,8.0,62.5,9.0,13.0,69.2,6.0,7.0,85.7,0.0,5.0,1.0,0.0,29.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,5.0,9.0,5.0,18.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,8.0,18.2,8.0,33.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,24.0,10.0,0.0,35.0,100.0,2.0,0.0,90.0,40.0,0.0,0.0,0.0,0.0,23.0,21.0,91.3,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0
6,Jason,23.0,es ESP,RM,25-084,71.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,26.0,3.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,13.0,24.0,54.2,2.0,26.0,2.0,1.0,4.0,244.0,112.0,6.0,8.0,75.0,4.0,6.0,66.7,2.0,9.0,22.2,1.0,0.0,1.0,0.0,20.0,4.0,4.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,7.0,9.0,8.0,3.0,19.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,25.0,3.0,7.0,26.9,5.0,11.0,10.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,8.0,16.0,15.0,1.0,34.0,25.0,1.0,0.0,120.0,45.0,0.0,0.0,2.0,2.0,29.0,22.0,75.9,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
7,Francisco Portillo,8.0,es ESP,RM,29-107,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,6.0,8.0,75.0,2.0,8.0,0.0,0.0,0.0,130.0,58.0,1.0,2.0,50.0,5.0,5.0,100.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.5,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,10.0,0.0,0.0,0.0,34.0,4.0,1.0,0.0,0.0,1.0,8.0,7.0,87.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8,Allan Nyom,12.0,cm CMR,LB,31-141,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,63.6,0.0,7.0,1.0,0.0,0.0,196.0,75.0,3.0,3.0,100.0,2.0,4.0,50.0,2.0,4.0,50.0,0.0,1.0,1.0,1.0,9.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,4.0,3.0,0.0,11.0,0.0,0.0,0.0,19.0,13.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,Kenedy,25.0,br BRA,LM,23-232,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,14.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,10.0,15.0,66.7,0.0,23.0,2.0,3.0,4.0,180.0,55.0,3.0,6.0,50.0,5.0,6.0,83.3,1.0,2.0,50.0,1.0,0.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,11.0,1.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,21.4,4.0,8.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,11.0,13.0,1.0,22.0,75.0,3.0,0.0,144.0,93.0,1.0,1.0,0.0,2.0,20.0,15.0,75.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
