,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Lautaro Martínez,10.0,ar ARG,FW,22-304,82.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,39.0,12.0,0.0,0.0,1.0,0.7,0.7,0.1,2.0,0.0,20.0,30.0,66.7,3.0,34.0,4.0,2.0,3.0,301.0,86.0,14.0,19.0,73.7,3.0,6.0,50.0,3.0,3.0,100.0,1.0,2.0,0.0,0.0,30.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,11.0,1.0,7.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,50.0,0.0,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,21.0,5.0,39.0,66.7,2.0,0.0,100.0,62.0,0.0,1.0,3.0,1.0,60.0,35.0,58.3,18.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
1,Alexis Sánchez,7.0,cl CHI,FW,31-185,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,8.0,10.0,80.0,1.0,11.0,0.0,3.0,3.0,85.0,47.0,4.0,4.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,9.0,100.0,3.0,0.0,45.0,5.0,0.0,0.0,0.0,0.0,10.0,9.0,90.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Romelu Lukaku,9.0,be BEL,FW,27-039,90.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,40.0,3.0,0.0,0.0,0.0,1.2,1.2,0.1,5.0,2.0,18.0,23.0,78.3,4.0,28.0,3.0,0.0,1.0,247.0,49.0,12.0,13.0,92.3,4.0,7.0,57.1,1.0,2.0,50.0,2.0,1.0,3.0,0.0,23.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,9.0,2.0,12.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,27.0,6.0,40.0,0.0,1.0,0.0,78.0,43.0,0.0,0.0,4.0,4.0,65.0,36.0,55.4,16.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,40.0
3,Christian Eriksen,24.0,dk DEN,AM,28-128,77.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,64.0,7.0,2.0,0.0,0.0,0.3,0.3,1.3,7.0,1.0,47.0,57.0,82.5,1.0,40.0,4.0,0.0,0.0,875.0,187.0,25.0,28.0,89.3,14.0,18.0,77.8,8.0,10.0,80.0,5.0,6.0,0.0,0.0,46.0,11.0,4.0,1.0,6.0,1.0,4.0,3.0,0.0,2.0,0.0,33.0,15.0,9.0,7.0,45.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,3.0,42.9,0.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,34.0,28.0,5.0,54.0,0.0,0.0,0.0,184.0,61.0,1.0,1.0,2.0,0.0,51.0,40.0,78.4,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0
4,Borja Valero,20.0,es ESP,DM,35-161,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,4.0,2.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,9.0,9.0,100.0,1.0,8.0,0.0,0.0,0.0,238.0,30.0,2.0,2.0,100.0,3.0,3.0,100.0,4.0,4.0,100.0,0.0,2.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,8.0,2.0,0.0,11.0,0.0,0.0,0.0,60.0,15.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5,Roberto Gagliardini,5.0,it ITA,"DM,CM",26-075,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,67.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,53.0,94.3,5.0,52.0,4.0,0.0,1.0,842.0,221.0,22.0,23.0,95.7,26.0,27.0,96.3,1.0,2.0,50.0,0.0,4.0,0.0,0.0,53.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,9.0,5.0,4.0,47.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,7.0,63.6,2.0,6.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,14.0,41.0,19.0,1.0,67.0,0.0,0.0,0.0,273.0,154.0,3.0,0.0,2.0,1.0,58.0,52.0,89.7,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
6,Nicolò Barella,23.0,it ITA,"DM,CM",23-135,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,16.0,2.0,1.0,0.0,0.0,0.0,0.2,2.0,0.0,43.0,53.0,81.1,9.0,44.0,2.0,1.0,1.0,891.0,263.0,12.0,15.0,80.0,24.0,26.0,92.3,7.0,8.0,87.5,1.0,6.0,3.0,0.0,52.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,10.0,6.0,5.0,45.0,1.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,8.0,50.0,4.0,5.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,6.0,43.0,14.0,1.0,57.0,100.0,1.0,0.0,225.0,69.0,1.0,0.0,1.0,0.0,54.0,48.0,88.9,5.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
7,Ashley Young,15.0,eng ENG,WB,34-348,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,4.0,1.0,0.0,1.0,0.0,0.0,0.1,5.0,0.0,47.0,52.0,90.4,7.0,44.0,8.0,0.0,0.0,778.0,189.0,21.0,22.0,95.5,23.0,25.0,92.0,2.0,2.0,100.0,2.0,1.0,1.0,0.0,46.0,6.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,15.0,0.0,6.0,40.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,32.0,26.0,2.0,56.0,0.0,0.0,0.0,283.0,196.0,4.0,0.0,2.0,1.0,53.0,47.0,88.7,7.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
8,Cristiano Biraghi,34.0,it ITA,WB,27-294,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,12.0,15.0,80.0,0.0,11.0,1.0,0.0,0.0,202.0,40.0,5.0,5.0,100.0,6.0,8.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,9.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,40.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,0.0,16.0,0.0,0.0,0.0,34.0,14.0,0.0,0.0,0.0,0.0,17.0,13.0,76.5,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Antonio Candreva,87.0,it ITA,WB,33-114,72.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,56.0,5.0,2.0,0.0,2.0,0.2,0.2,0.7,1.0,1.0,32.0,49.0,65.3,4.0,37.0,6.0,0.0,1.0,624.0,208.0,18.0,21.0,85.7,9.0,17.0,52.9,5.0,10.0,50.0,1.0,2.0,3.0,2.0,44.0,5.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,21.0,15.0,13.0,10.0,30.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,12.0,31.0,17.0,2.0,51.0,0.0,0.0,0.0,167.0,105.0,1.0,0.0,1.0,0.0,51.0,41.0,80.4,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
