,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Quique,7.0,es ESP,FW,29-128,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,34.0,17.0,1.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,16.0,22.0,72.7,1.0,16.0,2.0,1.0,1.0,228.0,28.0,11.0,13.0,84.6,3.0,6.0,50.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,21.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.4,0.0,7.0,10.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,3.0,15.0,16.0,2.0,33.0,100.0,1.0,0.0,57.0,35.0,0.0,1.0,5.0,0.0,57.0,26.0,45.6,9.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,5.0,5.0,50.0
1,Takashi Inui,22.0,jp JPN,LW,31-111,90.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,38.0,6.0,1.0,1.0,0.0,0.4,0.4,0.0,2.0,0.0,20.0,29.0,69.0,2.0,31.0,5.0,1.0,3.0,326.0,87.0,9.0,11.0,81.8,9.0,10.0,90.0,1.0,6.0,16.7,2.0,1.0,1.0,0.0,28.0,1.0,1.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,17.0,5.0,7.0,2.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,33.3,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,7.0,12.0,20.0,4.0,38.0,33.3,1.0,0.0,144.0,86.0,0.0,1.0,0.0,1.0,33.0,27.0,81.8,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,66.7
2,Pedro León,21.0,es ESP,RW,32-301,69.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,35.0,7.0,0.0,0.0,2.0,0.1,0.1,0.5,4.0,0.0,14.0,24.0,58.3,1.0,17.0,4.0,0.0,0.0,238.0,104.0,5.0,9.0,55.6,7.0,8.0,87.5,1.0,4.0,25.0,3.0,0.0,1.0,1.0,16.0,8.0,1.0,0.0,4.0,1.0,2.0,6.0,4.0,0.0,0.0,11.0,2.0,11.0,1.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,28.6,1.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,4.0,14.0,20.0,3.0,26.0,0.0,0.0,0.0,128.0,75.0,1.0,1.0,1.0,2.0,22.0,17.0,77.3,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
3,Gonzalo Escalante,5.0,ar ARG,RW,26-178,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,7.0,10.0,70.0,0.0,6.0,1.0,0.0,0.0,103.0,46.0,4.0,4.0,100.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,1.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,1.0,11.0,0.0,0.0,0.0,33.0,18.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
4,Fabián Orellana,14.0,cl CHI,AM,33-237,85.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,49.0,7.0,1.0,1.0,0.0,0.4,0.4,0.0,7.0,0.0,21.0,29.0,72.4,3.0,42.0,8.0,5.0,11.0,388.0,83.0,10.0,12.0,83.3,8.0,12.0,66.7,3.0,4.0,75.0,1.0,2.0,0.0,0.0,28.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,2.0,5.0,3.0,23.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,2.0,28.6,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,21.0,27.0,3.0,48.0,45.5,5.0,0.0,173.0,115.0,2.0,0.0,1.0,3.0,53.0,40.0,75.5,19.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
5,Charles,19.0,br BRA,AM,35-170,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,28.6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Papakouli Diop,8.0,sn SEN,DM,33-186,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,41.0,11.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0,30.0,73.3,6.0,22.0,2.0,1.0,1.0,498.0,153.0,5.0,8.0,62.5,14.0,17.0,82.4,3.0,4.0,75.0,1.0,6.0,0.0,0.0,29.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,9.0,2.0,23.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,33.3,2.0,2.0,18.2,1.0,9.0,1.0,1.0,0.0,2.0,4.0,1.0,0.0,2.0,10.0,27.0,5.0,1.0,40.0,100.0,1.0,0.0,73.0,42.0,1.0,0.0,0.0,0.0,22.0,21.0,95.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0
7,Edu Expósito,10.0,es ESP,DM,23-051,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,12.0,1.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,20.0,22.0,90.9,3.0,22.0,2.0,1.0,1.0,375.0,89.0,6.0,7.0,85.7,11.0,12.0,91.7,2.0,2.0,100.0,2.0,5.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,3.0,25.0,2.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,7.0,15.0,7.0,0.0,27.0,100.0,1.0,0.0,84.0,40.0,0.0,0.0,0.0,0.0,18.0,15.0,83.3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
8,José Ángel,15.0,es ESP,LB,30-016,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,60.0,5.0,2.0,0.0,2.0,0.0,0.0,0.3,5.0,0.0,28.0,47.0,59.6,7.0,32.0,3.0,0.0,0.0,720.0,496.0,5.0,6.0,83.3,14.0,16.0,87.5,8.0,23.0,34.8,3.0,7.0,2.0,2.0,36.0,11.0,2.0,0.0,2.0,5.0,8.0,1.0,0.0,1.0,0.0,14.0,5.0,28.0,32.0,4.0,3.0,8.0,0.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,20.0,1.0,4.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,6.0,20.0,29.0,16.0,0.0,49.0,0.0,0.0,0.0,212.0,133.0,3.0,0.0,0.0,1.0,27.0,27.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
9,Iván Ramis,4.0,es ESP,CB,34-331,63.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,17.0,82.4,2.0,14.0,0.0,1.0,1.0,300.0,122.0,5.0,5.0,100.0,7.0,8.0,87.5,2.0,4.0,50.0,0.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,7.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,5.0,10.0,16.0,1.0,1.0,27.0,100.0,1.0,0.0,63.0,5.0,0.0,0.0,0.0,0.0,13.0,12.0,92.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
