,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,M'Baye Niang,11.0,sn SEN,FW,24-361,82.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,32.0,12.0,0.0,0.0,0.0,1.0,1.0,0.1,1.0,0.0,14.0,19.0,73.7,2.0,20.0,0.0,1.0,1.0,242.0,61.0,7.0,8.0,87.5,4.0,5.0,80.0,2.0,3.0,66.7,1.0,1.0,0.0,0.0,18.0,1.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,1.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,14.0,7.0,31.0,100.0,1.0,0.0,92.0,15.0,0.0,0.0,4.0,2.0,47.0,25.0,53.2,8.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,7.0,30.0
1,Romain Del Castillo,22.0,fr FRA,FW,23-261,8.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,1.0,4.0,5.0,80.0,1.0,8.0,2.0,3.0,3.0,61.0,33.0,1.0,2.0,50.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,6.0,100.0,3.0,0.0,53.0,35.0,1.0,0.0,0.0,0.0,6.0,5.0,83.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
2,Clément Grenier,8.0,fr FRA,AM,28-342,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,28.0,78.6,1.0,22.0,5.0,0.0,0.0,318.0,58.0,14.0,17.0,82.4,7.0,7.0,100.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,25.0,3.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,2.0,3.0,2.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,2.0,10.0,2.0,8.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,22.0,8.0,1.0,30.0,0.0,0.0,0.0,99.0,53.0,0.0,0.0,0.0,0.0,31.0,23.0,74.2,5.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
3,Adrien Hunou,23.0,fr FRA,FW,25-330,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.8,2.0,0.0,7.0,11.0,63.6,0.0,10.0,4.0,0.0,0.0,79.0,35.0,6.0,7.0,85.7,1.0,3.0,33.3,0.0,1.0,0.0,2.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,2.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,12.0,0.0,0.0,0.0,118.0,76.0,3.0,1.0,0.0,0.0,16.0,9.0,56.3,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
4,Benjamin Bourigeaud,14.0,fr FRA,LM,25-335,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,45.0,34.0,2.0,0.0,2.0,0.1,0.1,0.0,2.0,0.0,26.0,37.0,70.3,4.0,22.0,4.0,0.0,0.0,541.0,165.0,12.0,13.0,92.3,5.0,9.0,55.6,7.0,12.0,58.3,0.0,2.0,1.0,1.0,30.0,7.0,4.0,0.0,7.0,4.0,3.0,2.0,0.0,1.0,1.0,19.0,5.0,13.0,1.0,34.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,11.0,32.4,6.0,22.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,26.0,14.0,1.0,38.0,0.0,0.0,0.0,98.0,61.0,1.0,0.0,0.0,3.0,41.0,29.0,70.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
5,James Lea Siliki,12.0,cm CMR,"CM,DM",23-186,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,20.0,2.0,1.0,1.0,0.0,0.0,0.3,2.0,0.0,27.0,34.0,79.4,1.0,26.0,4.0,0.0,0.0,393.0,68.0,15.0,17.0,88.2,7.0,8.0,87.5,3.0,7.0,42.9,1.0,1.0,0.0,0.0,33.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,20.0,9.0,5.0,17.0,12.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,8.0,40.0,5.0,14.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,12.0,28.0,7.0,1.0,44.0,0.0,0.0,0.0,204.0,148.0,1.0,1.0,0.0,3.0,30.0,30.0,100.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
6,Eduardo Camavinga,18.0,fr FRA,"CM,DM",17-035,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,64.0,23.0,4.0,1.0,1.0,0.3,0.3,0.0,3.0,1.0,44.0,50.0,88.0,3.0,49.0,3.0,3.0,3.0,860.0,130.0,15.0,16.0,93.8,23.0,26.0,88.5,6.0,8.0,75.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,7.0,47.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,2.0,14.0,60.9,7.0,16.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,3.0,17.0,48.0,4.0,1.0,64.0,100.0,3.0,0.0,201.0,62.0,0.0,1.0,0.0,2.0,48.0,44.0,91.7,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,50.0
7,Raphael Dias Belloli,7.0,br BRA,RM,23-001,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,19.0,1.0,0.0,2.0,0.0,0.0,0.2,6.0,0.0,21.0,37.0,56.8,1.0,32.0,8.0,3.0,6.0,333.0,128.0,12.0,15.0,80.0,5.0,9.0,55.6,2.0,8.0,25.0,3.0,0.0,1.0,0.0,30.0,7.0,2.0,0.0,9.0,3.0,4.0,4.0,0.0,2.0,1.0,19.0,7.0,11.0,27.0,5.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,26.3,6.0,8.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,22.0,25.0,6.0,41.0,50.0,3.0,0.0,188.0,127.0,1.0,3.0,3.0,2.0,48.0,34.0,70.8,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
8,Faitout Maouassa,17.0,fr FRA,LB,21-162,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,33.0,78.8,3.0,18.0,2.0,0.0,2.0,568.0,153.0,11.0,11.0,100.0,10.0,16.0,62.5,5.0,6.0,83.3,0.0,1.0,0.0,0.0,19.0,14.0,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,14.0,9.0,10.0,15.0,5.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,3.0,4.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,17.0,24.0,8.0,1.0,33.0,0.0,0.0,0.0,77.0,52.0,0.0,0.0,2.0,2.0,24.0,21.0,87.5,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
9,Joris Gnagnon,21.0,fr FRA,CB,22-336,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,2.0,0.0,0.0,0.0,70.0,18.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,1.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
10,Jérémy Morel,15.0,mg MAD,"CB,LB",35-257,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,39.0,49.0,79.6,1.0,33.0,2.0,0.0,0.0,911.0,338.0,9.0,12.0,75.0,20.0,23.0,87.0,10.0,13.0,76.9,0.0,2.0,1.0,1.0,45.0,4.0,0.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,32.0,8.0,9.0,38.0,5.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,37.5,7.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,4.0,35.0,21.0,1.0,0.0,51.0,0.0,0.0,0.0,146.0,71.0,0.0,0.0,0.0,0.0,37.0,37.0,100.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
11,Damien Da Silva,3.0,fr FRA,CB,31-212,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,51.0,90.2,2.0,39.0,1.0,0.0,0.0,1089.0,385.0,14.0,15.0,93.3,21.0,21.0,100.0,10.0,13.0,76.9,0.0,3.0,1.0,0.0,47.0,4.0,4.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,14.0,3.0,45.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,45.5,6.0,4.0,1.0,0.0,0.0,0.0,4.0,6.0,0.0,6.0,39.0,25.0,0.0,0.0,56.0,0.0,0.0,0.0,191.0,60.0,0.0,0.0,0.0,0.0,38.0,36.0,94.7,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,1.0,75.0
