,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Federico Santander,9.0,py PAR,FW,29-044,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,43.0,19.0,1.0,1.0,2.0,0.2,0.2,0.0,1.0,0.0,22.0,27.0,81.5,1.0,24.0,2.0,1.0,1.0,314.0,31.0,14.0,15.0,93.3,6.0,8.0,75.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,22.0,5.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,8.0,3.0,3.0,19.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,9.0,47.4,0.0,7.0,12.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,25.0,14.0,5.0,38.0,100.0,1.0,0.0,48.0,22.0,0.0,0.0,3.0,2.0,38.0,27.0,71.1,10.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,4.0,2.0,2.0,50.0
1,Nicola Sansone,10.0,it ITA,LW,28-312,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,17.0,2.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,32.0,41.0,78.0,6.0,48.0,7.0,1.0,3.0,546.0,203.0,12.0,15.0,80.0,17.0,19.0,89.5,2.0,4.0,50.0,1.0,3.0,0.0,0.0,39.0,2.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,5.0,5.0,2.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,11.8,2.0,12.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,32.0,21.0,2.0,56.0,33.3,1.0,0.0,188.0,92.0,2.0,0.0,4.0,6.0,52.0,45.0,86.5,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,50.0
2,Riccardo Orsolini,7.0,it ITA,RW,23-176,74.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,38.0,9.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,14.0,22.0,63.6,2.0,27.0,5.0,2.0,4.0,239.0,99.0,5.0,5.0,100.0,9.0,12.0,75.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,20.0,2.0,0.0,0.0,4.0,1.0,2.0,2.0,2.0,0.0,0.0,13.0,3.0,6.0,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,1.0,3.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,15.0,20.0,6.0,35.0,50.0,3.0,0.0,137.0,111.0,1.0,1.0,3.0,3.0,36.0,25.0,69.4,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
3,Andreas Skov Olsen,17.0,dk DEN,RW,20-202,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,8.0,11.0,72.7,2.0,11.0,3.0,1.0,2.0,140.0,40.0,3.0,4.0,75.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,1.0,13.0,50.0,1.0,0.0,34.0,21.0,0.0,0.0,0.0,0.0,14.0,11.0,78.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Roberto Soriano,21.0,it ITA,AM,29-161,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,13.0,1.0,0.0,2.0,0.0,0.0,0.1,1.0,1.0,32.0,35.0,91.4,2.0,40.0,5.0,5.0,5.0,497.0,81.0,18.0,18.0,100.0,13.0,15.0,86.7,1.0,1.0,100.0,1.0,2.0,0.0,0.0,34.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,1.0,7.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,4.0,5.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,31.0,11.0,0.0,43.0,100.0,5.0,0.0,197.0,72.0,1.0,0.0,1.0,2.0,39.0,34.0,87.2,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
5,Mattias Svanberg,32.0,se SWE,AM,21-195,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,6.0,0.0,0.0,0.0,51.0,0.0,1.0,4.0,25.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
6,Nicolás Domínguez,8.0,ar ARG,CM,22-020,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,25.0,34.0,73.5,3.0,23.0,0.0,0.0,1.0,594.0,151.0,6.0,6.0,100.0,12.0,20.0,60.0,7.0,8.0,87.5,1.0,4.0,1.0,0.0,30.0,4.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,8.0,7.0,23.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,6.0,33.3,4.0,13.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,12.0,23.0,9.0,0.0,36.0,0.0,0.0,0.0,57.0,26.0,0.0,0.0,0.0,0.0,26.0,21.0,80.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,33.3
7,Andri Fannar Baldursson,34.0,is ISL,CM,18-190,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,13.0,53.8,0.0,13.0,2.0,1.0,2.0,120.0,19.0,4.0,5.0,80.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,4.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,31.3,1.0,6.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,8.0,5.0,0.0,17.0,50.0,1.0,0.0,33.0,19.0,0.0,0.0,0.0,1.0,16.0,11.0,68.8,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
8,Andrea Poli,16.0,it ITA,CM,30-293,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64.0,16.0,2.0,3.0,1.0,0.0,0.0,0.2,3.0,0.0,51.0,56.0,91.1,7.0,47.0,5.0,2.0,2.0,899.0,216.0,24.0,27.0,88.9,21.0,22.0,95.5,6.0,6.0,100.0,2.0,6.0,3.0,0.0,54.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,4.0,2.0,10.0,45.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,5.0,31.3,6.0,8.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,11.0,48.0,5.0,1.0,62.0,100.0,2.0,0.0,120.0,54.0,0.0,0.0,1.0,1.0,49.0,44.0,89.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
9,Mitchell Dijks,35.0,nl NED,LB,27-160,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,11.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,44.0,59.0,74.6,5.0,44.0,3.0,0.0,2.0,779.0,264.0,19.0,21.0,90.5,22.0,29.0,75.9,3.0,6.0,50.0,0.0,4.0,0.0,0.0,48.0,11.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,14.0,33.0,13.0,4.0,9.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,36.4,3.0,5.0,3.0,0.0,0.0,1.0,4.0,4.0,0.0,5.0,27.0,37.0,13.0,0.0,60.0,0.0,0.0,0.0,240.0,149.0,1.0,0.0,0.0,1.0,40.0,38.0,95.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
