,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Krzysztof Piątek,9.0,pl POL,FW,24-189,54.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,11.0,3.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,5.0,6.0,83.3,1.0,5.0,0.0,0.0,0.0,71.0,15.0,3.0,4.0,75.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,27.3,0.0,3.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,8.0,7.0,2.0,14.0,0.0,0.0,0.0,46.0,33.0,0.0,0.0,1.0,1.0,29.0,9.0,31.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,50.0
1,Zlatan Ibrahimović,21.0,se SWE,FW,38-095,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,3.0,0.0,0.0,1.0,0.1,0.1,0.2,1.0,0.0,8.0,10.0,80.0,1.0,8.0,0.0,0.0,0.0,144.0,30.0,3.0,4.0,75.0,4.0,5.0,80.0,1.0,1.0,100.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,7.0,14.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,2.0,0.0,22.0,11.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,40.0
2,Hakan Çalhanoğlu,10.0,tr TUR,LW,25-332,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,67.0,14.0,2.0,1.0,2.0,0.1,0.1,0.2,6.0,0.0,39.0,54.0,72.2,6.0,49.0,7.0,2.0,3.0,674.0,150.0,22.0,27.0,81.5,11.0,17.0,64.7,6.0,10.0,60.0,2.0,3.0,3.0,0.0,47.0,7.0,2.0,0.0,12.0,2.0,0.0,5.0,1.0,2.0,0.0,36.0,9.0,9.0,5.0,47.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,35.7,2.0,6.0,6.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,4.0,29.0,42.0,1.0,60.0,66.7,2.0,0.0,247.0,145.0,5.0,1.0,3.0,2.0,55.0,46.0,83.6,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
3,Suso,8.0,es ESP,RW,26-048,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,64.0,3.0,0.0,0.0,0.0,0.1,0.1,0.4,7.0,0.0,44.0,58.0,75.9,8.0,58.0,12.0,2.0,4.0,759.0,322.0,20.0,21.0,95.2,18.0,27.0,66.7,5.0,9.0,55.6,4.0,4.0,6.0,3.0,53.0,5.0,1.0,0.0,6.0,1.0,11.0,2.0,1.0,0.0,0.0,37.0,6.0,15.0,47.0,9.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,44.0,6.0,60.0,50.0,2.0,0.0,245.0,148.0,1.0,1.0,0.0,1.0,64.0,56.0,87.5,14.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Giacomo Bonaventura,5.0,it ITA,CM,30-137,55.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,31.0,12.0,3.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,10.0,19.0,52.6,1.0,23.0,3.0,0.0,0.0,237.0,27.0,3.0,7.0,42.9,4.0,8.0,50.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,19.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,5.0,4.0,3.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,41.7,2.0,8.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,19.0,13.0,5.0,31.0,0.0,0.0,0.0,84.0,46.0,2.0,1.0,0.0,5.0,26.0,21.0,80.8,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
5,Rafael Leão,17.0,pt POR,CM,20-210,35.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,32.0,5.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,17.0,24.0,70.8,1.0,26.0,9.0,3.0,5.0,336.0,72.0,4.0,8.0,50.0,9.0,11.0,81.8,3.0,4.0,75.0,1.0,0.0,2.0,2.0,24.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,0.0,0.0,0.0,14.0,3.0,7.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,23.0,5.0,32.0,60.0,4.0,0.0,190.0,135.0,3.0,0.0,1.0,0.0,31.0,26.0,83.9,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0
6,Rade Krunić,33.0,ba BIH,CM,26-091,84.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,51.0,13.0,3.0,0.0,1.0,0.2,0.2,0.0,4.0,0.0,33.0,40.0,82.5,6.0,37.0,6.0,0.0,0.0,531.0,173.0,20.0,23.0,87.0,11.0,11.0,100.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,39.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,5.0,2.0,35.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,50.0,1.0,8.0,61.5,6.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,27.0,19.0,4.0,50.0,0.0,0.0,0.0,201.0,107.0,1.0,2.0,0.0,4.0,36.0,33.0,91.7,5.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0
7,Lucas Paquetá,39.0,br BRA,CM,22-132,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,4.0,0.0,0.0,0.0,56.0,16.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8,Ismaël Bennacer,4.0,dz ALG,DM,22-036,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,119.0,16.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,91.0,107.0,85.0,11.0,90.0,9.0,3.0,3.0,1777.0,540.0,35.0,37.0,94.6,43.0,47.0,91.5,13.0,19.0,68.4,1.0,17.0,2.0,0.0,102.0,5.0,4.0,0.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,80.0,10.0,17.0,96.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,43.8,5.0,9.0,2.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,22.0,91.0,19.0,0.0,114.0,100.0,3.0,0.0,412.0,192.0,3.0,0.0,1.0,2.0,81.0,80.0,98.8,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,25.0,4.0,4.0,50.0
9,Theo Hernández,19.0,fr FRA,LB,22-092,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,99.0,10.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,72.0,84.0,85.7,2.0,67.0,6.0,4.0,5.0,1157.0,354.0,40.0,43.0,93.0,25.0,28.0,89.3,4.0,7.0,57.1,0.0,5.0,0.0,0.0,68.0,16.0,4.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,57.0,15.0,12.0,64.0,4.0,2.0,12.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,20.0,5.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,30.0,39.0,41.0,5.0,83.0,80.0,4.0,0.0,327.0,212.0,4.0,1.0,3.0,4.0,68.0,62.0,91.2,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0
10,Alessio Romagnoli,13.0,it ITA,CB,24-359,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,77.0,87.0,6.0,57.0,2.0,0.0,0.0,1530.0,435.0,11.0,13.0,84.6,41.0,43.0,95.3,15.0,21.0,71.4,0.0,6.0,0.0,0.0,72.0,5.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,8.0,14.0,60.0,6.0,6.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,6.0,40.0,48.0,2.0,1.0,79.0,0.0,0.0,0.0,335.0,143.0,0.0,0.0,1.0,0.0,57.0,57.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,75.0
