,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Anderson Gniangbo,21.0,ci CIV,FW,19-348,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,35.0,1.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,17.0,23.0,73.9,1.0,21.0,3.0,0.0,0.0,218.0,35.0,10.0,13.0,76.9,6.0,7.0,85.7,0.0,1.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,0.0,2.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,8.0,22.9,1.0,15.0,19.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,14.0,16.0,3.0,33.0,0.0,0.0,0.0,122.0,70.0,0.0,1.0,4.0,2.0,50.0,26.0,52.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0
1,Marc Andre Schmerböck,34.0,at AUT,FW,25-171,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,14.0,10.0,0.0,1.0,0.0,0.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Shon Weissman,9.0,il ISR,FW,23-217,83.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,23.0,46.0,0.0,1.0,0.0,0.4,0.4,0.1,2.0,0.0,7.0,14.0,50.0,0.0,16.0,1.0,2.0,3.0,96.0,7.0,6.0,9.0,66.7,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,13.0,4.0,24.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,14.0,7.0,22.0,66.7,2.0,0.0,55.0,19.0,0.0,0.0,3.0,0.0,40.0,16.0,40.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
3,Alexander Schmidt,13.0,at AUT,FW,21-243,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,3.0,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,Michael Liendl,10.0,at AUT,AM,33-329,90.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,26.0,2.0,0.0,1.0,0.0,0.0,0.2,8.0,3.0,35.0,51.0,68.6,7.0,42.0,4.0,0.0,0.0,725.0,342.0,16.0,23.0,69.6,10.0,13.0,76.9,9.0,14.0,64.3,4.0,5.0,4.0,0.0,45.0,6.0,3.0,0.0,17.0,4.0,1.0,3.0,1.0,1.0,1.0,21.0,16.0,14.0,46.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,15.4,3.0,15.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,7.0,26.0,30.0,1.0,55.0,0.0,0.0,0.0,146.0,73.0,1.0,0.0,1.0,1.0,53.0,43.0,81.1,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
5,Marcel Ritzmaier,8.0,at AUT,CM,26-150,85.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,37.0,30.0,4.0,4.0,2.0,0.2,0.2,0.0,1.0,1.0,12.0,22.0,54.5,0.0,19.0,3.0,1.0,2.0,199.0,46.0,6.0,7.0,85.7,3.0,7.0,42.9,2.0,6.0,33.3,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,3.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,5.0,20.0,4.0,6.0,20.0,8.0,16.0,6.0,0.0,0.0,2.0,8.0,1.0,0.0,2.0,15.0,16.0,7.0,3.0,37.0,50.0,2.0,0.0,97.0,56.0,0.0,1.0,0.0,0.0,25.0,17.0,68.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0
6,Christopher Wernitznig,24.0,at AUT,CM,29-207,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,4.0,0.0,0.0,0.0,45.0,36.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,45.0,16.0,0.0,0.0,1.0,0.0,4.0,3.0,75.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Romano Schmid,11.0,at AUT,CM,19-235,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,46.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,19.0,29.0,65.5,2.0,22.0,3.0,1.0,2.0,261.0,162.0,12.0,16.0,75.0,6.0,9.0,66.7,1.0,3.0,33.3,1.0,2.0,1.0,1.0,28.0,1.0,1.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,5.0,3.0,6.0,21.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,12.0,26.1,9.0,25.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,20.0,10.0,0.0,35.0,50.0,1.0,1.0,146.0,133.0,1.0,0.0,0.0,2.0,29.0,22.0,75.9,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
8,Mario Leitgeb,16.0,at AUT,DM,31-081,90.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,47.0,12.0,4.0,5.0,0.0,0.1,0.1,0.0,0.0,0.0,23.0,29.0,79.3,5.0,14.0,0.0,1.0,2.0,415.0,191.0,10.0,11.0,90.9,10.0,11.0,90.9,2.0,4.0,50.0,0.0,3.0,1.0,0.0,28.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,8.0,4.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,50.0,1.0,6.0,50.0,3.0,9.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,7.0,18.0,23.0,8.0,2.0,46.0,50.0,1.0,0.0,58.0,14.0,0.0,0.0,0.0,0.0,15.0,13.0,86.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,100.0
9,Lukas Schmitz,7.0,de GER,LB,30-341,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,44.0,21.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,77.4,4.0,21.0,1.0,2.0,2.0,304.0,186.0,16.0,17.0,94.1,7.0,8.0,87.5,0.0,4.0,0.0,0.0,3.0,0.0,0.0,25.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,5.0,22.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,19.0,12.0,7.0,2.0,0.0,0.0,3.0,4.0,7.0,0.0,7.0,23.0,18.0,5.0,1.0,38.0,100.0,2.0,0.0,85.0,36.0,0.0,0.0,0.0,0.0,16.0,14.0,87.5,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
