,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Roberto Firmino,9.0,br BRA,FW,27-350,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,49.0,27.0,1.0,0.0,0.0,0.1,0.1,0.3,6.0,0.0,32.0,41.0,78.0,3.0,39.0,7.0,1.0,1.0,552.0,153.0,16.0,19.0,84.2,11.0,12.0,91.7,4.0,5.0,80.0,4.0,5.0,2.0,0.0,38.0,3.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0,4.0,2.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,22.2,3.0,14.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,28.0,21.0,4.0,46.0,100.0,1.0,0.0,182.0,101.0,2.0,0.0,1.0,1.0,45.0,37.0,82.2,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
1,Sadio Mané,10.0,sn SEN,LW,27-160,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,56.0,32.0,3.0,1.0,2.0,0.2,0.2,0.1,4.0,0.0,35.0,41.0,85.4,4.0,40.0,4.0,2.0,2.0,631.0,147.0,17.0,18.0,94.4,14.0,16.0,87.5,4.0,4.0,100.0,3.0,2.0,2.0,1.0,38.0,3.0,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,33.0,5.0,3.0,6.0,31.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,4.0,11.0,17.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,5.0,16.0,38.0,6.0,54.0,100.0,2.0,0.0,216.0,125.0,1.0,1.0,2.0,4.0,59.0,40.0,67.8,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
2,Mohamed Salah,11.0,eg EGY,RW,27-094,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,51.0,22.0,0.0,0.0,3.0,0.2,0.2,0.0,3.0,0.0,29.0,38.0,76.3,2.0,35.0,9.0,3.0,6.0,449.0,88.0,21.0,24.0,87.5,6.0,7.0,85.7,2.0,6.0,33.3,0.0,2.0,0.0,0.0,34.0,4.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,29.0,4.0,5.0,32.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.3,2.0,7.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,17.0,32.0,5.0,47.0,50.0,4.0,1.0,172.0,132.0,1.0,0.0,1.0,2.0,62.0,41.0,66.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,James Milner,7.0,eng ENG,CM,33-256,65.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,45.0,24.0,3.0,0.0,3.0,0.1,0.1,0.0,1.0,0.0,29.0,37.0,78.4,1.0,27.0,1.0,0.0,0.0,570.0,163.0,10.0,13.0,76.9,17.0,19.0,89.5,2.0,5.0,40.0,1.0,2.0,1.0,1.0,36.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,29.0,2.0,6.0,8.0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,3.0,66.7,1.0,6.0,25.0,2.0,15.0,7.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0,23.0,15.0,2.0,44.0,0.0,0.0,0.0,70.0,24.0,0.0,0.0,0.0,1.0,39.0,37.0,94.9,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,Georginio Wijnaldum,5.0,nl NED,CM,28-310,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,20.0,95.0,3.0,16.0,0.0,0.0,0.0,312.0,63.0,11.0,12.0,91.7,6.0,6.0,100.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,19.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,1.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.0,1.0,21.0,0.0,0.0,0.0,64.0,4.0,0.0,0.0,1.0,0.0,19.0,17.0,89.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
5,Jordan Henderson,14.0,eng ENG,CM,29-092,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,21.0,4.0,2.0,3.0,0.0,0.0,0.1,2.0,0.0,50.0,61.0,82.0,7.0,44.0,3.0,0.0,0.0,1032.0,342.0,24.0,27.0,88.9,15.0,18.0,83.3,11.0,14.0,78.6,2.0,7.0,3.0,2.0,60.0,1.0,0.0,1.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,35.0,9.0,17.0,10.0,44.0,5.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,1.0,2.0,50.0,1.0,8.0,38.1,5.0,12.0,4.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,6.0,48.0,18.0,0.0,68.0,0.0,0.0,0.0,226.0,142.0,0.0,0.0,0.0,0.0,52.0,47.0,90.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
6,Xherdan Shaqiri,23.0,ch SUI,CM,27-342,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,58.0,20.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,Fabinho,3.0,br BRA,DM,25-329,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,73.0,25.0,6.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,64.0,67.0,95.5,6.0,53.0,7.0,2.0,2.0,1396.0,254.0,20.0,21.0,95.2,31.0,32.0,96.9,13.0,13.0,100.0,0.0,6.0,1.0,0.0,67.0,0.0,0.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,51.0,10.0,6.0,6.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,1.0,3.0,5.0,60.0,2.0,11.0,44.0,8.0,14.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,53.0,15.0,1.0,73.0,100.0,2.0,0.0,262.0,137.0,4.0,0.0,1.0,0.0,59.0,56.0,94.9,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
8,Andrew Robertson,26.0,sct SCO,LB,25-190,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,68.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,60.0,61.0,98.4,6.0,51.0,2.0,1.0,3.0,1133.0,381.0,25.0,25.0,100.0,29.0,30.0,96.7,6.0,6.0,100.0,0.0,8.0,2.0,0.0,54.0,7.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,7.0,6.0,51.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,16.7,3.0,6.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,16.0,39.0,18.0,0.0,61.0,33.3,2.0,0.0,198.0,112.0,1.0,0.0,1.0,1.0,58.0,50.0,86.2,5.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0
9,Virgil van Dijk,4.0,nl NED,CB,28-071,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,6.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,55.0,64.0,85.9,4.0,42.0,2.0,1.0,1.0,1442.0,404.0,13.0,15.0,86.7,23.0,25.0,92.0,19.0,23.0,82.6,0.0,7.0,0.0,0.0,62.0,2.0,2.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,12.0,7.0,54.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,33.3,4.0,2.0,0.0,1.0,0.0,2.0,3.0,10.0,1.0,11.0,35.0,45.0,2.0,2.0,78.0,100.0,1.0,0.0,161.0,69.0,0.0,0.0,1.0,0.0,53.0,51.0,96.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,80.0
