,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Boulaye Dia,11.0,sn SEN,FW,22-352,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,33.0,15.0,0.0,0.0,1.0,0.2,0.2,0.1,2.0,0.0,16.0,19.0,84.2,1.0,23.0,4.0,2.0,6.0,261.0,10.0,10.0,11.0,90.9,4.0,6.0,66.7,2.0,2.0,100.0,2.0,0.0,1.0,0.0,16.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,26.7,2.0,4.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,19.0,14.0,4.0,30.0,33.3,4.0,0.0,138.0,113.0,2.0,1.0,3.0,3.0,45.0,21.0,46.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
1,Moussa Doumbia,25.0,ml MLI,LW,25-080,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,20.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,55.6,0.0,16.0,4.0,1.0,2.0,56.0,32.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,8.0,8.0,3.0,19.0,50.0,1.0,0.0,70.0,52.0,1.0,1.0,1.0,4.0,15.0,10.0,66.7,2.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
2,Mathieu Cafaro,24.0,fr FRA,RW,22-223,74.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,28.0,12.0,2.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,8.0,16.0,50.0,0.0,25.0,8.0,1.0,3.0,151.0,28.0,3.0,4.0,75.0,4.0,7.0,57.1,1.0,5.0,20.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,7.0,2.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,6.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,11.0,16.0,1.0,28.0,33.3,1.0,1.0,187.0,136.0,3.0,0.0,3.0,1.0,30.0,21.0,70.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
3,Dereck Kutesa,8.0,ch SUI,RW,21-332,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,3.0,3.0,100.0,1.0,5.0,2.0,0.0,1.0,37.0,32.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,7.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,1.0,0.0,7.0,5.0,71.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Remi Oudin,18.0,fr FRA,AM,22-350,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,10.0,11.0,90.9,1.0,8.0,2.0,0.0,0.0,200.0,44.0,2.0,2.0,100.0,4.0,4.0,100.0,2.0,3.0,66.7,1.0,1.0,1.0,0.0,11.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.1,4.0,7.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,7.0,5.0,1.0,14.0,0.0,0.0,0.0,48.0,33.0,1.0,0.0,1.0,0.0,16.0,10.0,62.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5,Timothée Nkada,19.0,fr FRA,AM,20-106,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,3.0,0.0,1.0,1.0,16.0,3.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,100.0,1.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,14.0,2.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
6,Xavier Chavalerin,7.0,fr FRA,DM,28-241,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,25.0,3.0,0.0,3.0,0.0,0.0,0.1,1.0,0.0,44.0,59.0,74.6,4.0,38.0,0.0,1.0,1.0,909.0,218.0,19.0,21.0,90.5,15.0,19.0,78.9,10.0,17.0,58.8,1.0,1.0,1.0,0.0,48.0,11.0,7.0,0.0,15.0,2.0,0.0,4.0,0.0,4.0,0.0,42.0,5.0,12.0,40.0,16.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,5.0,20.0,10.0,12.0,3.0,0.0,0.0,3.0,3.0,4.0,0.0,6.0,27.0,33.0,12.0,1.0,58.0,100.0,1.0,0.0,182.0,59.0,0.0,0.0,0.0,0.0,41.0,39.0,95.1,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
7,Alaixys Romao,4.0,tg TOG,DM,35-289,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,20.0,25.0,80.0,1.0,21.0,0.0,1.0,1.0,565.0,64.0,1.0,2.0,50.0,11.0,13.0,84.6,8.0,8.0,100.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,1.0,7.0,17.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,3.0,25.0,3.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,9.0,18.0,3.0,0.0,28.0,100.0,1.0,0.0,105.0,28.0,0.0,0.0,0.0,0.0,26.0,22.0,84.6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
8,Marshall Munetsi,15.0,zw ZIM,DM,23-134,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,72.0,0.0,23.0,3.0,1.0,2.0,310.0,20.0,11.0,12.0,91.7,6.0,9.0,66.7,1.0,4.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,3.0,2.0,21.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,3.0,30.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,13.0,12.0,4.0,0.0,29.0,50.0,1.0,0.0,149.0,52.0,0.0,0.0,0.0,0.0,24.0,23.0,95.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
9,Hassane Kamara,13.0,ci CIV,LB,25-045,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,15.0,1.0,0.0,3.0,0.0,0.0,0.1,2.0,0.0,49.0,56.0,87.5,2.0,46.0,5.0,2.0,5.0,896.0,280.0,25.0,27.0,92.6,18.0,20.0,90.0,6.0,8.0,75.0,1.0,1.0,0.0,0.0,46.0,10.0,0.0,0.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,11.0,9.0,41.0,4.0,1.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,40.0,10.0,4.0,1.0,0.0,0.0,3.0,1.0,5.0,0.0,4.0,46.0,23.0,11.0,1.0,61.0,40.0,2.0,0.0,305.0,189.0,2.0,0.0,1.0,1.0,43.0,40.0,93.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
