,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Ezequiel Ávila,9.0,ar ARG,FW,25-241,90.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,36.0,19.0,1.0,0.0,1.0,0.6,0.6,0.2,4.0,0.0,11.0,22.0,50.0,4.0,24.0,2.0,2.0,3.0,155.0,65.0,7.0,10.0,70.0,4.0,5.0,80.0,0.0,4.0,0.0,2.0,0.0,3.0,0.0,20.0,2.0,0.0,0.0,11.0,3.0,2.0,0.0,0.0,0.0,0.0,11.0,6.0,5.0,7.0,10.0,4.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,31.6,2.0,6.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,25.0,4.0,34.0,66.7,2.0,0.0,118.0,43.0,0.0,0.0,0.0,0.0,50.0,23.0,46.0,14.0,0.0,3.0,6.0,3.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0
1,Adrián López,22.0,es ESP,"RM,FW",31-270,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,0.0,16.0,22.0,72.7,2.0,23.0,4.0,2.0,2.0,188.0,48.0,13.0,14.0,92.9,3.0,5.0,60.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,22.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,1.0,20.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,40.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,13.0,4.0,26.0,100.0,2.0,0.0,177.0,143.0,2.0,2.0,3.0,0.0,35.0,22.0,62.9,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0
2,Robert Ibáñez,17.0,es ESP,RM,26-197,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,3.0,1.0,1.0,3.0,0.1,0.1,0.0,1.0,0.0,6.0,8.0,75.0,0.0,10.0,0.0,1.0,1.0,103.0,1.0,4.0,6.0,66.7,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,33.3,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,8.0,6.0,3.0,15.0,100.0,1.0,0.0,46.0,15.0,0.0,0.0,3.0,1.0,10.0,9.0,90.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Rubén García,14.0,es ESP,"FW,LM",26-083,84.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,12.0,0.0,1.0,4.0,0.1,0.1,0.0,1.0,0.0,31.0,46.0,67.4,4.0,36.0,6.0,2.0,2.0,514.0,136.0,19.0,24.0,79.2,8.0,10.0,80.0,3.0,10.0,30.0,1.0,1.0,0.0,0.0,35.0,11.0,2.0,0.0,13.0,3.0,1.0,7.0,2.0,5.0,0.0,24.0,8.0,14.0,38.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,5.0,6.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,6.0,31.0,29.0,4.0,52.0,100.0,2.0,0.0,167.0,90.0,2.0,2.0,5.0,2.0,48.0,35.0,72.9,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
4,Darko Brašanac,20.0,rs SRB,FW,27-235,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,6.0,7.0,85.7,0.0,6.0,0.0,0.0,0.0,58.0,8.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,7.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,Fran Mérida,8.0,es ESP,CM,29-215,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,69.0,10.0,0.0,3.0,4.0,0.0,0.0,0.1,1.0,0.0,44.0,59.0,74.6,4.0,55.0,5.0,2.0,5.0,1211.0,310.0,8.0,10.0,80.0,17.0,25.0,68.0,19.0,24.0,79.2,1.0,5.0,1.0,1.0,55.0,4.0,3.0,0.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,32.0,11.0,16.0,51.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,10.0,1.0,6.0,3.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,8.0,55.0,12.0,3.0,67.0,40.0,2.0,0.0,200.0,104.0,2.0,0.0,0.0,1.0,55.0,53.0,96.4,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
6,Oier Sanjurjo,6.0,es ESP,CM,33-133,82.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,43.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,35.0,74.3,2.0,26.0,3.0,0.0,1.0,428.0,88.0,10.0,14.0,71.4,14.0,17.0,82.4,2.0,4.0,50.0,0.0,3.0,0.0,0.0,34.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,5.0,4.0,27.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,30.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,5.0,27.0,13.0,2.0,42.0,0.0,0.0,0.0,96.0,61.0,1.0,0.0,0.0,1.0,26.0,25.0,96.2,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,50.0
7,Jon Moncayola,27.0,es ESP,CM,21-145,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,60.0,1.0,3.0,1.0,0.0,0.0,42.0,10.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,23.0,12.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
8,Roberto Torres,10.0,es ESP,"LM,RM",30-212,90.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,63.0,7.0,2.0,0.0,0.0,0.2,0.2,0.0,2.0,0.0,35.0,52.0,67.3,3.0,45.0,3.0,1.0,3.0,682.0,139.0,19.0,21.0,90.5,9.0,15.0,60.0,7.0,14.0,50.0,0.0,4.0,1.0,0.0,45.0,7.0,5.0,0.0,14.0,3.0,5.0,1.0,0.0,0.0,0.0,27.0,9.0,16.0,6.0,43.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,3.0,42.9,1.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,6.0,26.0,32.0,3.0,56.0,33.3,1.0,0.0,155.0,61.0,0.0,0.0,3.0,0.0,57.0,48.0,84.2,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Pervis Estupiñán,30.0,ec ECU,LB,21-257,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,13.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,49.0,58.0,84.5,4.0,38.0,3.0,0.0,1.0,964.0,412.0,20.0,20.0,100.0,19.0,21.0,90.5,8.0,11.0,72.7,1.0,3.0,4.0,2.0,43.0,15.0,0.0,0.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,34.0,20.0,4.0,39.0,1.0,2.0,15.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,4.0,30.8,4.0,7.0,2.0,1.0,0.0,2.0,4.0,6.0,0.0,7.0,23.0,36.0,21.0,3.0,61.0,0.0,0.0,0.0,145.0,78.0,1.0,1.0,4.0,1.0,41.0,34.0,82.9,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,50.0
