,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Ben Zolinski,31.0,de GER,FW,27-225,84.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,39.0,18.0,1.0,1.0,2.0,0.3,0.3,0.0,1.0,0.0,19.0,25.0,76.0,0.0,28.0,2.0,1.0,1.0,326.0,70.0,13.0,15.0,86.7,2.0,3.0,66.7,4.0,6.0,66.7,0.0,1.0,0.0,0.0,24.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,8.0,2.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,11.1,4.0,10.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,8.0,23.0,10.0,3.0,38.0,100.0,1.0,0.0,88.0,32.0,1.0,0.0,3.0,2.0,49.0,25.0,51.0,6.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,9.0,2.0,4.0,33.3
1,Cauly Oliveira Souza,10.0,br BRA,FW,24-090,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Streli Mamba,30.0,de GER,FW,25-180,67.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,20.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,10.0,80.0,0.0,15.0,0.0,0.0,0.0,109.0,15.0,4.0,5.0,80.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,1.0,19.0,0.0,0.0,0.0,45.0,10.0,0.0,0.0,2.0,3.0,29.0,13.0,44.8,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
3,Sven Michel,11.0,de GER,FW,29-152,23.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,36.4,0.0,13.0,0.0,2.0,2.0,48.0,10.0,3.0,5.0,60.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,1.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,12.0,3.0,17.0,100.0,2.0,0.0,15.0,3.0,0.0,0.0,2.0,1.0,19.0,12.0,63.2,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
4,Christopher Antwi-Adjei,22.0,gh GHA,"LM,RM",25-310,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,4.0,0.0,1.0,0.0,0.0,0.2,5.0,1.0,29.0,38.0,76.3,5.0,33.0,3.0,0.0,1.0,572.0,240.0,11.0,12.0,91.7,11.0,15.0,73.3,5.0,8.0,62.5,3.0,3.0,4.0,0.0,31.0,7.0,1.0,0.0,9.0,1.0,2.0,1.0,1.0,0.0,0.0,17.0,4.0,17.0,6.0,23.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,6.0,50.0,3.0,2.0,20.0,7.0,1.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,11.0,21.0,24.0,1.0,44.0,0.0,0.0,0.0,220.0,95.0,2.0,0.0,5.0,0.0,42.0,27.0,64.3,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,1.0,4.0,20.0
5,Kai Pröger,9.0,de GER,RM,27-213,73.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,26.0,4.0,0.0,0.0,2.0,0.4,0.4,0.0,4.0,0.0,7.0,14.0,50.0,1.0,19.0,0.0,1.0,3.0,135.0,81.0,4.0,5.0,80.0,2.0,2.0,100.0,1.0,4.0,25.0,1.0,0.0,0.0,0.0,10.0,4.0,3.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0,0.0,6.0,1.0,7.0,3.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,75.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,7.0,16.0,1.0,22.0,33.3,1.0,0.0,79.0,16.0,0.0,0.0,3.0,0.0,22.0,14.0,63.6,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
6,Gerrit Holtmann,38.0,ph PHI,LM,24-264,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,0.0,9.0,1.0,0.0,0.0,59.0,13.0,5.0,5.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,2.0,11.0,0.0,0.0,0.0,46.0,41.0,1.0,1.0,1.0,1.0,10.0,8.0,80.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
7,Sebastian Vasiliadis,39.0,gr GRE,DM,22-071,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,26.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,18.0,28.0,64.3,0.0,37.0,0.0,4.0,9.0,316.0,82.0,11.0,13.0,84.6,2.0,4.0,50.0,4.0,10.0,40.0,1.0,0.0,0.0,0.0,25.0,3.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,5.0,8.0,3.0,22.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,20.0,4.0,8.0,30.8,8.0,15.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,6.0,16.0,20.0,17.0,1.0,46.0,44.4,6.0,0.0,150.0,25.0,0.0,0.0,3.0,1.0,34.0,26.0,76.5,7.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
8,Klaus Gjasula,8.0,al ALB,DM,30-000,90.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,74.0,13.0,2.0,1.0,6.0,0.1,0.1,0.3,2.0,1.0,45.0,59.0,76.3,3.0,45.0,1.0,1.0,1.0,940.0,294.0,15.0,18.0,83.3,21.0,27.0,77.8,8.0,12.0,66.7,2.0,5.0,0.0,0.0,59.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,33.0,8.0,18.0,18.0,32.0,7.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,50.0,1.0,5.0,38.5,6.0,4.0,3.0,0.0,0.0,6.0,3.0,5.0,0.0,4.0,27.0,42.0,8.0,2.0,74.0,100.0,1.0,0.0,157.0,64.0,0.0,0.0,1.0,0.0,46.0,41.0,89.1,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,6.0,6.0,50.0
9,Jamilu Collins,29.0,ng NGA,LB,25-131,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,18.0,7.0,0.0,6.0,0.1,0.1,0.0,1.0,0.0,40.0,62.0,64.5,5.0,42.0,6.0,0.0,1.0,744.0,373.0,16.0,20.0,80.0,21.0,32.0,65.6,3.0,8.0,37.5,1.0,4.0,0.0,0.0,46.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,12.0,19.0,37.0,5.0,3.0,16.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,5.0,60.0,2.0,6.0,33.3,12.0,5.0,1.0,2.0,1.0,4.0,7.0,4.0,0.0,4.0,39.0,42.0,12.0,0.0,70.0,0.0,0.0,0.0,167.0,104.0,2.0,0.0,2.0,2.0,47.0,38.0,80.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,66.7
