,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Andreas Cornelius,11.0,dk DEN,FW,26-330,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,20.0,65.0,0.0,20.0,0.0,0.0,3.0,161.0,2.0,7.0,12.0,58.3,5.0,5.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,4.0,12.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,41.2,1.0,5.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,12.0,21.0,3.0,34.0,0.0,0.0,0.0,89.0,4.0,0.0,0.0,4.0,2.0,45.0,24.0,53.3,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,40.0
1,Gianluca Caprari,20.0,it ITA,LW,26-194,66.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,38.0,26.0,2.0,1.0,3.0,0.1,0.1,0.0,4.0,0.0,22.0,23.0,95.7,2.0,29.0,3.0,2.0,3.0,362.0,35.0,9.0,9.0,100.0,7.0,7.0,100.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,20.0,3.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,14.0,6.0,3.0,4.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,8.0,30.8,5.0,10.0,11.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,9.0,16.0,16.0,2.0,35.0,66.7,3.0,0.0,101.0,40.0,0.0,0.0,2.0,2.0,29.0,21.0,72.4,5.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
2,Mattia Sprocati,93.0,it ITA,LW,26-287,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,5.0,3.0,0.0,0.0,62.0,6.0,2.0,3.0,66.7,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,31.0,28.0,0.0,0.0,0.0,1.0,8.0,7.0,87.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,Juraj Kucka,33.0,sk SVK,"RW,AM",32-348,90.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,46.0,36.0,3.0,0.0,1.0,0.0,0.0,0.1,5.0,0.0,22.0,31.0,71.0,2.0,34.0,5.0,6.0,8.0,363.0,112.0,15.0,19.0,78.9,5.0,8.0,62.5,2.0,3.0,66.7,3.0,3.0,1.0,1.0,31.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,11.0,5.0,5.0,22.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,0.0,0.0,1.0,5.0,20.0,4.0,8.0,22.2,13.0,16.0,7.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,10.0,23.0,16.0,2.0,46.0,75.0,6.0,1.0,146.0,88.0,0.0,0.0,1.0,3.0,39.0,33.0,84.6,7.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,50.0
4,Jasmin Kurtić,19.0,si SVN,CM,31-030,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,51.0,22.0,1.0,1.0,0.0,0.0,0.0,0.1,4.0,0.0,34.0,47.0,72.3,4.0,33.0,11.0,0.0,0.0,766.0,282.0,13.0,14.0,92.9,11.0,16.0,68.8,9.0,14.0,64.3,3.0,3.0,1.0,1.0,40.0,7.0,2.0,0.0,7.0,6.0,5.0,5.0,1.0,4.0,0.0,25.0,7.0,15.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,20.0,4.0,5.0,22.7,7.0,8.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,10.0,23.0,25.0,0.0,44.0,0.0,0.0,0.0,374.0,233.0,5.0,0.0,1.0,0.0,41.0,37.0,90.2,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
5,Hernani,10.0,br BRA,CM,25-319,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,42.0,1.0,2.0,2.0,0.0,0.0,0.1,5.0,0.0,41.0,49.0,83.7,4.0,43.0,4.0,5.0,5.0,883.0,270.0,8.0,13.0,61.5,26.0,27.0,96.3,5.0,6.0,83.3,3.0,4.0,1.0,1.0,45.0,4.0,3.0,0.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,36.0,2.0,11.0,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,19.0,19.0,21.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,4.0,17.0,31.0,17.0,2.0,53.0,100.0,5.0,0.0,228.0,102.0,0.0,2.0,0.0,1.0,42.0,38.0,90.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,100.0
6,Gastón Brugman,15.0,uy URU,DM,27-155,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,30.0,80.0,0.0,24.0,3.0,1.0,1.0,612.0,221.0,3.0,7.0,42.9,15.0,16.0,93.8,6.0,7.0,85.7,1.0,3.0,1.0,1.0,30.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,4.0,7.0,3.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,100.0,0.0,7.0,25.0,11.0,10.0,7.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,14.0,20.0,10.0,0.0,37.0,100.0,1.0,0.0,128.0,68.0,2.0,0.0,1.0,1.0,21.0,21.0,100.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
7,Dejan Kulusevski,44.0,se SWE,RW,19-290,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0,75.0,2.0,24.0,4.0,6.0,6.0,199.0,82.0,3.0,4.0,75.0,3.0,4.0,75.0,3.0,3.0,100.0,0.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,21.4,5.0,4.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,16.0,11.0,1.0,20.0,100.0,6.0,0.0,215.0,115.0,4.0,0.0,0.0,4.0,20.0,16.0,80.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8,Riccardo Gagliolo,28.0,se SWE,LB,29-287,78.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,49.0,7.0,1.0,0.0,2.0,0.2,0.2,0.0,0.0,0.0,29.0,38.0,76.3,6.0,33.0,5.0,0.0,1.0,653.0,384.0,12.0,13.0,92.3,10.0,12.0,83.3,7.0,12.0,58.3,0.0,7.0,0.0,0.0,34.0,4.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,10.0,10.0,24.0,9.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,3.0,42.9,4.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,8.0,16.0,26.0,10.0,4.0,45.0,0.0,0.0,0.0,171.0,98.0,0.0,0.0,0.0,0.0,34.0,34.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
9,Giuseppe Pezzella,97.0,it ITA,LB,22-072,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,80.0,1.0,7.0,1.0,0.0,0.0,158.0,56.0,4.0,4.0,100.0,3.0,3.0,100.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,5.0,4.0,0.0,10.0,0.0,0.0,0.0,87.0,60.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
