,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Robert Lewandowski,9.0,pl POL,FW,31-024,90.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,44.0,13.0,1.0,0.0,0.0,0.9,0.9,0.1,2.0,0.0,21.0,28.0,75.0,3.0,38.0,5.0,3.0,4.0,291.0,58.0,14.0,18.0,77.8,6.0,9.0,66.7,1.0,1.0,100.0,1.0,1.0,1.0,0.0,27.0,1.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,4.0,2.0,1.0,24.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,46.2,0.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,24.0,8.0,43.0,75.0,3.0,0.0,114.0,70.0,1.0,1.0,4.0,4.0,64.0,36.0,56.3,13.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0,2.0,60.0
1,Serge Gnabry,22.0,de GER,LW,24-062,61.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,23.0,3.0,3.0,2.0,0.1,0.1,0.0,0.0,0.0,23.0,24.0,95.8,3.0,24.0,2.0,1.0,1.0,314.0,65.0,13.0,14.0,92.9,9.0,9.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,1.0,4.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,5.0,40.0,3.0,8.0,34.8,4.0,9.0,10.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,4.0,18.0,16.0,2.0,37.0,100.0,1.0,0.0,82.0,29.0,0.0,0.0,5.0,1.0,38.0,21.0,55.3,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
2,Alphonso Davies,19.0,ca CAN,LW,18-316,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,1.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,10.0,14.0,71.4,0.0,19.0,1.0,2.0,4.0,146.0,39.0,1.0,4.0,25.0,7.0,7.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,11.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,38.5,3.0,4.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,6.0,4.0,14.0,2.0,23.0,50.0,2.0,1.0,49.0,25.0,0.0,0.0,2.0,2.0,17.0,13.0,76.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
3,Kingsley Coman,29.0,fr FRA,RW,23-093,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,70.0,14.0,0.0,0.0,1.0,0.2,0.2,0.0,2.0,0.0,38.0,55.0,69.1,2.0,71.0,13.0,9.0,13.0,630.0,94.0,20.0,27.0,74.1,15.0,20.0,75.0,2.0,6.0,33.3,0.0,1.0,3.0,1.0,55.0,0.0,0.0,0.0,11.0,2.0,8.0,0.0,0.0,0.0,0.0,39.0,7.0,9.0,10.0,44.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,42.9,2.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,27.0,45.0,3.0,70.0,69.2,9.0,0.0,398.0,219.0,3.0,1.0,3.0,2.0,74.0,62.0,83.8,24.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
4,Thomas Müller,25.0,de GER,AM,30-001,62.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,27.0,2.0,0.0,1.0,0.1,0.1,0.5,4.0,2.0,23.0,32.0,71.9,5.0,29.0,5.0,2.0,2.0,381.0,114.0,12.0,16.0,75.0,9.0,11.0,81.8,2.0,4.0,50.0,1.0,4.0,0.0,0.0,30.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,9.0,3.0,7.0,20.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,12.0,44.4,6.0,12.0,9.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,27.0,10.0,3.0,38.0,100.0,2.0,0.0,114.0,65.0,1.0,0.0,3.0,0.0,36.0,28.0,77.8,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
5,Corentin Tolisso,24.0,fr FRA,"AM,DM",25-042,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.0,9.0,0.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,18.0,22.0,81.8,2.0,17.0,1.0,1.0,2.0,340.0,90.0,12.0,15.0,80.0,2.0,2.0,100.0,4.0,5.0,80.0,1.0,3.0,0.0,0.0,22.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,3.0,5.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,66.7,4.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,13.0,7.0,3.0,26.0,50.0,1.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,22.0,17.0,77.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
6,Thiago Alcántara,6.0,es ESP,DM,28-156,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,21.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,84.0,89.0,94.4,8.0,77.0,5.0,3.0,4.0,1556.0,332.0,33.0,35.0,94.3,38.0,40.0,95.0,11.0,12.0,91.7,1.0,7.0,1.0,0.0,85.0,4.0,4.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,68.0,13.0,8.0,10.0,74.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,50.0,2.0,8.0,38.1,8.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,18.0,68.0,13.0,0.0,91.0,75.0,3.0,0.0,293.0,123.0,1.0,0.0,1.0,1.0,81.0,76.0,93.8,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,50.0
7,Philippe Coutinho,10.0,br BRA,AM,27-094,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,1.0,3.0,0.0,0.0,0.0,38.0,22.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Joshua Kimmich,32.0,de GER,DM,24-218,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,27.0,2.0,0.0,1.0,0.0,0.0,0.7,6.0,0.0,97.0,106.0,91.5,9.0,90.0,10.0,1.0,2.0,2122.0,557.0,26.0,26.0,100.0,48.0,51.0,94.1,22.0,28.0,78.6,6.0,8.0,4.0,1.0,97.0,9.0,3.0,0.0,31.0,4.0,2.0,6.0,2.0,4.0,0.0,71.0,12.0,23.0,16.0,87.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,7.0,25.9,7.0,14.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,6.0,27.0,75.0,21.0,1.0,107.0,50.0,1.0,0.0,544.0,217.0,2.0,1.0,0.0,1.0,98.0,89.0,90.8,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
9,Lucas Hernández,21.0,fr FRA,LB,23-212,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,102.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,72.0,88.0,81.8,4.0,66.0,2.0,2.0,2.0,1329.0,407.0,27.0,30.0,90.0,35.0,38.0,92.1,9.0,14.0,64.3,0.0,4.0,1.0,0.0,67.0,21.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,21.0,13.0,64.0,2.0,1.0,20.0,0.0,0.0,0.0,2.0,5.0,1.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,9.0,50.0,8.0,5.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,22.0,58.0,30.0,2.0,82.0,100.0,2.0,0.0,202.0,67.0,3.0,0.0,3.0,4.0,69.0,67.0,97.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,1.0,50.0
