,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Boulaye Dia,11.0,sn SEN,"FW,RW",23-014,90.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,31.0,23.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,17.0,21.0,81.0,3.0,17.0,3.0,0.0,0.0,211.0,30.0,11.0,12.0,91.7,3.0,5.0,60.0,1.0,1.0,100.0,0.0,0.0,2.0,0.0,19.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,0.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,26.1,2.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,7.0,29.0,0.0,0.0,0.0,103.0,50.0,1.0,0.0,2.0,2.0,48.0,23.0,47.9,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0
1,Moussa Doumbia,25.0,ml MLI,LW,25-107,81.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,57.0,20.0,1.0,0.0,1.0,0.1,0.1,0.1,6.0,0.0,28.0,42.0,66.7,2.0,44.0,13.0,4.0,7.0,475.0,106.0,14.0,17.0,82.4,10.0,13.0,76.9,3.0,10.0,30.0,3.0,4.0,0.0,0.0,34.0,8.0,2.0,0.0,6.0,2.0,5.0,6.0,2.0,4.0,0.0,24.0,9.0,9.0,6.0,35.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,1.0,16.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,28.0,34.0,6.0,49.0,57.1,4.0,0.0,378.0,287.0,6.0,3.0,4.0,3.0,49.0,35.0,71.4,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0
2,Suk Hyun-jun,10.0,kr KOR,LW,28-154,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,Anastasios Donis,9.0,gr GRE,RW,23-093,70.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,21.0,17.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,7.0,15.0,46.7,0.0,17.0,5.0,0.0,1.0,113.0,17.0,4.0,4.0,100.0,2.0,5.0,40.0,1.0,3.0,33.3,1.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,4.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.5,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,13.0,3.0,20.0,0.0,0.0,0.0,144.0,68.0,0.0,1.0,2.0,0.0,25.0,17.0,68.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
4,Remi Oudin,18.0,fr FRA,FW,23-012,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,44.4,0.0,7.0,2.0,0.0,0.0,55.0,13.0,3.0,5.0,60.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,11.0,0.0,0.0,0.0,22.0,13.0,0.0,0.0,0.0,2.0,11.0,6.0,54.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
5,Nathanael Mbuku,33.0,fr FRA,AM,17-259,61.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,33.0,21.0,0.0,0.0,1.0,0.1,0.1,0.0,3.0,0.0,14.0,23.0,60.9,0.0,23.0,3.0,2.0,4.0,209.0,76.0,7.0,11.0,63.6,6.0,7.0,85.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,0.0,0.0,7.0,0.0,1.0,3.0,0.0,1.0,0.0,12.0,5.0,6.0,16.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,42.9,1.0,13.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,12.0,21.0,5.0,30.0,50.0,2.0,0.0,122.0,60.0,2.0,1.0,1.0,1.0,30.0,23.0,76.7,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,66.7
6,Tristan Dingomé,20.0,cm CMR,AM,28-286,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,2.0,13.0,1.0,2.0,2.0,224.0,50.0,6.0,6.0,100.0,5.0,7.0,71.4,1.0,1.0,100.0,0.0,1.0,0.0,0.0,15.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,8.0,4.0,4.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,1.0,17.0,100.0,2.0,0.0,31.0,7.0,0.0,1.0,0.0,1.0,17.0,11.0,64.7,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
7,Alaixys Romao,4.0,tg TOG,DM,35-316,71.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,38.0,29.0,4.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,21.0,30.0,70.0,2.0,19.0,1.0,1.0,1.0,465.0,128.0,3.0,4.0,75.0,15.0,19.0,78.9,3.0,4.0,75.0,0.0,3.0,0.0,0.0,30.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,3.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,27.6,6.0,19.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,15.0,19.0,7.0,1.0,38.0,100.0,1.0,0.0,91.0,24.0,1.0,0.0,0.0,2.0,28.0,24.0,85.7,1.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0
8,Xavier Chavalerin,7.0,fr FRA,DM,28-268,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,80.0,30.0,10.0,3.0,1.0,0.1,0.1,0.2,5.0,0.0,40.0,63.0,63.5,6.0,52.0,7.0,6.0,7.0,723.0,232.0,13.0,20.0,65.0,19.0,22.0,86.4,6.0,18.0,33.3,3.0,3.0,2.0,0.0,56.0,7.0,3.0,1.0,7.0,2.0,4.0,4.0,1.0,3.0,0.0,31.0,11.0,21.0,53.0,4.0,4.0,0.0,0.0,1.0,4.0,1.0,1.0,7.0,3.0,6.0,1.0,2.0,3.0,66.7,1.0,8.0,26.7,4.0,22.0,4.0,0.0,0.0,1.0,13.0,1.0,0.0,1.0,12.0,47.0,26.0,1.0,73.0,85.7,7.0,0.0,265.0,141.0,3.0,1.0,0.0,0.0,39.0,36.0,92.3,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,1.0,66.7
9,Hassane Kamara,13.0,ci CIV,LB,25-072,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,86.0,22.0,5.0,1.0,5.0,0.1,0.1,0.0,1.0,0.0,52.0,66.0,78.8,4.0,49.0,14.0,4.0,4.0,941.0,309.0,25.0,26.0,96.2,23.0,27.0,85.2,4.0,10.0,40.0,0.0,2.0,1.0,1.0,54.0,12.0,1.0,0.0,9.0,5.0,7.0,0.0,0.0,0.0,0.0,34.0,19.0,13.0,45.0,3.0,2.0,11.0,1.0,0.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,25.0,3.0,6.0,27.3,9.0,10.0,3.0,0.0,0.0,5.0,6.0,2.0,0.0,5.0,27.0,39.0,25.0,2.0,75.0,100.0,4.0,0.0,353.0,208.0,2.0,0.0,0.0,1.0,47.0,43.0,91.5,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,100.0
