,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Wahbi Khazri,10.0,tn TUN,FW,28-191,74.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,20.0,11.0,0.0,1.0,0.0,0.1,0.1,0.0,4.0,0.0,5.0,8.0,62.5,1.0,18.0,2.0,2.0,2.0,76.0,13.0,3.0,4.0,75.0,1.0,2.0,50.0,1.0,2.0,50.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,9.1,2.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,17.0,8.0,18.0,100.0,2.0,0.0,68.0,42.0,0.0,1.0,3.0,5.0,33.0,17.0,51.5,8.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
1,Arnaud Nordin,18.0,fr FRA,RW,21-062,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,6.0,4.0,0.0,1.0,17.0,3.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,7.0,0.0,1.0,0.0,108.0,71.0,1.0,1.0,0.0,1.0,7.0,6.0,85.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Denis Bouanga,20.0,ga GAB,LW,24-280,90.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,48.0,17.0,5.0,0.0,0.0,1.0,1.0,0.1,4.0,1.0,19.0,32.0,59.4,1.0,37.0,10.0,5.0,6.0,296.0,75.0,10.0,13.0,76.9,6.0,9.0,66.7,2.0,5.0,40.0,1.0,0.0,1.0,0.0,31.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,18.0,10.0,4.0,4.0,24.0,2.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,0.0,4.0,1.0,1.0,2.0,50.0,1.0,6.0,35.3,8.0,5.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,8.0,21.0,28.0,11.0,47.0,83.3,5.0,0.0,300.0,230.0,7.0,3.0,1.0,1.0,43.0,27.0,62.8,10.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,12.0,1.0,3.0,25.0
3,Romain Hamouma,21.0,fr FRA,RW,32-142,64.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,25.0,10.0,1.0,0.0,0.0,0.1,0.1,0.2,1.0,0.0,13.0,19.0,68.4,1.0,24.0,4.0,1.0,2.0,200.0,64.0,6.0,7.0,85.7,5.0,7.0,71.4,1.0,4.0,25.0,2.0,0.0,2.0,1.0,19.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,5.0,2.0,2.0,15.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,14.0,3.0,25.0,50.0,1.0,0.0,124.0,62.0,1.0,0.0,1.0,2.0,34.0,23.0,67.6,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
4,Robert Berić,27.0,si SVN,"FW,RW",28-062,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,25.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,5.0,0.0,0.0,0.0,43.0,2.0,0.0,0.0,1.0,0.0,10.0,5.0,50.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Ryad Boudebouz,7.0,dz ALG,AM,29-180,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,15.0,3.0,0.0,1.0,0.0,0.0,0.5,10.0,0.0,45.0,57.0,78.9,5.0,54.0,8.0,3.0,3.0,925.0,296.0,22.0,23.0,95.7,11.0,13.0,84.6,11.0,18.0,61.1,6.0,4.0,3.0,2.0,50.0,7.0,3.0,0.0,5.0,6.0,4.0,3.0,1.0,1.0,1.0,34.0,7.0,16.0,47.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,13.3,0.0,10.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,45.0,23.0,1.0,60.0,100.0,3.0,0.0,190.0,111.0,1.0,0.0,2.0,3.0,52.0,48.0,92.3,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
6,Yann M'Vila,6.0,fr FRA,DM,29-050,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,65.0,68.0,95.6,11.0,62.0,4.0,0.0,0.0,1456.0,469.0,23.0,24.0,95.8,24.0,24.0,100.0,17.0,19.0,89.5,1.0,8.0,0.0,0.0,68.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,48.0,12.0,8.0,6.0,59.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,15.0,64.0,5.0,0.0,76.0,0.0,0.0,0.0,264.0,133.0,0.0,0.0,0.0,2.0,61.0,61.0,100.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,100.0
7,Jean-Eudes Aholou,17.0,ci CIV,DM,25-151,39.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,32.0,15.0,1.0,2.0,1.0,0.2,0.2,0.0,0.0,0.0,20.0,23.0,87.0,1.0,23.0,1.0,0.0,1.0,329.0,47.0,9.0,9.0,100.0,11.0,13.0,84.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,16.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,2.0,12.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,7.0,19.0,6.0,2.0,32.0,0.0,1.0,0.0,64.0,26.0,0.0,0.0,0.0,0.0,22.0,22.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
8,Zaydou Youssouf,28.0,fr FRA,DM,20-038,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,34.0,76.5,0.0,38.0,5.0,2.0,2.0,498.0,67.0,10.0,10.0,100.0,13.0,15.0,86.7,3.0,9.0,33.3,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,6.0,28.0,6.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,16.7,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,29.0,3.0,0.0,37.0,100.0,2.0,0.0,231.0,130.0,1.0,0.0,1.0,1.0,32.0,31.0,96.9,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
9,Miguel Trauco,13.0,pe PER,LB,26-358,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,67.0,5.0,2.0,1.0,0.0,0.1,0.1,0.1,3.0,0.0,45.0,55.0,81.8,5.0,41.0,6.0,2.0,3.0,847.0,331.0,23.0,25.0,92.0,18.0,20.0,90.0,4.0,9.0,44.4,1.0,6.0,1.0,1.0,43.0,12.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,30.0,12.0,13.0,38.0,3.0,1.0,11.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,1.0,20.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,20.0,38.0,11.0,1.0,55.0,66.7,3.0,0.0,170.0,122.0,1.0,0.0,0.0,3.0,39.0,36.0,92.3,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,3.0,1.0,75.0
