,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Oliver Burke,24.0,sct SCO,FW,22-301,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,55.6,0.0,5.0,0.0,0.0,0.0,53.0,9.0,3.0,7.0,42.9,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.7,2.0,7.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,10.0,3.0,0.0,15.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,19.0,9.0,47.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
1,Pere Pons,20.0,es ESP,FW,26-347,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,0.0,11.0,4.0,1.0,1.0,161.0,45.0,8.0,8.0,100.0,1.0,1.0,100.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,3.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,33.3,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,6.0,6.0,1.0,15.0,100.0,1.0,0.0,59.0,49.0,0.0,1.0,2.0,1.0,9.0,9.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
2,Joselu,9.0,es ESP,FW,29-312,90.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,45.0,6.0,0.0,1.0,0.0,0.6,0.6,0.0,2.0,0.0,18.0,34.0,52.9,3.0,19.0,1.0,0.0,1.0,273.0,63.0,11.0,17.0,64.7,4.0,12.0,33.3,2.0,3.0,66.7,0.0,1.0,0.0,0.0,33.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,15.0,3.0,14.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,1.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,28.0,12.0,3.0,44.0,0.0,0.0,0.0,37.0,15.0,0.0,0.0,1.0,3.0,47.0,32.0,68.1,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,8.0,3.0,72.7
3,Manu García,19.0,es ESP,CM,33-282,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,21.0,47.6,2.0,17.0,1.0,1.0,1.0,167.0,53.0,6.0,11.0,54.5,3.0,5.0,60.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,21.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,7.0,6.0,9.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,10.5,9.0,9.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,7.0,21.0,3.0,1.0,31.0,100.0,1.0,0.0,38.0,18.0,0.0,0.0,2.0,3.0,18.0,17.0,94.4,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,2.0,50.0
4,Víctor Camarasa,10.0,es ESP,CM,25-250,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,18.0,0.0,1.0,1.0,0.0,0.0,0.3,2.0,1.0,16.0,22.0,72.7,1.0,18.0,0.0,0.0,0.0,264.0,73.0,8.0,9.0,88.9,4.0,4.0,100.0,2.0,7.0,28.6,1.0,0.0,1.0,0.0,17.0,5.0,3.0,0.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,9.0,5.0,8.0,2.0,19.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,22.2,1.0,13.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,6.0,15.0,16.0,1.0,32.0,0.0,0.0,0.0,44.0,7.0,0.0,0.0,5.0,0.0,36.0,20.0,55.6,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
5,Ljubomir Fejsa,15.0,rs SRB,DM,31-172,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,87.5,1.0,12.0,0.0,0.0,0.0,238.0,37.0,8.0,9.0,88.9,4.0,4.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,6.0,54.5,7.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,8.0,12.0,0.0,0.0,20.0,0.0,0.0,0.0,47.0,10.0,0.0,0.0,1.0,0.0,9.0,8.0,88.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
6,Luis Rioja,11.0,es ESP,DM,26-109,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,6.0,1.0,1.0,1.0,40.0,26.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,33.3,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,8.0,100.0,1.0,0.0,29.0,12.0,0.0,0.0,1.0,1.0,7.0,3.0,42.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
7,Rubén Duarte,3.0,es ESP,WB,24-107,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,9.0,3.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,18.0,26.0,69.2,3.0,16.0,2.0,1.0,2.0,320.0,207.0,7.0,8.0,87.5,8.0,10.0,80.0,2.0,5.0,40.0,0.0,1.0,0.0,0.0,21.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,13.0,18.0,1.0,2.0,5.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,22.2,6.0,2.0,1.0,0.0,0.0,6.0,4.0,8.0,0.0,3.0,21.0,19.0,8.0,0.0,42.0,50.0,1.0,0.0,63.0,36.0,1.0,0.0,0.0,1.0,13.0,10.0,76.9,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,14.0,1.0,1.0,50.0
8,Martin Agirregabiria,21.0,es ESP,WB,23-268,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,20.0,60.0,1.0,11.0,2.0,0.0,1.0,216.0,112.0,5.0,6.0,83.3,6.0,9.0,66.7,1.0,3.0,33.3,0.0,2.0,0.0,0.0,15.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,5.0,1.0,9.0,5.0,4.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,14.3,4.0,3.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,4.0,9.0,19.0,2.0,1.0,24.0,0.0,0.0,0.0,41.0,19.0,0.0,0.0,2.0,0.0,17.0,13.0,76.5,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
9,Borja Sainz,29.0,es ESP,WB,19-001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
