,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Billy Sharp,10.0,eng ENG,FW,34-154,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,54.5,0.0,10.0,1.0,1.0,2.0,79.0,6.0,5.0,6.0,83.3,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,5.0,2.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,41.7,2.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,9.0,4.0,16.0,50.0,1.0,1.0,78.0,52.0,1.0,0.0,1.0,2.0,27.0,12.0,44.4,6.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,5.0,16.7
1,Richairo Živković,30.0,nl NED,FW,23-307,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.0,6.0,6.0,100.0,0.0,9.0,1.0,1.0,2.0,114.0,19.0,3.0,3.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.0,9.0,50.0,1.0,0.0,38.0,14.0,0.0,0.0,0.0,0.0,13.0,8.0,61.5,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Oliver McBurnie,9.0,sct SCO,FW,24-034,48.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,4.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,9.0,16.0,56.3,0.0,10.0,2.0,1.0,1.0,106.0,11.0,8.0,11.0,72.7,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,8.0,1.0,19.0,100.0,1.0,0.0,44.0,18.0,2.0,0.0,0.0,1.0,31.0,17.0,54.8,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,50.0
3,Lys Mousset,22.0,fr FRA,FW,24-151,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,30.0,2.0,11.0,3.0,1.0,2.0,52.0,34.0,1.0,5.0,20.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,2.0,14.0,50.0,2.0,0.0,88.0,52.0,1.0,0.0,0.0,0.0,19.0,8.0,42.1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,33.3
4,Ben Osborn,23.0,eng ENG,CM,25-338,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,57.0,27.0,3.0,1.0,1.0,0.2,0.2,0.0,3.0,1.0,35.0,51.0,68.6,2.0,27.0,5.0,0.0,0.0,458.0,61.0,25.0,31.0,80.6,8.0,11.0,72.7,1.0,4.0,25.0,1.0,2.0,0.0,0.0,50.0,1.0,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,21.0,6.0,39.0,6.0,3.0,1.0,0.0,0.0,2.0,1.0,5.0,2.0,2.0,1.0,0.0,0.0,4.0,0.0,4.0,10.0,37.0,6.0,12.0,9.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,4.0,26.0,31.0,6.0,56.0,0.0,0.0,0.0,171.0,64.0,3.0,0.0,0.0,1.0,43.0,38.0,88.4,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,66.7
5,Sander Berge,32.0,no NOR,CM,22-145,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,18.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,36.0,45.0,80.0,7.0,38.0,10.0,4.0,4.0,590.0,159.0,20.0,24.0,83.3,13.0,15.0,86.7,3.0,5.0,60.0,0.0,3.0,2.0,0.0,44.0,1.0,1.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,31.0,8.0,6.0,6.0,33.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,16.7,3.0,8.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,20.0,35.0,2.0,51.0,100.0,4.0,0.0,240.0,123.0,2.0,1.0,0.0,2.0,41.0,38.0,92.7,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
6,Oliver Norwood,16.0,nir NIR,DM,29-087,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,13.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,48.0,67.0,71.6,5.0,35.0,3.0,0.0,0.0,1211.0,267.0,13.0,17.0,76.5,20.0,21.0,95.2,15.0,29.0,51.7,1.0,9.0,1.0,0.0,57.0,10.0,3.0,0.0,7.0,9.0,2.0,6.0,3.0,1.0,2.0,24.0,23.0,20.0,1.0,61.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.1,5.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,44.0,16.0,0.0,58.0,0.0,0.0,0.0,165.0,71.0,0.0,0.0,0.0,0.0,46.0,45.0,97.8,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
7,Enda Stevens,3.0,ie IRL,WB,29-365,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,76.0,24.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,63.0,52.4,6.0,37.0,11.0,1.0,1.0,510.0,212.0,16.0,21.0,76.2,14.0,25.0,56.0,2.0,10.0,20.0,0.0,0.0,3.0,0.0,47.0,16.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,24.0,21.0,18.0,38.0,7.0,2.0,16.0,0.0,2.0,1.0,0.0,5.0,2.0,5.0,1.0,0.0,6.0,9.0,66.7,3.0,10.0,41.7,12.0,11.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,9.0,32.0,36.0,4.0,60.0,100.0,1.0,0.0,249.0,171.0,1.0,3.0,2.0,1.0,39.0,37.0,94.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0
8,George Baldock,2.0,eng ENG,WB,27-121,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,13.0,0.0,0.0,3.0,0.2,0.2,0.0,2.0,0.0,33.0,44.0,75.0,1.0,32.0,8.0,3.0,3.0,562.0,222.0,14.0,16.0,87.5,13.0,15.0,86.7,4.0,8.0,50.0,1.0,3.0,2.0,2.0,34.0,10.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,17.0,15.0,12.0,0.0,32.0,2.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.7,3.0,5.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,5.0,15.0,33.0,3.0,40.0,100.0,3.0,0.0,164.0,95.0,2.0,1.0,1.0,0.0,37.0,32.0,86.5,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
9,Jack O'Connell,5.0,eng ENG,CB,26-101,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,7.0,0.0,1.0,1.0,0.0,0.0,0.1,2.0,0.0,36.0,50.0,72.0,6.0,24.0,4.0,0.0,0.0,758.0,420.0,11.0,16.0,68.8,18.0,24.0,75.0,7.0,10.0,70.0,1.0,4.0,1.0,1.0,44.0,6.0,2.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,5.0,21.0,33.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,28.6,4.0,2.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,4.0,18.0,37.0,6.0,1.0,52.0,0.0,0.0,0.0,117.0,57.0,1.0,0.0,0.0,0.0,25.0,23.0,92.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,8.0,0.0,100.0
