,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Roberto Soldado,9.0,es ESP,FW,34-082,90.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,10.0,0.0,0.0,0.0,0.1,0.1,0.7,3.0,2.0,15.0,18.0,83.3,0.0,14.0,0.0,1.0,1.0,184.0,21.0,9.0,10.0,90.0,3.0,4.0,75.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,1.0,3.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,2.0,19.0,100.0,1.0,0.0,15.0,3.0,0.0,0.0,2.0,1.0,37.0,16.0,43.2,7.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,5.0,16.7
1,Álvaro Vadillo,7.0,es ESP,LW,24-339,55.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,41.0,4.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,21.0,33.0,63.6,3.0,30.0,6.0,0.0,1.0,326.0,119.0,9.0,12.0,75.0,8.0,10.0,80.0,3.0,8.0,37.5,1.0,2.0,0.0,0.0,29.0,4.0,0.0,0.0,7.0,2.0,1.0,4.0,2.0,1.0,0.0,20.0,4.0,9.0,1.0,31.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,19.0,22.0,3.0,37.0,0.0,0.0,0.0,171.0,74.0,1.0,0.0,2.0,0.0,39.0,32.0,82.1,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
2,Darwin Machís,23.0,ve VEN,"LW,LM",26-191,35.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,1.0,3.0,6.0,50.0,0.0,8.0,7.0,0.0,0.0,76.0,10.0,1.0,1.0,100.0,1.0,2.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,8.0,0.0,0.0,0.0,143.0,108.0,1.0,2.0,0.0,0.0,12.0,8.0,66.7,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Antonio Puertas,10.0,es ESP,"RW,RM",27-177,90.0,1.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,45.0,10.0,1.0,0.0,0.0,1.1,1.1,0.0,1.0,0.0,25.0,33.0,75.8,3.0,34.0,6.0,0.0,4.0,291.0,68.0,17.0,18.0,94.4,7.0,10.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,4.0,7.0,5.0,23.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,2.0,20.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,23.0,26.0,6.0,45.0,0.0,1.0,0.0,206.0,104.0,5.0,0.0,2.0,0.0,47.0,38.0,80.9,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,75.0
4,Fede Vico,14.0,es ESP,AM,25-044,77.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,43.0,13.0,0.0,0.0,1.0,0.8,0.0,0.2,2.0,0.0,29.0,34.0,85.3,3.0,38.0,4.0,2.0,3.0,518.0,122.0,14.0,14.0,100.0,11.0,13.0,84.6,4.0,6.0,66.7,2.0,2.0,2.0,1.0,33.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,22.0,9.0,3.0,29.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,38.5,0.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,23.0,21.0,2.0,41.0,66.7,2.0,0.0,189.0,90.0,2.0,0.0,2.0,2.0,44.0,38.0,86.4,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5,Adrián Ramos,20.0,co COL,FW,33-207,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,4.0,0.0,0.0,0.0,87.0,29.0,0.0,1.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,83.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Ángel Montoro,19.0,es ESP,"DM,CM",31-053,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,9.0,0.0,1.0,0.0,0.0,0.0,0.2,7.0,3.0,50.0,62.0,80.6,9.0,51.0,2.0,2.0,3.0,1126.0,387.0,18.0,19.0,94.7,15.0,18.0,83.3,15.0,22.0,68.2,4.0,6.0,2.0,0.0,55.0,7.0,5.0,0.0,8.0,4.0,2.0,2.0,1.0,1.0,0.0,38.0,2.0,22.0,11.0,49.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,44.4,3.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,49.0,16.0,0.0,60.0,66.7,2.0,0.0,151.0,48.0,1.0,0.0,1.0,2.0,48.0,44.0,91.7,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,0.0
7,Yan Brice Eteki,8.0,cm CMR,DM,21-356,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,22.0,24.0,91.7,2.0,26.0,3.0,2.0,2.0,416.0,72.0,11.0,11.0,100.0,8.0,9.0,88.9,3.0,3.0,100.0,2.0,5.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,2.0,25.0,2.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,19.0,5.0,0.0,27.0,100.0,2.0,0.0,117.0,48.0,0.0,0.0,1.0,0.0,21.0,18.0,85.7,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
8,Ramon Azeez,12.0,ng NGA,"CM,DM",26-248,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,0.0,8.0,0.0,0.0,0.0,183.0,23.0,2.0,4.0,50.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,95.0,23.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Quini,17.0,es ESP,LB,29-327,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,0.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,26.0,34.0,76.5,4.0,29.0,6.0,2.0,4.0,418.0,148.0,14.0,16.0,87.5,11.0,12.0,91.7,1.0,5.0,20.0,1.0,3.0,1.0,1.0,30.0,4.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,11.0,3.0,4.0,20.0,4.0,4.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,30.0,5.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,28.0,12.0,0.0,38.0,50.0,2.0,0.0,179.0,103.0,2.0,0.0,1.0,1.0,28.0,25.0,89.3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0
