player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ademola Lookman,FW,23-088,90.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,44.0,17.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,20.0,23.0,87.0,2.0,34.0,5.0,1.0,3.0,289.0,86.0,9.0,11.0,81.8,7.0,7.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,17.0,4.0,2.0,6.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,29.4,4.0,7.0,6.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,19.0,21.0,4.0,43.0,33.3,1.0,1.0,192.0,126.0,0.0,1.0,8.0,2.0,55.0,30.0,54.5,5.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
Ivan Cavaleiro,FW,27-090,78.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,1.0,0.5,0.5,0.1,3.0,0.0,18.0,24.0,75.0,3.0,26.0,4.0,2.0,3.0,298.0,51.0,9.0,11.0,81.8,6.0,6.0,100.0,2.0,3.0,66.7,2.0,2.0,0.0,0.0,24.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,5.0,4.0,6.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,18.0,16.0,7.0,35.0,66.7,2.0,0.0,89.0,35.0,1.0,0.0,3.0,1.0,46.0,30.0,65.2,7.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,40.0
Josh Onomah,FW,23-264,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,5.0,1.0,0.0,0.0,23.0,13.0,1.0,3.0,33.3,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,1.0,0.0,7.0,5.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre-Frank Zambo Anguissa,CM,25-061,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,17.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,32.0,42.0,76.2,2.0,36.0,3.0,2.0,3.0,495.0,111.0,16.0,21.0,76.2,12.0,14.0,85.7,2.0,2.0,100.0,0.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,7.0,3.0,31.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,29.4,10.0,4.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,16.0,29.0,15.0,4.0,53.0,66.7,2.0,0.0,222.0,92.0,2.0,2.0,4.0,1.0,36.0,33.0,91.7,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,100.0
Bobby Reid,CM,27-349,82.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,15.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,18.0,23.0,78.3,4.0,20.0,7.0,0.0,0.0,321.0,91.0,7.0,8.0,87.5,9.0,10.0,90.0,2.0,5.0,40.0,1.0,2.0,2.0,0.0,22.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,4.0,4.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,7.0,2.0,6.0,1.0,0.0,2.0,2.0,3.0,0.0,4.0,12.0,15.0,8.0,1.0,31.0,0.0,0.0,0.0,183.0,123.0,2.0,0.0,1.0,1.0,23.0,17.0,73.9,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
Aboubakar Kamara,CM,25-315,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,5.0,60.0,0.0,5.0,0.0,0.0,1.0,19.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,1.0,12.0,7.0,58.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Harrison Reed,DM,25-355,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,45.0,19.0,2.0,0.0,4.0,0.1,0.1,0.0,1.0,0.0,27.0,36.0,75.0,5.0,20.0,1.0,1.0,3.0,490.0,156.0,9.0,11.0,81.8,14.0,17.0,82.4,3.0,6.0,50.0,0.0,2.0,0.0,0.0,33.0,3.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,18.0,7.0,11.0,3.0,27.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,6.0,31.6,13.0,5.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,10.0,30.0,9.0,1.0,42.0,33.3,2.0,0.0,71.0,26.0,0.0,0.0,0.0,0.0,26.0,22.0,84.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,100.0
Antonee Robinson,WB,23-161,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,37.0,5.0,0.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,24.0,32.0,75.0,3.0,23.0,2.0,1.0,1.0,417.0,169.0,12.0,13.0,92.3,10.0,14.0,71.4,2.0,3.0,66.7,1.0,1.0,1.0,0.0,25.0,7.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,5.0,7.0,20.0,4.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,10.0,19.0,11.0,1.0,30.0,100.0,1.0,0.0,98.0,58.0,1.0,0.0,1.0,0.0,24.0,21.0,87.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Kenny Tete,WB,25-099,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,21.0,6.0,1.0,0.0,0.0,0.0,0.4,1.0,0.0,26.0,33.0,78.8,2.0,26.0,2.0,0.0,0.0,453.0,229.0,12.0,16.0,75.0,11.0,11.0,100.0,2.0,4.0,50.0,1.0,0.0,2.0,0.0,30.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,10.0,9.0,2.0,24.0,2.0,3.0,1.0,0.0,0.0,1.0,3.0,5.0,4.0,1.0,1.0,1.0,1.0,100.0,0.0,7.0,33.3,14.0,4.0,3.0,0.0,0.0,0.0,7.0,3.0,0.0,4.0,17.0,14.0,18.0,3.0,46.0,0.0,0.0,0.0,135.0,41.0,0.0,1.0,5.0,0.0,27.0,24.0,88.9,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3
Tosin Adarabioyo,CB,23-114,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,10.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,30.0,39.0,76.9,2.0,26.0,2.0,0.0,0.0,681.0,306.0,6.0,7.0,85.7,18.0,18.0,100.0,6.0,14.0,42.9,0.0,1.0,0.0,0.0,34.0,5.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,2.0,12.0,6.0,32.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,4.0,40.0,4.0,5.0,1.0,2.0,0.0,2.0,4.0,8.0,0.0,13.0,33.0,24.0,1.0,0.0,49.0,0.0,0.0,0.0,154.0,67.0,1.0,0.0,0.0,1.0,30.0,27.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,40.0
Joachim Andersen,CB,24-230,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,40.0,67.5,3.0,24.0,2.0,0.0,0.0,618.0,117.0,7.0,9.0,77.8,14.0,17.0,82.4,6.0,13.0,46.2,0.0,1.0,0.0,0.0,38.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,16.0,3.0,28.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,66.7,3.0,2.0,1.0,2.0,0.0,0.0,2.0,10.0,0.0,13.0,29.0,27.0,2.0,0.0,52.0,0.0,0.0,0.0,215.0,112.0,0.0,0.0,1.0,0.0,28.0,28.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,100.0
Ola Aina,CB,24-100,82.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,4.0,1.0,0.0,4.0,0.1,0.1,0.0,0.0,0.0,23.0,33.0,69.7,4.0,16.0,1.0,1.0,1.0,486.0,242.0,8.0,12.0,66.7,11.0,14.0,78.6,3.0,5.0,60.0,0.0,4.0,0.0,0.0,25.0,8.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,14.0,5.0,15.0,3.0,8.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0,1.0,8.0,0.0,13.0,22.0,23.0,7.0,0.0,39.0,100.0,1.0,0.0,141.0,86.0,1.0,0.0,0.0,0.0,21.0,16.0,76.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,100.0
