player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Patrick Bamford,FW,27-063,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,26.0,19.0,1.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,15.0,19.0,78.9,0.0,12.0,0.0,0.0,0.0,160.0,6.0,8.0,11.0,72.7,2.0,3.0,66.7,1.0,1.0,100.0,0.0,1.0,0.0,0.0,14.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,7.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,9.0,47.4,2.0,5.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,12.0,13.0,6.0,21.0,0.0,0.0,0.0,32.0,5.0,0.0,0.0,1.0,1.0,39.0,17.0,43.6,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Mateusz Klich,AM,30-147,90.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,72.0,23.0,4.0,0.0,0.0,0.0,0.0,0.5,6.0,1.0,48.0,64.0,75.0,5.0,47.0,6.0,0.0,0.0,936.0,242.0,24.0,26.0,92.3,13.0,19.0,68.4,9.0,15.0,60.0,4.0,2.0,3.0,1.0,59.0,5.0,3.0,0.0,9.0,4.0,6.0,2.0,0.0,2.0,0.0,36.0,10.0,18.0,3.0,57.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,100.0,0.0,6.0,26.1,7.0,11.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,10.0,33.0,32.0,2.0,67.0,0.0,0.0,0.0,237.0,118.0,2.0,0.0,2.0,1.0,75.0,58.0,77.3,12.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,40.0
Jack Harrison,CM,23-353,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,60.0,22.0,1.0,0.0,2.0,0.1,0.1,0.2,2.0,0.0,24.0,42.0,57.1,1.0,44.0,8.0,3.0,3.0,382.0,110.0,10.0,15.0,66.7,10.0,16.0,62.5,2.0,6.0,33.3,1.0,0.0,1.0,0.0,37.0,5.0,0.0,0.0,5.0,1.0,1.0,4.0,0.0,4.0,0.0,20.0,10.0,12.0,26.0,14.0,0.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,50.0,2.0,10.0,10.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,6.0,18.0,41.0,1.0,55.0,100.0,3.0,0.0,288.0,154.0,2.0,0.0,7.0,3.0,53.0,39.0,73.6,8.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,66.7
Hélder Costa,CM,26-300,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,1.0,17.0,2.0,2.0,2.0,145.0,19.0,6.0,6.0,100.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,2.0,5.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,9.0,6.0,1.0,20.0,100.0,2.0,0.0,58.0,33.0,0.0,1.0,2.0,1.0,20.0,12.0,60.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0
Raphael Dias Belloli,CM,23-329,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,9.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,16.0,18.0,88.9,5.0,23.0,5.0,2.0,3.0,360.0,136.0,5.0,6.0,83.3,9.0,9.0,100.0,2.0,3.0,66.7,0.0,3.0,2.0,0.0,18.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,1.0,11.1,3.0,2.0,4.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,5.0,16.0,12.0,1.0,29.0,66.7,2.0,0.0,104.0,82.0,2.0,0.0,3.0,0.0,28.0,22.0,78.6,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pascal Struijk,DM,21-088,70.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.0,18.0,1.0,0.0,0.0,0.2,0.2,0.1,1.0,0.0,31.0,35.0,88.6,5.0,32.0,2.0,0.0,0.0,678.0,103.0,8.0,8.0,100.0,16.0,18.0,88.9,7.0,8.0,87.5,1.0,4.0,0.0,0.0,35.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,4.0,5.0,26.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,44.4,3.0,10.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,25.0,12.0,2.0,40.0,0.0,0.0,0.0,144.0,61.0,1.0,0.0,1.0,1.0,37.0,32.0,86.5,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
Tyler Roberts,DM,21-300,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,80.0,3.0,9.0,0.0,0.0,0.0,175.0,36.0,4.0,5.0,80.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,1.0,2.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,12.0,0.0,0.0,0.0,47.0,5.0,0.0,0.0,0.0,1.0,10.0,8.0,80.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
Ezgjan Alioski,WB,28-269,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,86.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,78.0,82.1,5.0,60.0,11.0,1.0,1.0,1006.0,341.0,32.0,36.0,88.9,27.0,31.0,87.1,4.0,8.0,50.0,0.0,9.0,0.0,0.0,69.0,9.0,1.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,55.0,16.0,7.0,62.0,5.0,2.0,8.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,7.0,36.8,8.0,8.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,15.0,48.0,28.0,3.0,77.0,100.0,1.0,0.0,372.0,288.0,2.0,1.0,0.0,1.0,61.0,57.0,93.4,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,50.0
Stuart Dallas,WB,29-202,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,13.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,49.0,64.0,76.6,4.0,54.0,4.0,0.0,2.0,813.0,190.0,24.0,27.0,88.9,20.0,24.0,83.3,4.0,7.0,57.1,0.0,5.0,1.0,0.0,56.0,8.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,44.0,14.0,6.0,8.0,48.0,0.0,8.0,0.0,0.0,1.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,3.0,7.0,53.8,4.0,4.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,7.0,31.0,33.0,3.0,62.0,0.0,0.0,0.0,146.0,68.0,2.0,0.0,2.0,0.0,59.0,49.0,83.1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
Liam Cooper,CB,29-069,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,90.0,18.0,6.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,68.0,82.0,82.9,1.0,61.0,2.0,1.0,1.0,1605.0,391.0,13.0,15.0,86.7,40.0,41.0,97.6,15.0,26.0,57.7,0.0,6.0,0.0,0.0,81.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,10.0,20.0,64.0,9.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,4.0,2.0,0.0,3.0,3.0,100.0,0.0,8.0,44.4,8.0,10.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,9.0,42.0,52.0,1.0,1.0,89.0,100.0,1.0,0.0,303.0,183.0,0.0,0.0,0.0,0.0,63.0,63.0,100.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,4.0,1.0,80.0
