player,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Divock Origi,FW,25-221,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,2.0,17.0,1.0,0.0,0.0,146.0,33.0,6.0,7.0,85.7,4.0,5.0,80.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.1,0.0,5.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,8.0,13.0,0.0,21.0,0.0,0.0,0.0,65.0,13.0,0.0,0.0,0.0,4.0,31.0,16.0,51.6,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
Diogo Jota,"RW,FW",23-357,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.0,73.3,1.0,16.0,2.0,0.0,1.0,151.0,33.0,7.0,9.0,77.8,4.0,5.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,1.0,19.0,0.0,0.0,0.0,118.0,57.0,0.0,0.0,0.0,1.0,21.0,17.0,81.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Sadio Mané,"LW,RW",28-229,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,33.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,60.0,1.0,29.0,0.0,2.0,2.0,238.0,65.0,6.0,9.0,66.7,8.0,10.0,80.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,3.0,8.0,17.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,30.3,5.0,12.0,16.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,15.0,28.0,0.0,42.0,100.0,2.0,0.0,148.0,58.0,0.0,0.0,2.0,4.0,47.0,31.0,66.0,13.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
Mohamed Salah,RW,28-163,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,8.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,14.0,20.0,70.0,3.0,21.0,3.0,1.0,1.0,187.0,95.0,10.0,12.0,83.3,3.0,4.0,75.0,1.0,3.0,33.3,0.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,9.0,11.0,6.0,23.0,100.0,1.0,0.0,134.0,61.0,0.0,3.0,0.0,1.0,32.0,18.0,56.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
Roberto Firmino,"FW,LW",29-054,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,85.7,0.0,14.0,1.0,0.0,0.0,173.0,16.0,7.0,7.0,100.0,4.0,5.0,80.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,12.0,8.0,2.0,18.0,0.0,0.0,0.0,67.0,29.0,1.0,0.0,0.0,2.0,19.0,14.0,73.7,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
James Milner,"CM,DM",34-326,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,17.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,68.0,82.4,5.0,49.0,6.0,2.0,2.0,1225.0,347.0,18.0,21.0,85.7,27.0,29.0,93.1,11.0,16.0,68.8,0.0,8.0,0.0,0.0,61.0,7.0,5.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,53.0,2.0,13.0,7.0,56.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,23.5,6.0,9.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,11.0,47.0,19.0,2.0,67.0,100.0,2.0,0.0,217.0,88.0,1.0,1.0,0.0,1.0,60.0,53.0,88.3,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,75.0
Curtis Jones,CM,19-300,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,25.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,63.0,67.0,94.0,4.0,53.0,5.0,0.0,0.0,1111.0,233.0,29.0,29.0,100.0,28.0,30.0,93.3,6.0,7.0,85.7,1.0,5.0,1.0,0.0,64.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,4.0,3.0,5.0,58.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,32.0,6.0,12.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,48.0,30.0,2.0,77.0,0.0,0.0,0.0,273.0,66.0,2.0,2.0,2.0,1.0,71.0,64.0,90.1,7.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Georginio Wijnaldum,DM,30-014,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,11.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,34.0,35.0,97.1,0.0,31.0,4.0,1.0,1.0,611.0,45.0,16.0,16.0,100.0,17.0,17.0,100.0,1.0,2.0,50.0,0.0,3.0,0.0,0.0,32.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,1.0,4.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,27.3,4.0,6.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,4.0,34.0,8.0,0.0,39.0,100.0,1.0,0.0,157.0,38.0,1.0,0.0,0.0,2.0,28.0,28.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Fabinho,"DM,CB",27-033,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,38.0,89.5,1.0,31.0,2.0,0.0,0.0,689.0,91.0,12.0,13.0,92.3,16.0,17.0,94.1,6.0,8.0,75.0,0.0,2.0,0.0,0.0,36.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,4.0,3.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,3.0,42.9,0.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,34.0,3.0,0.0,38.0,0.0,0.0,0.0,155.0,64.0,0.0,0.0,0.0,0.0,31.0,29.0,93.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0
Kostas Tsimikas,LB,24-197,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,50.0,20.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,43.0,74.4,10.0,35.0,16.0,1.0,1.0,607.0,244.0,10.0,12.0,83.3,18.0,23.0,78.3,3.0,7.0,42.9,0.0,6.0,0.0,0.0,39.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,31.0,7.0,5.0,32.0,6.0,2.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,3.0,15.0,8.0,9.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,11.0,32.0,14.0,1.0,47.0,100.0,1.0,0.0,357.0,257.0,3.0,0.0,0.0,1.0,35.0,33.0,94.3,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
