,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Álvaro Negredo,18.0,es ESP,FW,35-205,82.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,12.0,19.0,63.2,0.0,6.0,0.0,0.0,0.0,112.0,11.0,9.0,11.0,81.8,1.0,3.0,33.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,17.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,6.0,6.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,4.0,25.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,45.0,21.0,46.7,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,9.0,47.1
1,Ivan Šaponjić,12.0,rs SRB,FW,23-223,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,12.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alberto Perea,10.0,es ESP,LM,30-084,89.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,6.0,0.0,3.0,2.0,0.0,0.0,0.1,4.0,0.0,19.0,27.0,70.4,3.0,29.0,9.0,4.0,5.0,336.0,80.0,10.0,11.0,90.9,4.0,6.0,66.7,3.0,7.0,42.9,2.0,1.0,1.0,1.0,22.0,5.0,1.0,0.0,13.0,0.0,4.0,2.0,2.0,0.0,0.0,15.0,4.0,8.0,7.0,18.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,2.0,29.0,15.0,2.0,36.0,80.0,4.0,0.0,194.0,131.0,4.0,1.0,5.0,1.0,42.0,29.0,69.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
3,Jairo Izquierdo,25.0,es ESP,LM,27-142,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,1.0,0.0,0.0,35.0,19.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,21.0,18.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Jens Jønsson,2.0,dk DEN,CM,28-062,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,19.0,2.0,1.0,2.0,0.0,0.0,0.3,2.0,0.0,20.0,24.0,83.3,2.0,18.0,1.0,1.0,1.0,331.0,92.0,12.0,13.0,92.3,4.0,5.0,80.0,3.0,4.0,75.0,1.0,0.0,1.0,0.0,23.0,1.0,1.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,3.0,3.0,17.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,3.0,15.8,5.0,11.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,6.0,15.0,9.0,0.0,30.0,100.0,1.0,0.0,83.0,24.0,0.0,0.0,1.0,1.0,22.0,20.0,90.9,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
5,Álex Fernández,8.0,es ESP,CM,28-149,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,65.0,15.0,1.0,1.0,0.0,0.8,0.0,0.0,2.0,0.0,40.0,51.0,78.4,2.0,36.0,3.0,2.0,3.0,721.0,141.0,17.0,18.0,94.4,15.0,17.0,88.2,5.0,11.0,45.5,0.0,2.0,1.0,0.0,44.0,7.0,5.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,31.0,10.0,10.0,8.0,37.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,5.0,8.0,2.0,0.0,0.0,0.0,2.0,7.0,0.0,1.0,12.0,44.0,12.0,2.0,59.0,66.7,2.0,0.0,104.0,48.0,2.0,0.0,1.0,1.0,38.0,32.0,84.2,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,18.0,3.0,4.0,42.9
6,Rubén Sobrino,21.0,es ESP,RM,28-285,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,3.0,1.0,0.0,0.0,0.0,0.1,2.0,1.0,6.0,7.0,85.7,0.0,10.0,0.0,2.0,2.0,147.0,5.0,0.0,0.0,0.0,2.0,2.0,100.0,3.0,3.0,100.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,14.3,6.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,6.0,6.0,1.0,14.0,100.0,2.0,0.0,12.0,8.0,1.0,0.0,1.0,0.0,20.0,9.0,45.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0
7,Filip Malbašić,24.0,rs SRB,RM,28-115,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,5.0,5.0,100.0,0.0,4.0,2.0,0.0,0.0,52.0,1.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,6.0,0.0,0.0,0.0,44.0,34.0,1.0,0.0,1.0,0.0,6.0,6.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,José Mari,6.0,es ESP,DM,33-097,89.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,44.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,73.3,1.0,23.0,2.0,2.0,2.0,472.0,69.0,6.0,8.0,75.0,9.0,9.0,100.0,6.0,10.0,60.0,0.0,3.0,0.0,0.0,28.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,5.0,7.0,1.0,27.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,50.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,1.0,11.0,27.0,6.0,0.0,42.0,100.0,2.0,0.0,102.0,31.0,0.0,0.0,0.0,0.0,18.0,17.0,94.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,13.0,2.0,4.0,33.3
9,Jon Ander Garrido,5.0,es ESP,DM,31-155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
10,Alfonso Espino,22.0,uy URU,LB,29-067,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,12.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,50.0,72.0,1.0,30.0,2.0,1.0,2.0,627.0,177.0,20.0,22.0,90.9,8.0,13.0,61.5,5.0,10.0,50.0,0.0,2.0,0.0,0.0,36.0,14.0,0.0,0.0,17.0,2.0,5.0,1.0,1.0,0.0,0.0,22.0,15.0,13.0,25.0,11.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,33.3,2.0,10.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,7.0,17.0,39.0,12.0,0.0,50.0,50.0,1.0,1.0,195.0,119.0,1.0,0.0,1.0,0.0,32.0,30.0,93.8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,50.0
11,Cala,16.0,es ESP,CB,31-107,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,8.0,2.0,0.0,1.0,0.0,0.0,0.1,2.0,1.0,32.0,39.0,82.1,3.0,29.0,1.0,0.0,0.0,711.0,211.0,5.0,5.0,100.0,18.0,19.0,94.7,6.0,11.0,54.5,1.0,2.0,1.0,0.0,36.0,3.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,10.0,5.0,32.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,2.0,6.0,0.0,1.0,0.0,0.0,2.0,11.0,0.0,3.0,27.0,30.0,1.0,0.0,51.0,0.0,0.0,0.0,148.0,68.0,0.0,0.0,0.0,0.0,31.0,31.0,100.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,4.0,2.0,66.7
12,Marcos Mauro López Gutiérrez,4.0,ar ARG,CB,30-063,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
13,Salvi,7.0,es ESP,RB,29-348,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,18.0,32.0,56.3,1.0,20.0,3.0,0.0,0.0,363.0,153.0,8.0,11.0,72.7,7.0,11.0,63.6,3.0,9.0,33.3,1.0,1.0,2.0,2.0,23.0,9.0,0.0,0.0,6.0,1.0,3.0,1.0,0.0,1.0,0.0,7.0,8.0,17.0,2.0,20.0,1.0,8.0,0.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,22.2,4.0,3.0,2.0,0.0,0.0,2.0,1.0,7.0,0.0,4.0,12.0,19.0,14.0,0.0,36.0,0.0,0.0,0.0,98.0,40.0,0.0,0.0,3.0,0.0,27.0,22.0,81.5,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,60.0
14,Fali,3.0,es ESP,"CB,RB",27-213,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,44.0,4.0,0.0,3.0,0.0,0.1,0.1,0.0,0.0,0.0,25.0,31.0,80.6,0.0,18.0,1.0,1.0,1.0,533.0,90.0,6.0,6.0,100.0,11.0,11.0,100.0,6.0,11.0,54.5,0.0,0.0,0.0,0.0,27.0,4.0,4.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,4.0,8.0,4.0,25.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,10.0,0.0,4.0,27.0,18.0,1.0,1.0,40.0,100.0,1.0,0.0,89.0,55.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,33.3
