,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Paco Alcácer,17.0,es ESP,FW,27-234,83.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,21.0,14.0,0.0,0.0,0.0,1.2,1.2,0.0,1.0,0.0,12.0,16.0,75.0,0.0,9.0,2.0,0.0,0.0,155.0,20.0,6.0,9.0,66.7,4.0,5.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1.0,2.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,21.4,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,8.0,18.0,0.0,0.0,0.0,47.0,18.0,1.0,1.0,1.0,0.0,36.0,15.0,41.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
1,Yeremi Pino,30.0,es ESP,LM,18-183,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,5.0,1.0,0.0,0.0,30.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,6.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,1.0,1.0,6.0,5.0,83.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Gerard Moreno,7.0,es ESP,FW,29-014,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,56.0,12.0,0.0,1.0,1.0,0.4,0.4,0.0,2.0,0.0,28.0,36.0,77.8,6.0,44.0,5.0,2.0,5.0,556.0,132.0,12.0,12.0,100.0,9.0,14.0,64.3,6.0,7.0,85.7,0.0,5.0,2.0,0.0,36.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,10.0,5.0,27.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,25.0,1.0,6.0,5.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,26.0,28.0,7.0,56.0,40.0,2.0,0.0,144.0,65.0,1.0,1.0,3.0,5.0,66.0,48.0,72.7,7.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
3,Manu Trigueros,14.0,es ESP,"LM,RM",29-186,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4,3.0,0.0,61.0,72.0,84.7,10.0,58.0,7.0,0.0,1.0,1121.0,353.0,27.0,29.0,93.1,20.0,22.0,90.9,11.0,16.0,68.8,1.0,12.0,4.0,0.0,70.0,2.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,0.0,0.0,53.0,9.0,10.0,17.0,52.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,27.3,4.0,10.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,45.0,36.0,2.0,77.0,0.0,0.0,0.0,264.0,111.0,3.0,0.0,0.0,4.0,74.0,64.0,86.5,10.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
4,Samuel Chukwueze,11.0,ng NGA,RM,21-334,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,11.0,0.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,21.0,33.0,63.6,3.0,31.0,11.0,1.0,2.0,298.0,82.0,12.0,18.0,66.7,8.0,9.0,88.9,1.0,2.0,50.0,0.0,0.0,3.0,0.0,30.0,3.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,24.0,7.0,2.0,28.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,0.0,5.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,36.0,7.0,40.0,50.0,2.0,1.0,207.0,168.0,1.0,3.0,4.0,1.0,42.0,35.0,83.3,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
5,Moi Gómez,23.0,es ESP,"LM,DM",26-302,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,6.0,1.0,0.0,0.0,108.0,4.0,3.0,3.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,6.0,1.0,0.0,10.0,0.0,0.0,0.0,38.0,11.0,0.0,0.0,1.0,0.0,9.0,6.0,66.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
6,Daniel Parejo,5.0,es ESP,DM,32-005,69.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,12.0,0.0,2.0,0.0,0.0,0.0,0.1,5.0,0.0,63.0,71.0,88.7,10.0,51.0,5.0,0.0,0.0,1391.0,525.0,22.0,26.0,84.6,28.0,28.0,100.0,13.0,17.0,76.5,2.0,8.0,4.0,1.0,64.0,7.0,3.0,0.0,5.0,4.0,4.0,4.0,0.0,1.0,0.0,51.0,9.0,11.0,5.0,63.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,25.0,0.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,9.0,41.0,27.0,2.0,68.0,0.0,0.0,0.0,149.0,89.0,1.0,0.0,0.0,1.0,58.0,57.0,98.3,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
7,Francis Coquelin,19.0,fr FRA,DM,29-343,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,91.3,1.0,21.0,4.0,0.0,0.0,402.0,61.0,6.0,7.0,85.7,15.0,15.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,28.0,2.0,0.0,30.0,0.0,0.0,0.0,89.0,58.0,1.0,0.0,0.0,2.0,23.0,23.0,100.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
8,Étienne Capoue,25.0,fr FRA,DM,32-284,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,20.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,55.0,62.0,88.7,3.0,46.0,3.0,1.0,1.0,1097.0,229.0,19.0,20.0,95.0,31.0,33.0,93.9,5.0,8.0,62.5,0.0,12.0,0.0,0.0,61.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,53.0,5.0,4.0,5.0,55.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,6.0,30.0,5.0,12.0,3.0,0.0,0.0,1.0,7.0,0.0,0.0,3.0,13.0,51.0,8.0,0.0,69.0,100.0,1.0,0.0,174.0,71.0,0.0,0.0,1.0,0.0,55.0,53.0,96.4,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,33.3
9,Fernando Niño,34.0,es ESP,FW,20-179,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
