,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Andreas Voglsammer,21.0,de GER,FW,29-060,61.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,32.0,6.0,0.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,14.0,21.0,66.7,2.0,13.0,1.0,0.0,1.0,187.0,46.0,9.0,13.0,69.2,4.0,7.0,57.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,1.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,8.0,9.0,0.0,8.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,10.0,22.0,9.0,31.0,0.0,1.0,1.0,56.0,34.0,0.0,0.0,5.0,1.0,45.0,28.0,62.2,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,76.9
1,Fabian Klos,9.0,de GER,"AM,FW",33-098,29.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,20.0,3.0,0.0,0.0,0.0,0.9,0.9,0.0,2.0,0.0,7.0,13.0,53.8,2.0,8.0,1.0,0.0,0.0,92.0,19.0,4.0,8.0,50.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,1.0,1.0,0.0,12.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.7,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,16.0,6.0,19.0,0.0,0.0,0.0,66.0,51.0,1.0,0.0,0.0,1.0,29.0,16.0,55.2,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,4.0,55.6
2,Marcel Hartel,30.0,de GER,"AM,LW",25-050,61.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,35.0,17.0,0.0,0.0,1.0,0.2,0.2,0.1,5.0,0.0,15.0,24.0,62.5,1.0,19.0,2.0,1.0,2.0,319.0,123.0,6.0,7.0,85.7,6.0,9.0,66.7,3.0,7.0,42.9,2.0,0.0,1.0,0.0,16.0,8.0,3.0,0.0,6.0,1.0,1.0,4.0,4.0,0.0,0.0,11.0,4.0,9.0,1.0,19.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.4,0.0,10.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14.0,21.0,3.0,27.0,50.0,1.0,0.0,64.0,24.0,1.0,0.0,4.0,1.0,31.0,18.0,58.1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,3.0,40.0
3,Michel Vlap,28.0,nl NED,"CM,AM",23-281,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,1.0,0.0,0.0,0.2,4.0,0.0,9.0,12.0,75.0,0.0,12.0,0.0,0.0,0.0,193.0,65.0,2.0,4.0,50.0,4.0,4.0,100.0,2.0,3.0,66.7,3.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,4.0,1.0,0.0,2.0,2.0,0.0,0.0,6.0,2.0,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0,2.0,14.0,0.0,0.0,0.0,39.0,11.0,0.0,0.0,1.0,2.0,12.0,8.0,66.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
4,Ritsu Doan,8.0,jp JPN,RW,22-267,90.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,48.0,17.0,2.0,0.0,2.0,0.6,0.6,0.6,10.0,0.0,14.0,23.0,60.9,6.0,38.0,2.0,3.0,8.0,342.0,211.0,3.0,5.0,60.0,6.0,8.0,75.0,5.0,9.0,55.6,4.0,1.0,4.0,3.0,17.0,6.0,3.0,0.0,3.0,2.0,5.0,3.0,3.0,0.0,0.0,12.0,1.0,10.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,6.0,35.3,2.0,4.0,11.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,14.0,34.0,7.0,42.0,37.5,4.0,1.0,126.0,47.0,0.0,1.0,2.0,4.0,49.0,26.0,53.1,6.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0
5,Arne Maier,31.0,de GER,"LW,AM",22-061,75.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,8.0,3.0,0.0,1.0,0.1,0.1,0.0,2.0,0.0,24.0,27.0,88.9,1.0,27.0,4.0,1.0,1.0,428.0,39.0,6.0,6.0,100.0,16.0,16.0,100.0,2.0,3.0,66.7,0.0,1.0,0.0,0.0,27.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,3.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,3.0,26.0,11.0,3.0,37.0,100.0,1.0,0.0,172.0,88.0,2.0,0.0,0.0,3.0,31.0,23.0,74.2,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
6,Christian Gebauer,7.0,at AUT,LB,27-080,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,9.0,77.8,0.0,7.0,1.0,2.0,2.0,124.0,27.0,4.0,5.0,80.0,2.0,3.0,66.7,1.0,1.0,100.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,8.0,100.0,2.0,0.0,40.0,14.0,1.0,0.0,0.0,0.0,6.0,4.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Manuel Prietl,19.0,at AUT,CM,29-219,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,18.0,4.0,3.0,1.0,0.0,0.0,0.7,2.0,0.0,30.0,39.0,76.9,1.0,29.0,3.0,1.0,1.0,679.0,152.0,13.0,18.0,72.2,9.0,11.0,81.8,8.0,10.0,80.0,2.0,1.0,0.0,0.0,39.0,0.0,0.0,0.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,25.0,6.0,8.0,9.0,23.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,8.0,44.4,4.0,11.0,3.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,10.0,33.0,9.0,2.0,50.0,100.0,1.0,0.0,116.0,49.0,2.0,0.0,0.0,1.0,27.0,26.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,100.0
8,Fabian Kunze,16.0,de GER,CM,22-269,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,19.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,59.4,4.0,22.0,2.0,0.0,1.0,321.0,96.0,9.0,12.0,75.0,7.0,11.0,63.6,3.0,7.0,42.9,0.0,5.0,0.0,0.0,31.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,7.0,6.0,17.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,3.0,33.3,2.0,5.0,26.3,4.0,10.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,3.0,30.0,6.0,0.0,37.0,0.0,0.0,0.0,75.0,27.0,0.0,0.0,0.0,1.0,28.0,22.0,78.6,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,66.7
9,Sven Schipplock,36.0,de GER,FW,32-122,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,33.0,0.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,42.9,0.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,6.0,0.0,0.0,0.0,73.0,54.0,1.0,0.0,1.0,0.0,11.0,3.0,27.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
