,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Pierre-Emerick Aubameyang,14.0,ga GAB,"FW,LM",31-248,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,0.0,16.0,2.0,0.0,1.0,182.0,9.0,3.0,4.0,75.0,6.0,7.0,85.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.4,0.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,9.0,3.0,18.0,0.0,0.0,0.0,46.0,20.0,0.0,0.0,5.0,0.0,32.0,16.0,50.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,33.3
1,Bukayo Saka,7.0,eng ENG,"LW,RM",19-169,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,48.0,11.0,1.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,30.0,36.0,83.3,3.0,38.0,12.0,1.0,1.0,534.0,147.0,16.0,18.0,88.9,9.0,11.0,81.8,4.0,6.0,66.7,0.0,2.0,2.0,0.0,34.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,26.0,6.0,4.0,21.0,11.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.2,2.0,8.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,21.0,24.0,4.0,47.0,100.0,1.0,0.0,279.0,189.0,6.0,1.0,4.0,1.0,43.0,40.0,93.0,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
2,Nicolas Pépé,19.0,ci CIV,RW,25-268,72.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,6.0,0.0,1.0,0.0,0.1,0.1,0.0,0.0,0.0,13.0,16.0,81.3,0.0,18.0,5.0,0.0,1.0,202.0,33.0,8.0,10.0,80.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,11.0,4.0,21.0,0.0,0.0,0.0,125.0,67.0,0.0,1.0,0.0,0.0,27.0,14.0,51.9,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Emile Smith Rowe,32.0,eng ENG,FW,20-208,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,5.0,0.0,0.0,0.0,36.0,4.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,7.0,0.0,0.0,0.0,26.0,7.0,0.0,0.0,1.0,1.0,5.0,4.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4,Martin Ødegaard,11.0,no NOR,AM,22-066,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,33.0,81.8,1.0,30.0,3.0,1.0,1.0,455.0,62.0,12.0,13.0,92.3,13.0,17.0,76.5,2.0,3.0,66.7,0.0,1.0,0.0,0.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,26.0,5.0,2.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,1.0,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,22.0,12.0,2.0,35.0,100.0,1.0,0.0,78.0,35.0,0.0,1.0,3.0,1.0,35.0,29.0,82.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
5,Alexandre Lacazette,9.0,fr FRA,FW,29-269,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,5.0,1.0,0.0,0.0,59.0,6.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,6.0,0.0,0.0,0.0,29.0,15.0,0.0,0.0,0.0,1.0,4.0,4.0,100.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
6,Mohamed Elneny,25.0,eg EGY,"CM,DM",28-225,85.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,63.0,96.8,1.0,59.0,2.0,0.0,0.0,1005.0,214.0,28.0,28.0,100.0,28.0,29.0,96.6,4.0,4.0,100.0,0.0,1.0,0.0,0.0,62.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,2.0,4.0,4.0,56.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,3.0,30.0,5.0,3.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,8.0,33.0,30.0,9.0,0.0,67.0,0.0,0.0,0.0,316.0,166.0,0.0,0.0,0.0,0.0,58.0,55.0,94.8,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
7,Dani Ceballos,8.0,es ESP,DM,24-198,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,3.0,1.0,0.0,0.0,85.0,38.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,31.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Granit Xhaka,34.0,ch SUI,DM,28-147,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,79.0,14.0,1.0,1.0,0.0,0.0,0.0,0.1,2.0,0.0,65.0,73.0,89.0,6.0,65.0,1.0,1.0,2.0,1257.0,340.0,27.0,27.0,100.0,28.0,31.0,90.3,10.0,14.0,71.4,2.0,11.0,3.0,0.0,71.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,55.0,7.0,11.0,63.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,0.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,7.0,33.0,40.0,11.0,1.0,77.0,50.0,1.0,0.0,337.0,157.0,0.0,0.0,0.0,2.0,67.0,65.0,97.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
9,Kieran Tierney,3.0,sct SCO,LB,23-261,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,59.0,6.0,0.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,38.0,51.0,74.5,3.0,39.0,8.0,1.0,1.0,711.0,231.0,18.0,20.0,90.0,15.0,22.0,68.2,5.0,9.0,55.6,2.0,4.0,1.0,1.0,45.0,6.0,2.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,29.0,9.0,13.0,40.0,2.0,5.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,17.0,21.0,24.0,3.0,53.0,100.0,1.0,0.0,229.0,164.0,1.0,0.0,2.0,1.0,43.0,40.0,93.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
