,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Pierre-Emerick Aubameyang,14.0,ga GAB,FW,31-273,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,32.0,13.0,1.0,0.0,1.0,0.9,0.9,0.0,2.0,0.0,12.0,21.0,57.1,1.0,15.0,4.0,0.0,1.0,179.0,23.0,6.0,9.0,66.7,4.0,7.0,57.1,1.0,1.0,100.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,2.0,3.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,38.5,0.0,7.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,12.0,19.0,4.0,32.0,0.0,0.0,0.0,164.0,117.0,2.0,2.0,2.0,0.0,43.0,22.0,51.2,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0
1,Emile Smith Rowe,32.0,eng ENG,LW,20-233,80.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,35.0,9.0,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,22.0,24.0,91.7,0.0,27.0,5.0,2.0,4.0,319.0,27.0,15.0,16.0,93.8,5.0,6.0,83.3,2.0,2.0,100.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,0.0,5.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,22.2,0.0,5.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,15.0,13.0,4.0,35.0,50.0,2.0,0.0,142.0,102.0,2.0,2.0,1.0,1.0,30.0,26.0,86.7,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
2,Martinelli,35.0,br BRA,LW,19-273,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,1.0,1.0,100.0,0.0,2.0,2.0,0.0,0.0,10.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,45.0,40.0,0.0,1.0,0.0,0.0,4.0,2.0,50.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Nicolas Pépé,19.0,ci CIV,RW,25-293,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,48.0,13.0,2.0,3.0,1.0,0.4,0.4,0.0,2.0,0.0,24.0,30.0,80.0,0.0,35.0,4.0,2.0,4.0,276.0,51.0,19.0,19.0,100.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,25.0,3.0,2.0,23.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,46.2,3.0,8.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,4.0,22.0,26.0,8.0,47.0,50.0,3.0,0.0,195.0,106.0,3.0,1.0,4.0,3.0,39.0,31.0,79.5,7.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
4,Dani Ceballos,8.0,es ESP,AM,24-223,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,7.0,0.0,3.0,0.0,0.0,0.0,0.4,4.0,0.0,27.0,33.0,81.8,5.0,22.0,5.0,0.0,1.0,442.0,135.0,14.0,15.0,93.3,9.0,10.0,90.0,3.0,6.0,50.0,4.0,2.0,1.0,0.0,26.0,7.0,3.0,0.0,5.0,1.0,2.0,2.0,0.0,1.0,0.0,24.0,5.0,4.0,1.0,29.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,2.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,25.0,14.0,2.0,32.0,0.0,0.0,0.0,146.0,103.0,2.0,1.0,0.0,1.0,31.0,24.0,77.4,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
5,Martin Ødegaard,11.0,no NOR,AM,22-091,34.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,7.0,0.0,0.0,0.0,0.2,0.2,0.5,4.0,0.0,23.0,28.0,82.1,4.0,25.0,8.0,2.0,3.0,412.0,123.0,9.0,11.0,81.8,13.0,14.0,92.9,1.0,2.0,50.0,3.0,1.0,2.0,0.0,24.0,4.0,1.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,25.0,0.0,3.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,18.0,15.0,4.0,30.0,66.7,2.0,1.0,163.0,100.0,2.0,1.0,1.0,1.0,25.0,23.0,92.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
6,Granit Xhaka,34.0,ch SUI,DM,28-172,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,87.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,74.0,84.0,88.1,11.0,57.0,7.0,0.0,0.0,1342.0,453.0,34.0,38.0,89.5,29.0,33.0,87.9,10.0,12.0,83.3,1.0,10.0,0.0,0.0,82.0,2.0,2.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,68.0,7.0,9.0,63.0,12.0,6.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,19.0,61.0,12.0,1.0,85.0,0.0,0.0,0.0,319.0,154.0,2.0,0.0,0.0,0.0,76.0,72.0,94.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0
7,Mohamed Elneny,25.0,eg EGY,DM,28-250,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,41.0,90.2,1.0,37.0,4.0,2.0,2.0,749.0,128.0,10.0,11.0,90.9,21.0,23.0,91.3,4.0,5.0,80.0,0.0,1.0,0.0,0.0,40.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,8.0,3.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,14.0,29.0,3.0,0.0,44.0,100.0,2.0,0.0,151.0,70.0,1.0,0.0,0.0,1.0,37.0,33.0,89.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
8,Thomas Partey,18.0,gh GHA,DM,27-278,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,26.0,92.3,1.0,25.0,7.0,2.0,3.0,393.0,80.0,13.0,14.0,92.9,8.0,9.0,88.9,2.0,2.0,100.0,0.0,2.0,0.0,0.0,25.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,24.0,5.0,0.0,32.0,66.7,2.0,0.0,185.0,130.0,1.0,0.0,0.0,2.0,26.0,25.0,96.2,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,50.0
9,Kieran Tierney,3.0,sct SCO,LB,23-286,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,59.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,29.0,47.0,61.7,0.0,34.0,3.0,1.0,1.0,506.0,107.0,11.0,14.0,78.6,15.0,22.0,68.2,2.0,6.0,33.3,0.0,2.0,0.0,0.0,37.0,10.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,26.0,13.0,8.0,32.0,3.0,2.0,10.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,7.0,0.0,5.0,20.0,22.0,20.0,0.0,50.0,100.0,1.0,0.0,159.0,81.0,1.0,0.0,2.0,1.0,39.0,35.0,89.7,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
