,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Eddie Nketiah,30.0,eng ENG,FW,21-187,80.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,33.0,17.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,23.0,28.0,82.1,2.0,18.0,0.0,0.0,0.0,331.0,25.0,13.0,15.0,86.7,8.0,9.0,88.9,1.0,1.0,100.0,0.0,0.0,1.0,0.0,26.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,2.0,2.0,23.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.4,2.0,4.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,14.0,17.0,4.0,31.0,0.0,0.0,0.0,59.0,6.0,0.0,0.0,0.0,0.0,45.0,26.0,57.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,50.0
1,Folarin Balogun,38.0,eng ENG,FW,19-153,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,0.0,0.0,0.0,22.0,2.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,6.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,10.0,5.0,50.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
2,Nicolas Pépé,19.0,ci CIV,LW,25-188,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,85.0,8.0,1.0,2.0,1.0,0.3,0.3,0.4,8.0,1.0,47.0,66.0,71.2,3.0,62.0,6.0,5.0,8.0,719.0,170.0,24.0,30.0,80.0,15.0,21.0,71.4,4.0,7.0,57.1,3.0,1.0,4.0,2.0,62.0,4.0,2.0,0.0,8.0,1.0,10.0,2.0,1.0,0.0,0.0,50.0,6.0,10.0,58.0,6.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,1.0,3.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,26.0,56.0,12.0,82.0,62.5,7.0,2.0,168.0,93.0,1.0,3.0,3.0,8.0,87.0,68.0,78.2,22.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,9.0,1.0,4.0,20.0
3,Reiss Nelson,24.0,eng ENG,RW,20-359,62.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1,5.0,1.0,31.0,35.0,88.6,2.0,27.0,1.0,0.0,1.0,520.0,123.0,16.0,17.0,94.1,9.0,10.0,90.0,5.0,7.0,71.4,5.0,4.0,1.0,1.0,29.0,6.0,1.0,0.0,4.0,3.0,2.0,5.0,2.0,1.0,0.0,26.0,3.0,6.0,3.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,28.0,4.0,33.0,0.0,0.0,0.0,128.0,20.0,0.0,0.0,1.0,1.0,39.0,30.0,76.9,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
4,Willian,12.0,br BRA,RW,32-116,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,2.0,0.0,0.0,1.0,0.2,0.2,0.1,5.0,0.0,28.0,33.0,84.8,3.0,22.0,5.0,0.0,0.0,456.0,161.0,11.0,13.0,84.6,12.0,13.0,92.3,3.0,5.0,60.0,2.0,2.0,1.0,0.0,28.0,5.0,0.0,0.0,3.0,2.0,2.0,5.0,1.0,2.0,0.0,25.0,2.0,6.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,27.0,1.0,32.0,0.0,0.0,0.0,153.0,93.0,1.0,0.0,1.0,0.0,27.0,26.0,96.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
5,Alexandre Lacazette,9.0,fr FRA,AM,29-189,62.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,40.0,5.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,26.0,30.0,86.7,7.0,31.0,3.0,3.0,3.0,417.0,196.0,16.0,18.0,88.9,6.0,7.0,85.7,2.0,2.0,100.0,0.0,6.0,0.0,0.0,29.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,4.0,2.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,40.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,27.0,14.0,2.0,40.0,100.0,3.0,0.0,122.0,57.0,2.0,0.0,1.0,0.0,40.0,31.0,77.5,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
6,Emile Smith Rowe,32.0,eng ENG,AM,20-128,28.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,3.0,1.0,0.0,0.0,0.8,0.8,0.0,3.0,0.0,15.0,17.0,88.2,1.0,13.0,3.0,1.0,1.0,268.0,46.0,5.0,7.0,71.4,9.0,9.0,100.0,1.0,1.0,100.0,0.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,9.0,3.0,19.0,100.0,1.0,0.0,89.0,46.0,2.0,0.0,0.0,0.0,19.0,16.0,84.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
7,Mohamed Elneny,25.0,eg EGY,CM,28-145,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,39.0,45.0,86.7,2.0,32.0,1.0,0.0,0.0,892.0,159.0,6.0,7.0,85.7,19.0,23.0,82.6,13.0,14.0,92.9,0.0,2.0,0.0,0.0,45.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,7.0,5.0,2.0,37.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,14.0,33.0,4.0,0.0,48.0,0.0,0.0,0.0,170.0,66.0,0.0,0.0,1.0,0.0,44.0,40.0,90.9,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,100.0
8,Dani Ceballos,8.0,es ESP,CM,24-118,28.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,47.0,2.0,0.0,1.0,1.0,0.1,0.1,0.1,5.0,0.0,40.0,40.0,100.0,6.0,37.0,5.0,0.0,0.0,770.0,259.0,13.0,13.0,100.0,19.0,19.0,100.0,6.0,6.0,100.0,2.0,3.0,4.0,1.0,37.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,35.0,2.0,3.0,2.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,27.0,20.0,1.0,43.0,0.0,0.0,0.0,262.0,91.0,2.0,0.0,1.0,1.0,34.0,33.0,97.1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
9,Ainsley Maitland-Niles,15.0,eng ENG,CM,23-096,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,10.0,1.0,1.0,1.0,0.9,0.9,0.9,3.0,1.0,40.0,48.0,83.3,5.0,30.0,5.0,0.0,0.0,706.0,113.0,16.0,20.0,80.0,19.0,20.0,95.0,3.0,4.0,75.0,2.0,6.0,0.0,0.0,48.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,5.0,6.0,8.0,34.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,3.0,30.0,3.0,7.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,3.0,8.0,33.0,23.0,6.0,61.0,0.0,0.0,0.0,137.0,88.0,2.0,1.0,1.0,2.0,47.0,44.0,93.6,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,100.0
