,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Timo Werner,11.0,de GER,FW,25-078,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,33.0,11.0,2.0,0.0,0.0,0.5,0.5,0.2,4.0,0.0,15.0,24.0,62.5,0.0,21.0,3.0,0.0,0.0,245.0,30.0,8.0,10.0,80.0,6.0,10.0,60.0,1.0,2.0,50.0,3.0,0.0,1.0,1.0,21.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,16.0,4.0,4.0,6.0,16.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,45.5,1.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,25.0,9.0,30.0,0.0,0.0,0.0,150.0,87.0,0.0,3.0,2.0,2.0,48.0,24.0,50.0,8.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
1,Christian Pulisic,10.0,us USA,"LW,RM,RW",22-247,90.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,68.0,14.0,0.0,0.0,0.0,0.2,0.2,0.2,5.0,1.0,44.0,53.0,83.0,9.0,46.0,11.0,0.0,3.0,686.0,208.0,26.0,30.0,86.7,14.0,16.0,87.5,3.0,3.0,100.0,1.0,6.0,4.0,0.0,52.0,1.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,37.0,8.0,8.0,3.0,42.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,50.0,1.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,9.0,67.0,0.0,0.0,0.0,301.0,191.0,3.0,0.0,4.0,5.0,66.0,53.0,80.3,15.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,3.0,2.0,60.0
2,Mason Mount,19.0,eng ENG,"RW,LM,LW",22-133,90.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,70.0,15.0,0.0,0.0,0.0,0.5,0.5,0.1,6.0,0.0,38.0,54.0,70.4,5.0,55.0,11.0,0.0,2.0,611.0,125.0,21.0,27.0,77.8,17.0,20.0,85.0,0.0,4.0,0.0,3.0,4.0,3.0,0.0,52.0,2.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,43.0,5.0,6.0,8.0,42.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.7,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,53.0,10.0,68.0,0.0,0.0,0.0,246.0,143.0,3.0,2.0,2.0,2.0,63.0,55.0,87.3,9.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
3,Mateo Kovačić,17.0,hr CRO,CM,27-017,65.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,69.0,15.0,3.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,54.0,57.0,94.7,5.0,52.0,8.0,0.0,0.0,1012.0,203.0,19.0,19.0,100.0,33.0,35.0,94.3,2.0,2.0,100.0,0.0,4.0,2.0,0.0,56.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,3.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,6.0,40.0,5.0,8.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,14.0,42.0,22.0,2.0,69.0,0.0,0.0,0.0,325.0,141.0,3.0,0.0,1.0,5.0,55.0,52.0,94.5,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
4,Kai Havertz,29.0,de GER,CM,21-346,25.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,12.0,15.0,80.0,1.0,15.0,2.0,1.0,1.0,175.0,26.0,8.0,10.0,80.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,6.0,22.0,100.0,1.0,0.0,79.0,48.0,3.0,1.0,0.0,1.0,25.0,19.0,76.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,66.7
5,Jorginho,5.0,it ITA,CM,29-154,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,53.0,13.0,2.0,1.0,2.0,0.0,0.0,0.3,3.0,0.0,43.0,45.0,95.6,10.0,38.0,3.0,0.0,1.0,751.0,259.0,22.0,23.0,95.7,18.0,18.0,100.0,3.0,4.0,75.0,2.0,3.0,3.0,1.0,45.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,4.0,5.0,2.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,3.0,23.1,5.0,7.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,11.0,25.0,19.0,0.0,53.0,0.0,0.0,0.0,128.0,70.0,0.0,0.0,0.0,1.0,43.0,42.0,97.7,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,1.0,1.0,50.0
6,Hakim Ziyech,22.0,ma MAR,CM,28-065,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,3.0,0.0,0.0,1.0,0.0,0.0,0.2,3.0,1.0,17.0,23.0,73.9,1.0,17.0,3.0,0.0,0.0,247.0,44.0,12.0,13.0,92.3,5.0,5.0,100.0,0.0,4.0,0.0,2.0,0.0,1.0,0.0,19.0,4.0,1.0,0.0,5.0,2.0,2.0,2.0,2.0,0.0,0.0,17.0,2.0,4.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,21.0,1.0,25.0,0.0,0.0,0.0,67.0,34.0,0.0,0.0,2.0,1.0,24.0,19.0,79.2,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
7,Ben Chilwell,21.0,eng ENG,"WB,LB",24-153,90.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,87.0,14.0,2.0,2.0,0.0,0.5,0.5,0.7,6.0,0.0,56.0,71.0,78.9,6.0,52.0,10.0,1.0,2.0,842.0,300.0,33.0,36.0,91.7,21.0,28.0,75.0,1.0,5.0,20.0,5.0,2.0,2.0,2.0,57.0,14.0,1.0,0.0,3.0,1.0,4.0,2.0,2.0,0.0,0.0,46.0,12.0,13.0,53.0,4.0,2.0,11.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,16.0,29.0,46.0,13.0,75.0,50.0,2.0,0.0,281.0,174.0,1.0,1.0,3.0,0.0,64.0,59.0,92.2,9.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,60.0
8,César Azpilicueta,28.0,es ESP,"WB,RB",31-268,88.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,79.0,17.0,2.0,1.0,1.0,0.0,0.0,0.5,3.0,0.0,58.0,71.0,81.7,9.0,42.0,8.0,0.0,0.0,921.0,438.0,30.0,34.0,88.2,25.0,30.0,83.3,2.0,4.0,50.0,2.0,3.0,4.0,2.0,61.0,10.0,0.0,0.0,7.0,1.0,5.0,0.0,0.0,0.0,0.0,45.0,14.0,12.0,4.0,53.0,2.0,10.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,33.3,2.0,8.0,47.1,7.0,7.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,13.0,31.0,39.0,7.0,69.0,0.0,0.0,0.0,270.0,185.0,3.0,1.0,1.0,0.0,60.0,54.0,90.0,6.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,6.0,3.0,2.0,60.0
9,Antonio Rüdiger,2.0,de GER,CB,28-081,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,61.0,64.0,95.3,4.0,40.0,3.0,0.0,0.0,1360.0,416.0,11.0,11.0,100.0,39.0,40.0,97.5,10.0,12.0,83.3,0.0,12.0,0.0,0.0,60.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,4.0,21.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,55.6,5.0,3.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,3.0,27.0,42.0,4.0,1.0,67.0,0.0,0.0,0.0,199.0,122.0,1.0,0.0,0.0,0.0,51.0,48.0,94.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,33.3
