,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Luis Suárez,9.0,uy URU,FW,33-330,73.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,25.0,8.0,1.0,0.0,0.0,0.8,0.8,0.1,3.0,0.0,12.0,15.0,80.0,0.0,11.0,1.0,0.0,1.0,182.0,37.0,7.0,9.0,77.8,2.0,3.0,66.7,1.0,1.0,100.0,2.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,1.0,12.5,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,5.0,18.0,7.0,23.0,0.0,0.0,0.0,24.0,13.0,0.0,0.0,3.0,0.0,31.0,19.0,61.3,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
1,Geoffrey Kondogbia,4.0,cf CTA,FW,27-308,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,1.0,5.0,1.0,0.0,0.0,116.0,30.0,1.0,2.0,50.0,5.0,5.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
2,João Félix,7.0,pt POR,FW,21-039,72.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,32.0,3.0,0.0,0.0,0.0,0.2,0.2,0.1,1.0,0.0,20.0,25.0,80.0,3.0,26.0,6.0,1.0,4.0,285.0,77.0,14.0,16.0,87.5,6.0,8.0,75.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,3.0,2.0,21.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,19.0,2.0,32.0,25.0,1.0,0.0,121.0,90.0,2.0,0.0,1.0,0.0,40.0,29.0,72.5,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Diego Costa,19.0,es ESP,FW,32-073,18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,1.0,2.0,3.0,66.7,0.0,2.0,1.0,0.0,0.0,60.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,2.0,2.0,8.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,0.0,6.0,5.0,83.3,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Yannick Carrasco,21.0,be BEL,LM,27-106,65.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,15.0,0.0,0.0,1.0,0.0,0.0,0.4,3.0,1.0,21.0,26.0,80.8,1.0,27.0,5.0,0.0,1.0,317.0,90.0,16.0,18.0,88.9,3.0,3.0,100.0,2.0,3.0,66.7,1.0,0.0,1.0,1.0,25.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,1.0,2.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.3,2.0,5.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,21.0,3.0,35.0,0.0,0.0,0.0,138.0,88.0,3.0,1.0,0.0,4.0,36.0,28.0,77.8,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
5,Saúl Ñíguez,8.0,es ESP,LM,26-028,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,0.0,4.0,0.0,0.0,0.0,36.0,0.0,4.0,5.0,80.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,19.0,16.0,0.0,0.0,1.0,1.0,6.0,6.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
6,Thomas Lemar,11.0,fr FRA,RM,25-037,65.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,48.0,17.0,3.0,0.0,0.0,0.1,0.1,0.1,3.0,1.0,35.0,43.0,81.4,4.0,40.0,11.0,2.0,2.0,771.0,190.0,5.0,5.0,100.0,20.0,25.0,80.0,8.0,9.0,88.9,1.0,5.0,1.0,0.0,38.0,5.0,4.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,32.0,5.0,6.0,37.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,6.0,35.3,2.0,6.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,28.0,26.0,1.0,45.0,100.0,2.0,0.0,254.0,173.0,6.0,1.0,0.0,0.0,42.0,39.0,92.9,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Ángel Correa,10.0,ar ARG,RM,25-285,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,100.0,0.0,7.0,0.0,0.0,0.0,112.0,39.0,5.0,5.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,3.0,1.0,8.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
8,Marcos Llorente,14.0,es ESP,DM,25-324,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,44.0,27.0,4.0,1.0,1.0,0.1,0.1,0.0,1.0,1.0,32.0,35.0,91.4,3.0,30.0,1.0,0.0,0.0,570.0,124.0,16.0,17.0,94.1,12.0,12.0,100.0,4.0,5.0,80.0,0.0,3.0,0.0,0.0,33.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,3.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,2.0,50.0,1.0,10.0,37.0,4.0,12.0,11.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,2.0,30.0,14.0,1.0,42.0,0.0,0.0,0.0,104.0,33.0,0.0,0.0,0.0,1.0,35.0,31.0,88.6,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Koke,6.0,es ESP,DM,28-346,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,14.0,4.0,0.0,2.0,0.0,0.0,0.1,2.0,0.0,50.0,54.0,92.6,0.0,40.0,2.0,0.0,0.0,744.0,86.0,32.0,33.0,97.0,14.0,16.0,87.5,4.0,4.0,100.0,2.0,1.0,0.0,0.0,51.0,3.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,4.0,4.0,5.0,46.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,0.0,4.0,7.0,57.1,3.0,2.0,14.3,2.0,10.0,2.0,0.0,0.0,2.0,4.0,1.0,0.0,1.0,11.0,46.0,6.0,0.0,58.0,0.0,0.0,0.0,104.0,44.0,0.0,0.0,0.0,0.0,43.0,41.0,95.3,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
