,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Kike,17.0,es ESP,FW,31-034,72.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,41.0,25.0,2.0,0.0,3.0,0.5,0.5,0.0,2.0,1.0,15.0,24.0,62.5,0.0,27.0,3.0,0.0,0.0,196.0,10.0,12.0,15.0,80.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,5.0,3.0,14.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,1.0,6.0,18.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,15.0,27.0,4.0,39.0,0.0,0.0,0.0,193.0,69.0,2.0,0.0,4.0,2.0,56.0,30.0,53.6,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,5.0,8.0,38.5
1,Yoshinori Mutō,12.0,jp JPN,FW,28-167,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,5.0,1.0,0.0,0.0,9.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,8.3,1.0,2.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,8.0,0.0,0.0,0.0,23.0,21.0,0.0,0.0,2.0,1.0,18.0,4.0,22.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2,Takashi Inui,14.0,jp JPN,LW,32-210,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,37.0,20.0,1.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,13.0,22.0,59.1,0.0,27.0,5.0,2.0,9.0,179.0,35.0,8.0,12.0,66.7,5.0,7.0,71.4,0.0,2.0,0.0,2.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,3.0,6.0,2.0,15.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,5.0,25.0,3.0,3.0,14.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,6.0,6.0,27.0,1.0,35.0,22.2,2.0,0.0,171.0,108.0,2.0,1.0,2.0,0.0,29.0,21.0,72.4,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,33.3
3,Damian Kądzior,19.0,pl POL,RW,28-196,80.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,33.0,22.0,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,14.0,26.0,53.8,0.0,19.0,2.0,2.0,2.0,261.0,104.0,7.0,8.0,87.5,4.0,7.0,57.1,3.0,9.0,33.3,0.0,0.0,0.0,0.0,17.0,9.0,2.0,0.0,3.0,3.0,3.0,7.0,2.0,4.0,1.0,9.0,4.0,13.0,22.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,6.0,16.7,5.0,5.0,22.7,3.0,9.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,26.0,0.0,24.0,100.0,2.0,0.0,59.0,21.0,0.0,0.0,0.0,2.0,29.0,17.0,58.6,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
4,Recio,18.0,es ESP,RW,29-353,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,2.0,1.0,0.0,0.0,0.0,79.0,59.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
5,Papakouli Diop,8.0,sn SEN,AM,34-285,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,19.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,12.0,17.0,70.6,3.0,13.0,1.0,0.0,0.0,216.0,69.0,4.0,5.0,80.0,6.0,8.0,75.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,15.8,8.0,6.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0,10.0,10.0,4.0,24.0,0.0,0.0,0.0,40.0,11.0,0.0,1.0,2.0,0.0,19.0,11.0,57.9,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0,20.0
6,Sergio Cubero Ezcurra,31.0,es ESP,AM,21-115,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Sergio Álvarez,6.0,es ESP,DM,28-341,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,75.0,1.0,18.0,1.0,0.0,0.0,328.0,55.0,6.0,10.0,60.0,5.0,5.0,100.0,4.0,5.0,80.0,0.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,6.0,1.0,17.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,16.7,10.0,12.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,4.0,18.0,7.0,2.0,27.0,0.0,0.0,0.0,69.0,4.0,0.0,1.0,1.0,1.0,13.0,12.0,92.3,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
8,Edu Expósito,10.0,es ESP,DM,24-150,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,19.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,12.0,26.0,46.2,2.0,21.0,2.0,1.0,1.0,237.0,98.0,7.0,10.0,70.0,3.0,9.0,33.3,2.0,4.0,50.0,1.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,6.0,9.0,7.0,17.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,3.0,15.8,9.0,5.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,7.0,10.0,15.0,1.0,32.0,100.0,1.0,0.0,94.0,34.0,0.0,1.0,0.0,2.0,19.0,16.0,84.2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,2.0,33.3
9,Rafa Soares,11.0,pt POR,LB,25-234,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,13.0,5.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,28.0,41.0,68.3,4.0,20.0,2.0,0.0,1.0,570.0,380.0,6.0,7.0,85.7,20.0,23.0,87.0,2.0,10.0,20.0,0.0,2.0,0.0,0.0,27.0,14.0,1.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,13.0,14.0,14.0,27.0,0.0,1.0,13.0,0.0,0.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,50.0,1.0,5.0,38.5,2.0,6.0,5.0,0.0,0.0,4.0,8.0,0.0,0.0,4.0,10.0,17.0,30.0,1.0,41.0,0.0,1.0,0.0,125.0,70.0,1.0,0.0,0.0,3.0,23.0,20.0,87.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
