,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gianluca Lapadula,9.0,pe PER,FW,31-014,77.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,11.0,14.0,78.6,2.0,17.0,6.0,0.0,0.0,198.0,34.0,3.0,3.0,100.0,6.0,8.0,75.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,13.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,14.0,6.0,23.0,0.0,0.0,0.0,128.0,79.0,0.0,3.0,3.0,1.0,43.0,18.0,41.9,7.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0
1,Gabriele Moncini,21.0,it ITA,FW,24-301,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,5.0,62.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,80.0
2,Gianluca Caprari,17.0,it ITA,AM,27-206,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,87.5,3.0,20.0,2.0,2.0,4.0,237.0,94.0,8.0,8.0,100.0,2.0,2.0,100.0,3.0,4.0,75.0,0.0,1.0,1.0,0.0,15.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,2.0,8.0,0.0,0.0,2.0,11.0,15.0,6.0,0.0,24.0,50.0,2.0,0.0,206.0,87.0,2.0,0.0,0.0,0.0,17.0,10.0,58.8,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Roberto Insigne,19.0,it ITA,"RM,AM",26-286,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,70.0,0.0,6.0,0.0,0.0,0.0,100.0,18.0,4.0,4.0,100.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,7.0,5.0,8.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,15.0,8.0,53.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
4,Artur Ioniță,29.0,md MDA,"AM,LM",30-188,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,11.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,20.0,70.0,1.0,13.0,2.0,0.0,0.0,190.0,86.0,9.0,10.0,90.0,2.0,4.0,50.0,1.0,4.0,25.0,1.0,2.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,7.0,5.0,10.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,4.0,36.4,4.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,7.0,13.0,9.0,0.0,26.0,0.0,0.0,0.0,120.0,65.0,2.0,0.0,0.0,1.0,23.0,14.0,60.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,50.0
5,Nicolas Viola,10.0,it ITA,CM,31-132,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,13.0,0.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,6.0,14.0,42.9,1.0,9.0,0.0,1.0,1.0,148.0,107.0,3.0,5.0,60.0,1.0,3.0,33.3,2.0,6.0,33.3,2.0,2.0,0.0,0.0,12.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,8.0,11.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,30.8,2.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,7.0,3.0,0.0,14.0,100.0,1.0,0.0,35.0,30.0,0.0,0.0,1.0,0.0,9.0,9.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,Luca Caldirola,5.0,it ITA,CB,30-020,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,5.0,6.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
7,Përparim Hetemaj,56.0,fi FIN,CM,34-071,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,11.0,2.0,2.0,1.0,0.0,0.0,0.1,1.0,0.0,23.0,29.0,79.3,2.0,26.0,1.0,0.0,0.0,351.0,92.0,12.0,15.0,80.0,9.0,9.0,100.0,1.0,3.0,33.3,1.0,4.0,0.0,0.0,28.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,4.0,1.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,4.0,50.0,2.0,5.0,45.5,6.0,2.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,8.0,18.0,12.0,1.0,36.0,0.0,0.0,0.0,109.0,61.0,0.0,0.0,1.0,2.0,32.0,26.0,81.3,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
8,Andrés Tello,8.0,co COL,CM,24-168,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,54.5,0.0,6.0,0.0,0.0,0.0,99.0,57.0,5.0,8.0,62.5,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,0.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,6.0,5.0,0.0,15.0,0.0,0.0,0.0,22.0,11.0,0.0,0.0,1.0,1.0,7.0,5.0,71.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,66.7
9,Pasquale Schiattarella,28.0,it ITA,DM,33-267,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,41.0,68.3,3.0,19.0,2.0,0.0,0.0,512.0,195.0,14.0,16.0,87.5,9.0,12.0,75.0,4.0,11.0,36.4,0.0,3.0,0.0,0.0,38.0,3.0,3.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,15.0,6.0,33.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,30.0,7.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,5.0,13.0,34.0,4.0,0.0,47.0,0.0,0.0,0.0,68.0,36.0,0.0,0.0,0.0,0.0,33.0,30.0,90.9,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
