,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Rodrigo Palacio,24.0,ar ARG,FW,39-107,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,52.0,10.0,0.0,0.0,1.0,0.1,0.1,0.8,9.0,1.0,38.0,45.0,84.4,2.0,37.0,10.0,1.0,1.0,638.0,83.0,22.0,24.0,91.7,10.0,12.0,83.3,6.0,7.0,85.7,7.0,1.0,2.0,1.0,42.0,3.0,0.0,0.0,14.0,2.0,5.0,0.0,0.0,0.0,0.0,32.0,8.0,5.0,9.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,3.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,34.0,7.0,49.0,100.0,1.0,0.0,276.0,184.0,1.0,4.0,2.0,0.0,57.0,43.0,75.4,14.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1,Musa Barrow,99.0,gm GAM,"LW,FW",22-190,90.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,45.0,15.0,0.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,27.0,35.0,77.1,3.0,36.0,6.0,0.0,0.0,614.0,82.0,8.0,8.0,100.0,14.0,17.0,82.4,5.0,9.0,55.6,0.0,5.0,1.0,0.0,34.0,1.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,27.0,3.0,5.0,3.0,31.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,40.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,25.0,21.0,2.0,44.0,0.0,0.0,0.0,261.0,128.0,2.0,0.0,2.0,3.0,54.0,42.0,77.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Andreas Skov Olsen,11.0,dk DEN,RW,21-145,56.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,17.0,27.0,63.0,1.0,20.0,5.0,0.0,0.0,241.0,40.0,11.0,13.0,84.6,6.0,8.0,75.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,2.0,0.0,0.0,21.0,3.0,3.0,16.0,10.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,7.0,12.0,17.0,3.0,32.0,0.0,0.0,0.0,138.0,74.0,2.0,2.0,1.0,0.0,30.0,25.0,83.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
3,Riccardo Orsolini,7.0,it ITA,RM,24-119,34.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,9.0,1.0,0.0,0.0,0.4,0.4,0.1,1.0,0.0,11.0,16.0,68.8,4.0,14.0,3.0,0.0,0.0,197.0,92.0,5.0,6.0,83.3,6.0,7.0,85.7,0.0,3.0,0.0,1.0,2.0,1.0,0.0,15.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.2,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,10.0,8.0,3.0,20.0,0.0,0.0,0.0,121.0,77.0,0.0,0.0,0.0,0.0,16.0,14.0,87.5,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
4,Emanuel Vignato,55.0,it ITA,AM,20-272,56.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,38.0,84.2,2.0,33.0,5.0,2.0,2.0,501.0,95.0,18.0,18.0,100.0,13.0,17.0,76.5,1.0,2.0,50.0,0.0,5.0,0.0,0.0,37.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,4.0,2.0,6.0,30.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.2,1.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,20.0,19.0,1.0,43.0,100.0,2.0,0.0,168.0,49.0,1.0,0.0,1.0,1.0,48.0,40.0,83.3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Nicola Sansone,10.0,it ITA,LM,29-255,34.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,20.0,90.0,2.0,22.0,6.0,1.0,1.0,306.0,104.0,9.0,10.0,90.0,8.0,9.0,88.9,1.0,1.0,100.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,1.0,18.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,57.1,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,11.0,15.0,1.0,24.0,100.0,1.0,0.0,212.0,134.0,4.0,1.0,0.0,0.0,24.0,21.0,87.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Mattias Svanberg,32.0,se SWE,DM,22-138,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,40.0,19.0,0.0,1.0,1.0,0.2,0.2,0.0,1.0,0.0,29.0,34.0,85.3,5.0,23.0,5.0,0.0,0.0,516.0,169.0,12.0,14.0,85.7,14.0,15.0,93.3,3.0,4.0,75.0,0.0,3.0,2.0,0.0,33.0,1.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,5.0,2.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,10.5,8.0,5.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9.0,23.0,12.0,2.0,39.0,0.0,0.0,0.0,112.0,84.0,2.0,0.0,0.0,0.0,36.0,34.0,94.4,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Jerdy Schouten,30.0,nl NED,DM,24-131,79.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,58.0,19.0,2.0,2.0,0.0,0.0,0.0,0.1,2.0,0.0,46.0,52.0,88.5,3.0,42.0,1.0,1.0,1.0,896.0,270.0,17.0,19.0,89.5,21.0,23.0,91.3,7.0,9.0,77.8,1.0,7.0,0.0,0.0,49.0,3.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,42.0,8.0,2.0,5.0,46.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,8.0,42.1,7.0,9.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,11.0,38.0,10.0,0.0,55.0,100.0,1.0,0.0,161.0,51.0,0.0,0.0,1.0,1.0,45.0,41.0,91.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
8,Andri Fannar Baldursson,18.0,is ISL,DM,19-133,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,100.0,1.0,2.0,0.0,0.0,0.0,36.0,3.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Lorenzo De Silvestri,29.0,it ITA,"LB,RB",33-000,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,16.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,29.0,36.0,80.6,4.0,24.0,2.0,1.0,2.0,423.0,190.0,22.0,24.0,91.7,5.0,7.0,71.4,2.0,2.0,100.0,2.0,3.0,0.0,0.0,35.0,1.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0,5.0,4.0,5.0,28.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,5.0,20.0,4.0,6.0,37.5,5.0,6.0,5.0,0.0,0.0,2.0,4.0,0.0,1.0,5.0,11.0,25.0,10.0,2.0,43.0,50.0,1.0,0.0,114.0,67.0,0.0,0.0,0.0,0.0,36.0,33.0,91.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
