,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Fábio Silva,17.0,pt POR,FW,18-167,86.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,26.0,14.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,12.0,19.0,63.2,0.0,16.0,0.0,2.0,2.0,154.0,1.0,9.0,11.0,81.8,1.0,3.0,33.3,1.0,3.0,33.3,1.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,1.0,15.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.1,3.0,9.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,13.0,8.0,1.0,23.0,100.0,2.0,0.0,58.0,24.0,0.0,0.0,2.0,0.0,33.0,17.0,51.5,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,6.0,14.3
1,Owen Otasowie,54.0,us USA,FW,19-257,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,1.0,0.4,0.4,0.0,1.0,0.0,1.0,1.0,100.0,1.0,3.0,0.0,0.0,0.0,17.0,11.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,2.0,5.0,4.0,80.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
2,Pedro Neto,7.0,pt POR,LW,20-299,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,60.0,6.0,0.0,1.0,1.0,0.1,0.1,0.0,4.0,1.0,37.0,44.0,84.1,1.0,39.0,4.0,3.0,5.0,474.0,73.0,23.0,25.0,92.0,12.0,13.0,92.3,0.0,2.0,0.0,0.0,1.0,0.0,0.0,38.0,6.0,1.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,37.0,4.0,3.0,34.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0,8.0,23.0,31.0,4.0,54.0,60.0,3.0,1.0,216.0,96.0,1.0,3.0,3.0,3.0,53.0,41.0,77.4,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,33.3
3,Adama Traoré,37.0,es ESP,RW,24-343,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,9.0,3.0,1.0,2.0,0.0,0.0,0.4,3.0,1.0,22.0,31.0,71.0,1.0,51.0,11.0,12.0,16.0,389.0,113.0,10.0,13.0,76.9,8.0,10.0,80.0,3.0,4.0,75.0,2.0,1.0,2.0,2.0,31.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,4.0,7.0,2.0,24.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,3.0,33.3,3.0,5.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,10.0,31.0,21.0,2.0,54.0,75.0,13.0,0.0,301.0,211.0,2.0,1.0,4.0,4.0,54.0,40.0,74.1,4.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,100.0
4,Vitinha,20.0,pt POR,AM,20-324,63.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35.0,14.0,2.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,26.0,28.0,92.9,0.0,20.0,1.0,0.0,0.0,362.0,9.0,15.0,16.0,93.8,11.0,11.0,100.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,1.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,5.0,35.7,0.0,12.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,24.0,11.0,1.0,35.0,0.0,0.0,0.0,59.0,16.0,0.0,0.0,2.0,1.0,34.0,29.0,85.3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
5,Max Kilman,49.0,eng ENG,CB,23-224,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15.0,86.7,1.0,9.0,1.0,0.0,0.0,293.0,104.0,3.0,3.0,100.0,9.0,10.0,90.0,1.0,2.0,50.0,0.0,2.0,0.0,0.0,14.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,8.0,3.0,0.0,15.0,0.0,0.0,0.0,39.0,25.0,1.0,0.0,0.0,0.0,12.0,12.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
6,Rúben Neves,8.0,pt POR,DM,23-295,90.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,62.0,16.0,3.0,0.0,1.0,0.8,0.1,0.0,2.0,0.0,45.0,49.0,91.8,1.0,37.0,1.0,0.0,0.0,1037.0,265.0,11.0,12.0,91.7,24.0,25.0,96.0,10.0,12.0,83.3,1.0,9.0,0.0,0.0,45.0,4.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,11.0,7.0,7.0,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,3.0,66.7,1.0,7.0,43.8,13.0,2.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,4.0,19.0,39.0,6.0,1.0,57.0,0.0,0.0,0.0,116.0,59.0,0.0,0.0,0.0,0.0,40.0,39.0,97.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
7,João Moutinho,28.0,pt POR,DM,34-116,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,71.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,52.0,66.0,78.8,4.0,33.0,4.0,0.0,0.0,1033.0,271.0,24.0,26.0,92.3,18.0,22.0,81.8,9.0,17.0,52.9,2.0,4.0,0.0,0.0,58.0,8.0,4.0,0.0,7.0,5.0,1.0,4.0,2.0,2.0,0.0,35.0,12.0,19.0,1.0,60.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,7.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,24.0,33.0,18.0,1.0,63.0,0.0,0.0,0.0,122.0,82.0,2.0,0.0,0.0,0.0,46.0,43.0,93.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,2.0,0.0,100.0
8,Rayan Aït Nouri,3.0,fr FRA,"LB,WB",19-210,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,9.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,50.0,54.0,92.6,1.0,51.0,6.0,0.0,2.0,762.0,241.0,32.0,33.0,97.0,15.0,17.0,88.2,3.0,3.0,100.0,0.0,2.0,0.0,0.0,43.0,11.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,39.0,12.0,3.0,41.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,22.2,3.0,4.0,2.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,18.0,32.0,24.0,1.0,60.0,0.0,0.0,0.0,258.0,186.0,1.0,1.0,0.0,4.0,59.0,49.0,83.1,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
9,Romain Saïss,27.0,ma MAR,CB,30-282,90.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,61.0,4.0,0.0,1.0,4.0,0.2,0.2,0.0,0.0,0.0,39.0,48.0,81.3,1.0,36.0,2.0,1.0,1.0,876.0,234.0,7.0,9.0,77.8,25.0,28.0,89.3,7.0,10.0,70.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,5.0,43.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,4.0,0.0,0.0,3.0,0.0,1.0,1.0,7.0,0.0,18.0,47.0,12.0,3.0,2.0,61.0,100.0,1.0,0.0,133.0,73.0,1.0,0.0,0.0,0.0,42.0,39.0,92.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,33.3
