,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Kike,17.0,es ESP,FW,31-060,74.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,29.0,14.0,1.0,0.0,1.0,0.2,0.2,0.0,0.0,0.0,12.0,17.0,70.6,0.0,16.0,0.0,2.0,3.0,196.0,6.0,4.0,6.0,66.7,3.0,5.0,60.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,7.0,0.0,10.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,21.4,0.0,4.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,17.0,12.0,3.0,27.0,66.7,2.0,0.0,71.0,1.0,0.0,0.0,3.0,2.0,53.0,23.0,43.4,10.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,4.0,4.0,50.0
1,Pedro León,21.0,es ESP,RM,34-061,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,1.0,3.0,1.0,0.0,1.0,53.0,33.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,23.0,16.0,0.0,0.0,0.0,0.0,10.0,3.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2,Bryan,25.0,es ESP,LM,19-348,90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,27.0,3.0,2.0,0.0,0.3,0.3,0.0,1.0,0.0,20.0,29.0,69.0,3.0,33.0,6.0,2.0,5.0,324.0,95.0,10.0,11.0,90.9,8.0,11.0,72.7,1.0,3.0,33.3,0.0,5.0,0.0,0.0,28.0,1.0,1.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,6.0,4.0,22.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,14.8,13.0,9.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,7.0,19.0,20.0,1.0,42.0,40.0,3.0,0.0,192.0,71.0,2.0,0.0,3.0,2.0,59.0,32.0,54.2,7.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,25.0
3,Edu Expósito,10.0,es ESP,CM,24-176,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,58.0,23.0,1.0,3.0,2.0,0.0,0.0,0.2,4.0,1.0,29.0,41.0,70.7,4.0,35.0,6.0,1.0,3.0,549.0,157.0,12.0,12.0,100.0,10.0,13.0,76.9,6.0,12.0,50.0,2.0,1.0,0.0,0.0,35.0,6.0,0.0,0.0,11.0,2.0,0.0,6.0,5.0,1.0,0.0,27.0,5.0,9.0,9.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,9.0,39.1,7.0,14.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,7.0,35.0,19.0,0.0,52.0,33.3,2.0,0.0,182.0,90.0,2.0,0.0,5.0,2.0,44.0,35.0,79.5,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,1.0,66.7
4,Recio,18.0,es ESP,CM,30-013,75.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,39.0,8.0,1.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,24.0,31.0,77.4,1.0,28.0,3.0,2.0,2.0,338.0,35.0,13.0,18.0,72.2,10.0,10.0,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,31.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,5.0,3.0,2.0,23.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,25.0,16.0,2.0,38.0,100.0,2.0,0.0,152.0,36.0,1.0,0.0,1.0,0.0,29.0,24.0,82.8,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
5,Papakouli Diop,8.0,sn SEN,CM,34-311,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,3.0,0.0,0.0,1.0,22.0,0.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,6.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,Yoshinori Mutō,12.0,jp JPN,"RM,FW",28-193,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.0,18.0,23.0,78.3,3.0,25.0,2.0,1.0,1.0,209.0,54.0,12.0,14.0,85.7,5.0,6.0,83.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,23.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,3.0,9.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,21.4,1.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,22.0,1.0,30.0,100.0,1.0,0.0,93.0,43.0,4.0,0.0,3.0,3.0,44.0,27.0,61.4,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,80.0
7,Sergio Álvarez,6.0,es ESP,DM,29-001,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,34.0,73.5,3.0,21.0,1.0,0.0,0.0,499.0,154.0,7.0,8.0,87.5,12.0,14.0,85.7,5.0,9.0,55.6,0.0,1.0,0.0,0.0,34.0,0.0,0.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,3.0,10.0,1.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,100.0,0.0,3.0,33.3,0.0,7.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,6.0,29.0,8.0,0.0,41.0,0.0,0.0,0.0,85.0,13.0,1.0,0.0,0.0,0.0,21.0,20.0,95.2,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,1.0,83.3
8,Aleix García,19.0,es ESP,DM,23-210,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,60.0,0.0,3.0,0.0,0.0,0.0,116.0,12.0,2.0,2.0,100.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,8.0,0.0,0.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,Rafa Soares,11.0,pt POR,LB,25-260,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,13.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,44.0,67.0,65.7,5.0,30.0,0.0,0.0,0.0,764.0,340.0,18.0,24.0,75.0,20.0,28.0,71.4,4.0,12.0,33.3,1.0,4.0,1.0,1.0,46.0,21.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,25.0,22.0,33.0,3.0,10.0,19.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,6.0,46.2,2.0,7.0,4.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,17.0,47.0,15.0,1.0,58.0,0.0,0.0,0.0,77.0,16.0,0.0,0.0,0.0,1.0,31.0,24.0,77.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,3.0,62.5
