,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Roberto Firmino,9.0,br BRA,FW,28-354,85.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,19.0,1.0,0.0,3.0,0.3,0.3,0.4,7.0,1.0,24.0,32.0,75.0,2.0,22.0,3.0,1.0,1.0,328.0,65.0,12.0,15.0,80.0,9.0,12.0,75.0,1.0,2.0,50.0,3.0,1.0,1.0,0.0,31.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,3.0,5.0,7.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,26.3,2.0,6.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,13.0,29.0,8.0,41.0,100.0,1.0,0.0,85.0,25.0,0.0,1.0,2.0,1.0,44.0,34.0,77.3,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
1,Takumi Minamino,18.0,jp JPN,FW,25-248,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,100.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Sadio Mané,10.0,sn SEN,LW,28-163,90.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,61.0,11.0,3.0,1.0,1.0,0.8,0.8,0.1,4.0,1.0,35.0,45.0,77.8,2.0,42.0,11.0,1.0,2.0,563.0,91.0,17.0,23.0,73.9,16.0,19.0,84.2,2.0,2.0,100.0,1.0,0.0,2.0,0.0,44.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,6.0,2.0,14.0,27.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,3.0,66.7,1.0,4.0,36.4,0.0,1.0,10.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,16.0,47.0,7.0,60.0,50.0,1.0,0.0,212.0,110.0,0.0,1.0,1.0,4.0,57.0,49.0,86.0,12.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
3,Mohamed Salah,11.0,eg EGY,RW,28-097,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,74.0,17.0,3.0,0.0,1.0,0.3,0.3,0.5,8.0,1.0,54.0,65.0,83.1,6.0,57.0,8.0,2.0,4.0,858.0,210.0,26.0,28.0,92.9,22.0,24.0,91.7,4.0,6.0,66.7,5.0,8.0,3.0,0.0,64.0,1.0,1.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,52.0,5.0,8.0,54.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,100.0,0.0,9.0,52.9,0.0,2.0,15.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,32.0,46.0,8.0,73.0,50.0,2.0,0.0,280.0,118.0,1.0,1.0,2.0,1.0,83.0,65.0,78.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
4,Georginio Wijnaldum,5.0,nl NED,CM,29-314,90.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,57.0,23.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,40.0,44.0,90.9,1.0,38.0,4.0,1.0,2.0,572.0,102.0,23.0,25.0,92.0,12.0,13.0,92.3,3.0,4.0,75.0,0.0,4.0,0.0,0.0,44.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,4.0,2.0,4.0,38.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,33.3,2.0,9.0,39.1,2.0,7.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,31.0,26.0,3.0,57.0,50.0,1.0,0.0,97.0,44.0,1.0,0.0,1.0,2.0,55.0,47.0,85.5,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
5,Naby Keïta,8.0,gn GUI,CM,25-223,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,46.0,49.0,93.9,4.0,37.0,2.0,2.0,2.0,817.0,143.0,18.0,20.0,90.0,24.0,24.0,100.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,47.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,4.0,2.0,3.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,5.0,25.0,1.0,11.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,43.0,11.0,1.0,52.0,100.0,2.0,0.0,130.0,40.0,2.0,0.0,1.0,1.0,47.0,42.0,89.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
6,James Milner,7.0,eng ENG,CM,34-260,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47.0,48.0,97.9,1.0,37.0,2.0,0.0,0.0,856.0,175.0,27.0,28.0,96.4,13.0,13.0,100.0,7.0,7.0,100.0,0.0,10.0,0.0,0.0,46.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,44.0,3.0,1.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,16.0,3.0,49.0,0.0,0.0,0.0,105.0,41.0,1.0,0.0,1.0,0.0,46.0,45.0,97.8,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Jordan Henderson,14.0,eng ENG,DM,30-095,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.0,0.0,1.0,0.0,0.0,0.0,0.1,1.0,0.0,37.0,47.0,78.7,2.0,30.0,1.0,0.0,0.0,840.0,135.0,10.0,12.0,83.3,17.0,20.0,85.0,10.0,15.0,66.7,1.0,3.0,1.0,0.0,46.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,13.0,6.0,39.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.1,2.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,41.0,7.0,0.0,49.0,0.0,0.0,0.0,203.0,97.0,1.0,0.0,0.0,0.0,41.0,40.0,97.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
8,Thiago Alcántara,6.0,es ESP,DM,29-162,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,89.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,75.0,84.0,89.3,10.0,61.0,4.0,0.0,1.0,1651.0,405.0,25.0,28.0,89.3,33.0,33.0,100.0,17.0,22.0,77.3,1.0,18.0,2.0,0.0,83.0,1.0,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,61.0,7.0,16.0,3.0,78.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,11.1,1.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,58.0,28.0,0.0,88.0,0.0,0.0,0.0,201.0,70.0,1.0,0.0,1.0,0.0,79.0,78.0,98.7,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,100.0
9,Andrew Robertson,26.0,sct SCO,LB,26-193,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,118.0,10.0,2.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,91.0,111.0,82.0,10.0,78.0,10.0,2.0,2.0,1802.0,548.0,34.0,38.0,89.5,45.0,50.0,90.0,11.0,20.0,55.0,0.0,10.0,1.0,0.0,94.0,17.0,0.0,0.0,5.0,3.0,5.0,6.0,1.0,1.0,2.0,80.0,18.0,13.0,94.0,5.0,1.0,11.0,0.0,0.0,1.0,1.0,5.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,7.0,70.0,2.0,4.0,4.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,13.0,62.0,50.0,4.0,101.0,100.0,2.0,0.0,317.0,207.0,3.0,1.0,0.0,1.0,96.0,88.0,91.7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0
