,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Moussa Marega,11.0,ml MLI,FW,29-364,74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,1.0,15.0,1.0,0.0,0.0,118.0,20.0,4.0,4.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,28.6,1.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,9.0,11.0,5.0,19.0,0.0,0.0,0.0,94.0,27.0,2.0,0.0,4.0,2.0,38.0,15.0,39.5,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,14.3
1,Evanilson,30.0,br BRA,FW,21-189,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,3.0,1.0,0.0,0.0,14.0,4.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,28.0,7.0,0.0,0.0,1.0,0.0,6.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Otávio,25.0,pt POR,"LW,LM",26-063,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,33.0,49.0,67.3,8.0,34.0,1.0,0.0,1.0,608.0,190.0,14.0,14.0,100.0,11.0,15.0,73.3,4.0,12.0,33.3,1.0,4.0,3.0,0.0,42.0,7.0,1.0,0.0,7.0,4.0,4.0,4.0,1.0,2.0,0.0,27.0,4.0,18.0,1.0,46.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,2.0,3.0,66.7,1.0,4.0,20.0,2.0,11.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,32.0,27.0,1.0,52.0,0.0,0.0,0.0,98.0,45.0,1.0,0.0,4.0,0.0,51.0,39.0,76.5,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0
3,Jesús Corona,17.0,mx MEX,"RW,RM",28-097,74.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,48.0,7.0,1.0,0.0,1.0,0.0,0.0,0.1,1.0,0.0,22.0,33.0,66.7,0.0,36.0,1.0,2.0,4.0,329.0,83.0,15.0,18.0,83.3,5.0,7.0,71.4,2.0,5.0,40.0,1.0,0.0,0.0,0.0,29.0,4.0,1.0,0.0,5.0,2.0,4.0,0.0,0.0,0.0,0.0,17.0,9.0,7.0,14.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,28.6,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,17.0,33.0,5.0,44.0,50.0,2.0,0.0,67.0,30.0,1.0,0.0,5.0,4.0,41.0,34.0,82.9,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
4,Luis Díaz,7.0,co COL,RM,24-090,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,11.0,1.0,3.0,4.0,65.0,15.0,4.0,4.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,7.0,0.0,11.0,75.0,3.0,0.0,34.0,17.0,0.0,0.0,1.0,2.0,7.0,6.0,85.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
5,Mateus Uribe,8.0,co COL,"CM,DM",30-023,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,47.0,20.0,4.0,1.0,2.0,0.1,0.1,0.0,0.0,0.0,32.0,36.0,88.9,3.0,25.0,3.0,1.0,1.0,468.0,137.0,15.0,16.0,93.8,13.0,14.0,92.9,1.0,2.0,50.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,5.0,4.0,28.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,20.0,2.0,11.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,11.0,23.0,15.0,2.0,47.0,100.0,1.0,0.0,112.0,35.0,1.0,0.0,0.0,0.0,30.0,27.0,90.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,20.0
6,Sérgio Oliveira,27.0,pt POR,"CM,DM",28-315,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,60.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,48.0,62.5,0.0,30.0,4.0,0.0,1.0,481.0,64.0,17.0,19.0,89.5,6.0,10.0,60.0,4.0,14.0,28.6,1.0,1.0,0.0,0.0,37.0,11.0,3.0,0.0,5.0,3.0,1.0,5.0,2.0,3.0,0.0,23.0,9.0,16.0,3.0,40.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,3.0,33.3,2.0,4.0,20.0,4.0,10.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,33.0,21.0,2.0,51.0,0.0,0.0,0.0,147.0,59.0,0.0,0.0,2.0,3.0,33.0,33.0,100.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,100.0
7,Fabio Vieira,50.0,pt POR,DM,20-318,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,8.0,75.0,3.0,6.0,0.0,0.0,0.0,210.0,96.0,0.0,2.0,0.0,2.0,2.0,100.0,4.0,4.0,100.0,0.0,3.0,1.0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,7.0,4.0,0.0,13.0,0.0,0.0,0.0,48.0,20.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
8,Marko Grujić,16.0,rs SRB,DM,25-000,62.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,43.0,16.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,31.0,36.0,86.1,2.0,21.0,2.0,0.0,0.0,561.0,119.0,12.0,13.0,92.3,16.0,19.0,84.2,2.0,3.0,66.7,0.0,4.0,1.0,0.0,35.0,1.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,9.0,3.0,22.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,18.8,2.0,13.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,8.0,26.0,12.0,3.0,43.0,0.0,0.0,0.0,97.0,47.0,2.0,0.0,1.0,1.0,27.0,23.0,85.2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,1.0,88.9
9,Mehdi Taremi,9.0,ir IRN,FW,28-269,28.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,10.0,4.0,1.0,0.0,2.0,0.1,0.1,0.0,0.0,0.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,63.0,30.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,7.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,5.0,45.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
