,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Álvaro Morata,9.0,es ESP,FW,27-360,90.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,48.0,13.0,0.0,0.0,3.0,0.9,0.9,0.4,3.0,0.0,19.0,30.0,63.3,2.0,29.0,2.0,2.0,3.0,248.0,51.0,12.0,18.0,66.7,5.0,8.0,62.5,1.0,1.0,100.0,1.0,0.0,1.0,0.0,28.0,2.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,4.0,1.0,20.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,23.1,1.0,6.0,6.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,19.0,30.0,6.0,46.0,66.7,2.0,0.0,85.0,51.0,3.0,0.0,4.0,2.0,48.0,39.0,81.3,11.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,0.0,100.0
1,Manolo Portanova,39.0,it ITA,LW,20-137,55.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,32.0,10.0,3.0,0.0,2.0,0.5,0.5,0.0,0.0,0.0,16.0,18.0,88.9,0.0,21.0,3.0,0.0,0.0,191.0,20.0,11.0,11.0,100.0,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,70.0,1.0,5.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,9.0,15.0,10.0,2.0,31.0,0.0,0.0,0.0,85.0,41.0,0.0,0.0,0.0,0.0,28.0,21.0,75.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
2,Juan Cuadrado,16.0,co COL,"RW,LW",32-144,35.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,8.0,0.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,12.0,15.0,80.0,1.0,20.0,1.0,3.0,3.0,238.0,46.0,7.0,8.0,87.5,3.0,3.0,100.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,2.0,1.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,11.0,6.0,2.0,19.0,100.0,3.0,0.0,51.0,28.0,0.0,0.0,0.0,0.0,21.0,17.0,81.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Dejan Kulusevski,44.0,se SWE,"RW,LW",20-175,69.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,41.0,11.0,0.0,0.0,1.0,0.0,0.0,0.2,6.0,1.0,25.0,30.0,83.3,6.0,37.0,9.0,2.0,7.0,461.0,233.0,12.0,13.0,92.3,7.0,8.0,87.5,5.0,7.0,71.4,3.0,5.0,1.0,0.0,25.0,5.0,2.0,0.0,8.0,3.0,3.0,3.0,1.0,2.0,0.0,21.0,1.0,8.0,20.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,45.5,4.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,19.0,22.0,2.0,37.0,28.6,2.0,0.0,194.0,125.0,3.0,0.0,2.0,0.0,43.0,33.0,76.7,7.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
4,Federico Bernardeschi,33.0,it ITA,LW,26-244,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,75.0,0.0,14.0,2.0,0.0,0.0,208.0,53.0,6.0,7.0,85.7,4.0,5.0,80.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,15.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,6.0,1.0,16.0,0.0,0.0,0.0,93.0,32.0,2.0,0.0,0.0,1.0,17.0,15.0,88.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,Arthur Melo,5.0,br BRA,CM,24-066,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,46.0,95.7,2.0,41.0,4.0,2.0,2.0,960.0,184.0,17.0,18.0,94.4,16.0,16.0,100.0,11.0,11.0,100.0,0.0,3.0,1.0,0.0,44.0,2.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,5.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.4,5.0,5.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,22.0,24.0,8.0,0.0,48.0,100.0,2.0,0.0,291.0,74.0,2.0,0.0,0.0,0.0,38.0,36.0,94.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
6,Adrien Rabiot,25.0,fr FRA,CM,25-197,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.0,93.3,1.0,12.0,0.0,1.0,1.0,236.0,76.0,8.0,9.0,88.9,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,3.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,33.3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,8.0,6.0,5.0,0.0,15.0,100.0,1.0,0.0,65.0,24.0,0.0,0.0,0.0,0.0,12.0,11.0,91.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Rodrigo Bentancur,30.0,uy URU,DM,23-134,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,19.0,2.0,1.0,5.0,0.0,0.0,0.1,0.0,0.0,61.0,70.0,87.1,5.0,65.0,2.0,3.0,5.0,1166.0,266.0,27.0,28.0,96.4,26.0,28.0,92.9,8.0,12.0,66.7,1.0,5.0,0.0,0.0,70.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,4.0,6.0,13.0,55.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,7.0,36.8,4.0,14.0,1.0,2.0,0.0,3.0,3.0,4.0,0.0,13.0,31.0,48.0,11.0,0.0,87.0,60.0,3.0,1.0,204.0,86.0,1.0,0.0,1.0,0.0,62.0,60.0,96.8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,2.0,1.0,66.7
8,Gianluca Frabotta,38.0,it ITA,WB,21-115,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,56.0,70.0,80.0,8.0,51.0,1.0,1.0,1.0,1061.0,412.0,21.0,24.0,87.5,29.0,34.0,85.3,6.0,10.0,60.0,0.0,5.0,0.0,0.0,62.0,8.0,1.0,0.0,10.0,0.0,4.0,1.0,0.0,0.0,0.0,40.0,16.0,14.0,53.0,7.0,3.0,6.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,40.0,6.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0,26.0,33.0,20.0,3.0,70.0,100.0,1.0,0.0,158.0,45.0,0.0,0.0,0.0,2.0,52.0,49.0,94.2,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,50.0
9,Federico Chiesa,22.0,it ITA,WB,22-358,59.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,31.0,17.0,4.0,0.0,1.0,0.0,0.0,0.9,3.0,1.0,16.0,22.0,72.7,0.0,22.0,2.0,0.0,3.0,272.0,93.0,8.0,10.0,80.0,7.0,9.0,77.8,1.0,2.0,50.0,3.0,0.0,2.0,2.0,19.0,3.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,6.0,3.0,5.0,15.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,100.0,0.0,5.0,29.4,7.0,5.0,5.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,7.0,12.0,15.0,1.0,30.0,0.0,0.0,0.0,102.0,72.0,1.0,0.0,0.0,1.0,29.0,22.0,75.9,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
