,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Álvaro Negredo,18.0,es ESP,FW,35-164,90.0,2.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,42.0,8.0,2.0,0.0,0.0,0.4,0.4,0.2,2.0,1.0,20.0,30.0,66.7,0.0,24.0,1.0,4.0,6.0,376.0,14.0,11.0,16.0,68.8,5.0,8.0,62.5,3.0,4.0,75.0,1.0,0.0,0.0,0.0,25.0,5.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,7.0,4.0,18.0,4.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,6.0,75.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,16.0,24.0,8.0,37.0,66.7,4.0,0.0,104.0,13.0,0.0,0.0,2.0,1.0,47.0,30.0,63.8,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,6.0,3.0,66.7
1,Anthony Lozano,9.0,hn HON,FW,27-281,64.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,5.0,5.0,100.0,1.0,6.0,1.0,1.0,1.0,60.0,23.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,3.0,10.0,100.0,1.0,0.0,23.0,11.0,0.0,0.0,1.0,3.0,29.0,8.0,27.6,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,37.5
2,Ivan Šaponjić,12.0,rs SRB,FW,23-182,26.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,4.0,5.0,80.0,0.0,4.0,0.0,0.0,2.0,54.0,2.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,8.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,18.0,7.0,38.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
3,Alberto Perea,10.0,es ESP,"LM,LB",30-043,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,47.0,24.0,0.0,1.0,3.0,0.1,0.1,0.0,0.0,0.0,29.0,39.0,74.4,4.0,43.0,6.0,3.0,6.0,518.0,165.0,15.0,16.0,93.8,9.0,11.0,81.8,5.0,11.0,45.5,0.0,5.0,0.0,0.0,36.0,3.0,0.0,0.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,31.0,4.0,4.0,2.0,35.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,4.0,16.7,4.0,10.0,10.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,25.0,23.0,1.0,44.0,50.0,3.0,0.0,238.0,117.0,1.0,0.0,0.0,0.0,42.0,35.0,83.3,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
4,Salvi,7.0,es ESP,"RM,RB",29-307,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,17.0,1.0,0.0,0.0,0.0,0.0,0.2,3.0,0.0,33.0,55.0,60.0,2.0,41.0,10.0,0.0,3.0,554.0,178.0,17.0,21.0,81.0,14.0,18.0,77.8,2.0,11.0,18.2,2.0,1.0,3.0,2.0,46.0,9.0,1.0,0.0,1.0,3.0,11.0,1.0,0.0,1.0,0.0,23.0,17.0,15.0,3.0,43.0,2.0,7.0,0.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.8,8.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,18.0,46.0,0.0,55.0,0.0,0.0,0.0,245.0,166.0,2.0,0.0,2.0,2.0,62.0,46.0,74.2,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
5,Fali,3.0,es ESP,"DM,RB",27-172,86.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,62.0,9.0,1.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,53.0,57.0,93.0,3.0,34.0,7.0,0.0,0.0,1342.0,289.0,15.0,15.0,100.0,21.0,22.0,95.5,17.0,19.0,89.5,2.0,5.0,3.0,3.0,52.0,5.0,0.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,35.0,10.0,12.0,15.0,35.0,2.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,4.0,44.4,4.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,42.0,17.0,0.0,56.0,0.0,0.0,0.0,222.0,139.0,2.0,0.0,1.0,0.0,47.0,47.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,50.0
6,Nieto,33.0,es ESP,RM,22-308,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,15.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Jens Jønsson,2.0,dk DEN,DM,28-021,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,19.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,41.0,45.0,91.1,4.0,32.0,3.0,2.0,2.0,811.0,128.0,15.0,16.0,93.8,20.0,22.0,90.9,6.0,7.0,85.7,0.0,4.0,0.0,0.0,45.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,4.0,6.0,6.0,36.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.6,6.0,8.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,32.0,7.0,0.0,49.0,100.0,2.0,0.0,271.0,84.0,0.0,0.0,1.0,0.0,39.0,36.0,92.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
8,Jairo Izquierdo,25.0,es ESP,LB,27-101,86.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,70.0,21.0,4.0,0.0,2.0,0.0,0.0,0.2,1.0,0.0,49.0,58.0,84.5,3.0,49.0,14.0,1.0,1.0,823.0,198.0,23.0,25.0,92.0,24.0,28.0,85.7,2.0,4.0,50.0,1.0,5.0,1.0,1.0,51.0,7.0,1.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,44.0,10.0,4.0,49.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,50.0,2.0,5.0,23.8,10.0,9.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,2.0,16.0,43.0,20.0,0.0,63.0,100.0,1.0,0.0,404.0,286.0,7.0,0.0,0.0,3.0,50.0,47.0,94.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
9,Augusto Fernández,17.0,ar ARG,DM,34-296,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,88.9,1.0,8.0,2.0,0.0,0.0,206.0,38.0,1.0,1.0,100.0,3.0,3.0,100.0,4.0,5.0,80.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,10.0,0.0,0.0,0.0,55.0,33.0,1.0,0.0,0.0,0.0,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
