,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Álex Fernández,8.0,es ESP,"FW,DM,RB,RM",27-355,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,30.0,1.0,0.0,2.0,0.0,0.0,0.2,2.0,0.0,37.0,47.0,78.7,4.0,31.0,2.0,1.0,1.0,634.0,204.0,15.0,16.0,93.8,18.0,20.0,90.0,3.0,9.0,33.3,2.0,2.0,0.0,0.0,40.0,7.0,3.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,25.0,12.0,10.0,11.0,28.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,6.0,20.0,9.0,15.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,12.0,28.0,16.0,0.0,47.0,100.0,1.0,0.0,189.0,82.0,1.0,0.0,1.0,0.0,43.0,34.0,79.1,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,2.0,2.0,50.0
1,Anthony Lozano,9.0,hn HON,FW,27-162,89.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,35.0,13.0,3.0,0.0,0.0,0.5,0.5,0.1,6.0,1.0,10.0,19.0,52.6,1.0,21.0,4.0,4.0,5.0,167.0,66.0,7.0,7.0,100.0,1.0,6.0,16.7,2.0,2.0,100.0,2.0,1.0,2.0,1.0,19.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,6.0,2.0,10.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,30.8,1.0,9.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,15.0,20.0,6.0,35.0,80.0,4.0,0.0,95.0,59.0,1.0,0.0,4.0,2.0,41.0,24.0,58.5,9.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,77.8
2,Filip Malbašić,24.0,rs SRB,FW,27-321,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,5.0,1.0,0.0,1.0,42.0,20.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,3.0,0.0,8.0,0.0,0.0,0.0,26.0,24.0,1.0,0.0,0.0,1.0,9.0,6.0,66.7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,Jorge Pombo,11.0,es ESP,LM,26-225,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,15.0,2.0,0.0,3.0,0.1,0.1,0.0,0.0,0.0,10.0,11.0,90.9,2.0,14.0,2.0,0.0,2.0,165.0,78.0,6.0,7.0,85.7,2.0,2.0,100.0,2.0,2.0,100.0,0.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,3.0,7.0,46.7,7.0,7.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,15.0,7.0,1.0,22.0,0.0,0.0,0.0,129.0,97.0,3.0,0.0,2.0,1.0,20.0,13.0,65.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
4,Álvaro Giménez,21.0,es ESP,FW,29-138,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,0.0,8.0,1.0,0.0,0.0,120.0,0.0,5.0,6.0,83.3,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,25.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,2.0,17.0,0.0,0.0,0.0,37.0,17.0,1.0,0.0,3.0,1.0,22.0,13.0,59.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,33.3
5,Salvi,7.0,es ESP,"RB,RM",29-188,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,16.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,22.0,32.0,68.8,1.0,10.0,1.0,0.0,0.0,407.0,202.0,12.0,14.0,85.7,7.0,12.0,58.3,3.0,6.0,50.0,0.0,2.0,1.0,1.0,22.0,10.0,2.0,0.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,10.0,13.0,9.0,1.0,20.0,2.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,37.5,6.0,7.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,11.0,20.0,12.0,0.0,31.0,0.0,0.0,0.0,58.0,38.0,2.0,0.0,1.0,0.0,26.0,17.0,65.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,100.0
6,Augusto Fernández,17.0,ar ARG,DM,34-177,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,12.0,83.3,0.0,7.0,0.0,0.0,0.0,195.0,20.0,3.0,3.0,100.0,4.0,5.0,80.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,5.0,83.3,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,8.0,4.0,0.0,14.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,8.0,6.0,75.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7,Jens Jønsson,2.0,dk DEN,DM,27-268,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,22.0,3.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,28.0,32.0,87.5,4.0,17.0,4.0,1.0,1.0,457.0,98.0,13.0,15.0,86.7,12.0,13.0,92.3,2.0,3.0,66.7,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,8.0,2.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,22.7,7.0,12.0,3.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,10.0,29.0,4.0,0.0,41.0,100.0,1.0,0.0,108.0,60.0,2.0,0.0,0.0,1.0,23.0,22.0,95.7,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,3.0,3.0,50.0
8,José Mari,6.0,es ESP,DM,32-303,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,14.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,50.0,0.0,14.0,0.0,2.0,2.0,173.0,31.0,0.0,2.0,0.0,7.0,10.0,70.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,17.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,2.0,13.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,28.6,7.0,5.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,15.0,5.0,0.0,22.0,100.0,2.0,0.0,55.0,24.0,0.0,0.0,0.0,1.0,18.0,13.0,72.2,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,66.7
9,Alberto Perea,10.0,es ESP,LM,29-290,45.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,13.0,1.0,0.0,2.0,0.2,0.2,0.4,4.0,0.0,13.0,15.0,86.7,2.0,21.0,4.0,3.0,5.0,213.0,123.0,5.0,5.0,100.0,7.0,7.0,100.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,15.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,1.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,38.5,5.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,4.0,9.0,16.0,4.0,25.0,60.0,3.0,0.0,88.0,43.0,2.0,0.0,1.0,2.0,25.0,17.0,68.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
