,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Ibrahima Niane,7.0,sn SEN,FW,22-052,58.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,75.0,0.0,2.0,0.0,0.0,0.0,69.0,6.0,4.0,5.0,80.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.3,0.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,7.0,6.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,7.0,38.9,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
1,Vagner Gonçalves,27.0,cv CPV,LW,25-112,32.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,9.0,8.0,0.0,0.0,1.0,0.3,0.3,0.4,4.0,2.0,5.0,6.0,83.3,2.0,8.0,0.0,1.0,1.0,92.0,49.0,3.0,4.0,75.0,1.0,1.0,100.0,1.0,1.0,100.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,2.0,9.0,100.0,1.0,0.0,99.0,88.0,1.0,0.0,0.0,0.0,11.0,7.0,63.6,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
2,Papa Ndiaga Yade,26.0,sn SEN,LW,21-117,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,7.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,12.0,19.0,63.2,0.0,17.0,5.0,1.0,1.0,200.0,42.0,6.0,8.0,75.0,5.0,7.0,71.4,1.0,2.0,50.0,1.0,1.0,1.0,1.0,18.0,1.0,0.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,3.0,4.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.6,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,11.0,3.0,22.0,100.0,1.0,0.0,102.0,58.0,0.0,1.0,0.0,2.0,23.0,18.0,78.3,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
3,Thierry Ambrose,9.0,gp GLP,"FW,LW",24-035,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,21.0,16.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,6.0,12.0,50.0,0.0,17.0,2.0,2.0,3.0,96.0,6.0,2.0,5.0,40.0,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,31.3,0.0,11.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,11.0,6.0,21.0,66.7,2.0,0.0,98.0,52.0,1.0,1.0,3.0,3.0,17.0,15.0,88.2,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,100.0
4,Lamine Gueye,13.0,sn SEN,RW,23-050,67.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,40.0,14.0,0.0,1.0,0.0,0.7,0.7,0.0,2.0,0.0,20.0,32.0,62.5,2.0,20.0,3.0,0.0,0.0,277.0,67.0,14.0,14.0,100.0,5.0,12.0,41.7,1.0,6.0,16.7,0.0,0.0,1.0,0.0,25.0,7.0,2.0,0.0,8.0,1.0,5.0,3.0,0.0,1.0,0.0,19.0,7.0,6.0,1.0,27.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,7.1,2.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,12.0,23.0,2.0,33.0,0.0,0.0,0.0,70.0,34.0,0.0,0.0,1.0,2.0,37.0,27.0,73.0,5.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,1.0,2.0,33.3
5,Victorien Angban,5.0,ci CIV,RW,24-215,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,21.0,95.2,1.0,18.0,2.0,0.0,0.0,388.0,99.0,9.0,10.0,90.0,8.0,8.0,100.0,3.0,3.0,100.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,1.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,16.0,2.0,1.0,21.0,0.0,0.0,0.0,72.0,24.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
6,Pape Matar Sarr,15.0,sn SEN,CM,18-230,84.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,58.0,26.0,3.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,42.0,47.0,89.4,2.0,43.0,5.0,3.0,3.0,798.0,130.0,20.0,22.0,90.9,18.0,19.0,94.7,4.0,6.0,66.7,2.0,1.0,1.0,0.0,47.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,40.0,2.0,5.0,5.0,41.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,33.3,2.0,11.0,42.3,5.0,18.0,3.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,12.0,40.0,13.0,1.0,58.0,100.0,3.0,0.0,314.0,138.0,4.0,0.0,3.0,0.0,43.0,41.0,95.3,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0
7,Youssef Maziz,22.0,fr FRA,CM,22-312,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,75.0,0.0,7.0,1.0,0.0,0.0,110.0,7.0,3.0,3.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,8.0,0.0,0.0,0.0,62.0,29.0,2.0,0.0,0.0,0.0,8.0,8.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Habib Maïga,19.0,ci CIV,"CM,DM",25-121,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,68.0,20.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,58.0,86.2,6.0,42.0,9.0,1.0,2.0,1119.0,249.0,14.0,16.0,87.5,27.0,30.0,90.0,9.0,10.0,90.0,0.0,6.0,1.0,1.0,53.0,5.0,2.0,0.0,18.0,3.0,2.0,0.0,0.0,0.0,0.0,43.0,7.0,8.0,3.0,49.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,15.0,6.0,11.0,3.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,12.0,45.0,18.0,1.0,64.0,50.0,1.0,1.0,319.0,162.0,2.0,0.0,2.0,0.0,43.0,38.0,88.4,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,2.0,50.0
9,Kévin N'Doram,4.0,fr FRA,DM,25-100,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,24.0,25.0,96.0,3.0,27.0,2.0,0.0,1.0,629.0,157.0,5.0,5.0,100.0,10.0,11.0,90.9,9.0,9.0,100.0,1.0,3.0,0.0,0.0,25.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,4.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,33.3,5.0,6.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,10.0,28.0,0.0,0.0,34.0,0.0,0.0,0.0,122.0,59.0,0.0,0.0,0.0,3.0,29.0,28.0,96.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0
