,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Bersant Celina,9.0,xk KVX,"AM,FW",24-235,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,11.0,1.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,16.0,19.0,84.2,2.0,17.0,2.0,1.0,2.0,224.0,93.0,11.0,11.0,100.0,4.0,4.0,100.0,1.0,4.0,25.0,1.0,2.0,1.0,1.0,17.0,2.0,1.0,0.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0,13.0,0.0,6.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,27.3,1.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,7.0,0.0,20.0,50.0,1.0,0.0,139.0,75.0,1.0,0.0,0.0,0.0,26.0,16.0,61.5,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
1,Mama Samba Baldé,17.0,gw GNB,FW,25-177,74.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,38.0,22.0,3.0,0.0,1.0,0.4,0.4,0.0,1.0,0.0,14.0,18.0,77.8,0.0,21.0,1.0,1.0,4.0,239.0,13.0,8.0,10.0,80.0,5.0,7.0,71.4,1.0,1.0,100.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,6.0,27.3,1.0,7.0,14.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,15.0,22.0,11.0,35.0,25.0,1.0,0.0,51.0,23.0,0.0,1.0,3.0,3.0,49.0,25.0,51.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,6.0,40.0
2,Mihai Dobre,29.0,ro ROU,FW,22-245,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,6.0,1.0,2.0,4.0,24.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,6.0,50.0,3.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,8.0,5.0,62.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Jordan Marié,14.0,fr FRA,CM,29-215,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,29.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,41.0,75.6,0.0,29.0,0.0,0.0,0.0,663.0,141.0,11.0,16.0,68.8,12.0,14.0,85.7,8.0,9.0,88.9,0.0,2.0,0.0,0.0,41.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,5.0,8.0,8.0,32.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,5.0,17.2,8.0,20.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,12.0,31.0,9.0,0.0,50.0,0.0,0.0,0.0,102.0,20.0,0.0,0.0,0.0,2.0,36.0,34.0,94.4,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
4,Junior Dina Ebimbe,8.0,fr FRA,"CM,RM",20-162,74.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,38.0,17.0,3.0,1.0,0.0,0.3,0.3,0.0,4.0,0.0,24.0,30.0,80.0,2.0,28.0,3.0,3.0,3.0,456.0,28.0,9.0,11.0,81.8,13.0,15.0,86.7,2.0,3.0,66.7,0.0,1.0,0.0,0.0,27.0,3.0,2.0,0.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,26.0,2.0,2.0,3.0,25.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,23.5,4.0,12.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,28.0,17.0,3.0,35.0,100.0,3.0,0.0,229.0,109.0,4.0,1.0,0.0,4.0,27.0,19.0,70.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,50.0
5,Mounir Chouiar,21.0,fr FRA,LM,22-099,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,5.0,0.0,0.0,0.0,70.0,0.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,0.0,0.0,0.0,26.0,2.0,0.0,0.0,0.0,2.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Wesley Lautoa,24.0,nc NCL,"DM,CM",33-250,85.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,41.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,33.0,87.9,1.0,18.0,1.0,0.0,0.0,468.0,110.0,16.0,18.0,88.9,13.0,14.0,92.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,30.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,7.0,2.0,18.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,26.9,5.0,19.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,13.0,28.0,2.0,0.0,38.0,0.0,0.0,0.0,103.0,36.0,0.0,0.0,1.0,1.0,27.0,24.0,88.9,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
7,Jacques Siwe,32.0,fr FRA,CM,19-277,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Aníbal Chalá,13.0,ec ECU,WB,24-358,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,77.3,1.0,12.0,0.0,0.0,0.0,207.0,82.0,13.0,16.0,81.3,4.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,4.0,13.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,14.0,10.0,0.0,19.0,0.0,0.0,0.0,37.0,23.0,0.0,0.0,2.0,1.0,20.0,15.0,75.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3
9,Frédéric Sammaritano,7.0,fr FRA,"LM,RM",35-040,45.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,11.0,0.0,0.0,0.0,0.2,0.2,0.5,5.0,1.0,18.0,23.0,78.3,1.0,14.0,0.0,0.0,0.0,371.0,145.0,11.0,11.0,100.0,2.0,4.0,50.0,5.0,7.0,71.4,4.0,0.0,0.0,0.0,16.0,7.0,2.0,0.0,8.0,4.0,1.0,5.0,2.0,3.0,0.0,13.0,3.0,7.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,18.2,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,15.0,1.0,21.0,0.0,0.0,0.0,60.0,19.0,0.0,0.0,0.0,2.0,20.0,18.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
