,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Dušan Vlahović,9.0,rs SRB,FW,20-326,90.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,48.0,7.0,0.0,0.0,3.0,0.9,0.1,0.0,4.0,1.0,22.0,32.0,68.8,0.0,25.0,2.0,1.0,3.0,404.0,19.0,11.0,15.0,73.3,8.0,14.0,57.1,3.0,3.0,100.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,9.0,9.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.3,1.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,16.0,37.0,8.0,48.0,33.3,2.0,0.0,140.0,38.0,1.0,1.0,2.0,3.0,71.0,40.0,56.3,17.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,5.0,7.0,10.0,41.2
1,Franck Ribéry,7.0,fr FRA,AM,37-256,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,39.0,84.6,10.0,33.0,7.0,0.0,0.0,611.0,214.0,11.0,12.0,91.7,20.0,22.0,90.9,2.0,5.0,40.0,0.0,5.0,2.0,0.0,36.0,3.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,25.0,8.0,6.0,2.0,30.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,2.0,28.6,3.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,29.0,20.0,0.0,44.0,0.0,0.0,0.0,192.0,90.0,3.0,0.0,0.0,7.0,41.0,32.0,78.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,3.0,25.0
2,Borja Valero,6.0,es ESP,AM,35-342,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,100.0,1.0,4.0,2.0,0.0,0.0,128.0,15.0,2.0,2.0,100.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,8.0,0.0,0.0,0.0,42.0,15.0,0.0,0.0,0.0,0.0,6.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,Gaetano Castrovilli,10.0,it ITA,CM,23-306,85.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,12.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,23.0,30.0,76.7,1.0,30.0,6.0,0.0,2.0,393.0,101.0,12.0,13.0,92.3,6.0,7.0,85.7,3.0,6.0,50.0,0.0,3.0,1.0,0.0,29.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,8.0,7.0,21.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0,2.0,7.0,58.3,4.0,4.0,4.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,11.0,27.0,18.0,0.0,49.0,0.0,0.0,1.0,185.0,116.0,2.0,0.0,1.0,3.0,28.0,24.0,85.7,3.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,13.0,1.0,5.0,16.7
4,Patrick Cutrone,63.0,it ITA,CM,22-351,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5,Giacomo Bonaventura,5.0,it ITA,CM,31-119,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,19.0,73.7,2.0,15.0,0.0,0.0,0.0,197.0,59.0,10.0,11.0,90.9,3.0,5.0,60.0,1.0,3.0,33.3,1.0,4.0,0.0,0.0,17.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,7.0,3.0,12.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,66.7,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,17.0,5.0,0.0,21.0,0.0,0.0,0.0,78.0,9.0,0.0,0.0,1.0,2.0,23.0,14.0,60.9,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0
6,José Callejón,77.0,es ESP,CM,33-312,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,72.7,0.0,8.0,1.0,0.0,0.0,129.0,8.0,3.0,3.0,100.0,5.0,6.0,83.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,9.0,5.0,0.0,14.0,0.0,0.0,0.0,28.0,15.0,0.0,0.0,0.0,0.0,14.0,12.0,85.7,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
7,Sofyan Amrabat,34.0,ma MAR,DM,24-120,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,64.0,17.0,3.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,48.0,52.0,92.3,5.0,43.0,2.0,0.0,1.0,1017.0,186.0,16.0,18.0,88.9,22.0,22.0,100.0,9.0,11.0,81.8,1.0,3.0,1.0,1.0,47.0,5.0,3.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,4.0,5.0,4.0,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0,0.0,4.0,7.0,41.2,3.0,12.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,6.0,46.0,15.0,0.0,59.0,0.0,0.0,0.0,250.0,59.0,1.0,0.0,0.0,3.0,41.0,36.0,87.8,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,50.0
8,Antonio Barreca,27.0,it ITA,WB,25-276,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,31.0,51.6,3.0,12.0,5.0,0.0,0.0,238.0,103.0,8.0,12.0,66.7,6.0,12.0,50.0,1.0,5.0,20.0,1.0,1.0,1.0,0.0,18.0,13.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,7.0,9.0,15.0,20.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,13.0,19.0,1.0,21.0,0.0,0.0,0.0,61.0,41.0,2.0,1.0,0.0,1.0,19.0,14.0,73.7,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,2.0,33.3
9,Cristiano Biraghi,3.0,it ITA,WB,28-109,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,22.0,54.5,1.0,13.0,3.0,0.0,1.0,270.0,149.0,3.0,5.0,60.0,6.0,10.0,60.0,3.0,7.0,42.9,0.0,1.0,1.0,1.0,14.0,8.0,2.0,0.0,5.0,2.0,3.0,1.0,1.0,0.0,0.0,6.0,5.0,11.0,15.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,20.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,8.0,13.0,0.0,17.0,0.0,0.0,0.0,80.0,41.0,0.0,0.0,0.0,0.0,13.0,13.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
