,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Borja Mayoral,21.0,es ESP,FW,23-217,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,4.0,1.0,0.0,1.0,0.1,0.1,0.1,3.0,0.0,11.0,12.0,91.7,3.0,8.0,1.0,0.0,0.0,226.0,47.0,6.0,7.0,85.7,3.0,3.0,100.0,2.0,2.0,100.0,1.0,2.0,0.0,0.0,11.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,8.0,1.0,15.0,0.0,0.0,0.0,35.0,11.0,1.0,0.0,1.0,0.0,24.0,12.0,50.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,20.0
1,Bryan Cristante,4.0,it ITA,DM,25-250,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,5.0,1.0,0.0,0.0,0.4,0.4,0.0,1.0,1.0,14.0,21.0,66.7,3.0,14.0,0.0,0.0,0.0,349.0,124.0,5.0,8.0,62.5,4.0,7.0,57.1,5.0,5.0,100.0,0.0,1.0,1.0,0.0,20.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,5.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,16.0,3.0,1.0,23.0,0.0,0.0,0.0,52.0,23.0,0.0,0.0,0.0,0.0,20.0,18.0,90.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,100.0
2,Henrikh Mkhitaryan,77.0,am ARM,"AM,FW",31-292,90.0,3.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,53.0,17.0,6.0,0.0,1.0,0.8,0.8,0.4,9.0,0.0,23.0,35.0,65.7,6.0,28.0,8.0,1.0,3.0,294.0,82.0,17.0,20.0,85.0,5.0,10.0,50.0,1.0,3.0,33.3,5.0,2.0,5.0,0.0,35.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,6.0,4.0,11.0,19.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,1.0,5.0,1.0,3.0,33.3,2.0,7.0,41.2,0.0,9.0,8.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,20.0,33.0,8.0,53.0,33.3,1.0,0.0,226.0,160.0,2.0,3.0,1.0,2.0,43.0,34.0,79.1,12.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,1.0,75.0
3,Pedro,11.0,es ESP,AM,33-103,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,12.0,1.0,0.0,0.0,0.1,0.1,0.1,3.0,1.0,24.0,31.0,77.4,3.0,29.0,5.0,1.0,1.0,525.0,131.0,8.0,11.0,72.7,11.0,13.0,84.6,5.0,6.0,83.3,2.0,2.0,2.0,2.0,31.0,0.0,0.0,0.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,21.0,6.0,4.0,12.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,17.0,20.0,3.0,36.0,100.0,1.0,0.0,212.0,56.0,1.0,0.0,1.0,0.0,33.0,29.0,87.9,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
4,Jordan Veretout,17.0,fr FRA,DM,27-252,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,12.0,0.0,2.0,1.0,0.0,0.0,0.4,5.0,2.0,45.0,58.0,77.6,7.0,47.0,5.0,2.0,2.0,1150.0,351.0,7.0,11.0,63.6,24.0,29.0,82.8,14.0,17.0,82.4,3.0,11.0,1.0,0.0,55.0,3.0,0.0,0.0,14.0,2.0,2.0,3.0,0.0,3.0,0.0,42.0,1.0,15.0,8.0,48.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,33.3,2.0,7.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,10.0,40.0,21.0,3.0,60.0,100.0,2.0,0.0,391.0,256.0,2.0,2.0,0.0,2.0,46.0,43.0,93.5,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,2.0,33.3
5,Lorenzo Pellegrini,7.0,it ITA,"DM,AM",24-142,86.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,77.0,7.0,1.0,0.0,1.0,0.1,0.1,0.4,3.0,0.0,48.0,69.0,69.6,2.0,49.0,4.0,0.0,1.0,853.0,173.0,18.0,20.0,90.0,23.0,27.0,85.2,5.0,18.0,27.8,1.0,4.0,1.0,0.0,60.0,9.0,3.0,1.0,12.0,0.0,1.0,5.0,5.0,0.0,0.0,44.0,9.0,16.0,7.0,55.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,3.0,42.9,0.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,11.0,47.0,22.0,1.0,69.0,0.0,0.0,0.0,333.0,119.0,2.0,1.0,1.0,0.0,54.0,51.0,94.4,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,14.0,1.0,3.0,25.0
6,Gonzalo Villar,14.0,es ESP,AM,22-230,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Leonardo Spinazzola,37.0,it ITA,WB,27-228,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,66.7,1.0,4.0,0.0,0.0,0.0,108.0,51.0,2.0,3.0,66.7,4.0,4.0,100.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Bruno Peres,33.0,br BRA,WB,30-252,77.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,50.0,8.0,1.0,0.0,2.0,0.3,0.3,0.4,4.0,1.0,31.0,35.0,88.6,5.0,32.0,1.0,0.0,0.0,693.0,128.0,12.0,12.0,100.0,9.0,11.0,81.8,10.0,11.0,90.9,3.0,2.0,0.0,0.0,28.0,7.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,7.0,6.0,2.0,27.0,0.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,37.5,2.0,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,8.0,28.0,20.0,5.0,44.0,0.0,0.0,0.0,197.0,60.0,0.0,0.0,3.0,1.0,38.0,34.0,89.5,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
9,Rick Karsdorp,2.0,nl NED,WB,25-271,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,9.0,2.0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,38.0,45.0,84.4,5.0,31.0,4.0,2.0,2.0,684.0,244.0,20.0,21.0,95.2,14.0,17.0,82.4,4.0,7.0,57.1,1.0,4.0,1.0,0.0,40.0,5.0,0.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,33.0,9.0,3.0,2.0,38.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,33.3,2.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,33.0,13.0,1.0,44.0,100.0,2.0,0.0,146.0,60.0,1.0,0.0,1.0,0.0,42.0,39.0,92.9,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
