,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Andronikos Kakoulli,80.0,cy CYP,FW,19-207,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,1.0,5.0,0.0,0.0,0.0,100.0,27.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,7.4,3.0,18.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,1.0,28.0,8.0,28.6,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,14.3
1,Mamadou Kaly Sene,7.0,sn SEN,FW,19-182,17.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,5.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,1.0,0.0,0.0,13.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,0.0,0.0,0.0,33.0,16.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
2,Marinos Tzionis,21.0,cy CYP,LW,19-133,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,46.7,0.0,18.0,6.0,0.0,2.0,110.0,26.0,5.0,7.0,71.4,1.0,3.0,33.3,1.0,3.0,33.3,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,4.0,4.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,5.0,16.0,6.0,3.0,24.0,0.0,0.0,0.0,186.0,113.0,1.0,2.0,1.0,0.0,23.0,16.0,69.6,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,Thiago Santos,70.0,br BRA,LW,33-137,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,83.3,1.0,11.0,1.0,0.0,0.0,129.0,25.0,8.0,10.0,80.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,38.5,8.0,4.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,11.0,3.0,0.0,17.0,0.0,0.0,0.0,39.0,20.0,1.0,0.0,1.0,1.0,16.0,10.0,62.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,25.0
4,Éric Bauthéac,11.0,fr FRA,RW,33-094,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,10.0,100.0,2.0,15.0,4.0,0.0,1.0,273.0,58.0,2.0,2.0,100.0,5.0,5.0,100.0,3.0,3.0,100.0,0.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,1.0,0.0,16.0,0.0,0.0,0.0,155.0,86.0,1.0,0.0,1.0,1.0,14.0,13.0,92.9,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,Ernest Asante,88.0,gh GHA,RW,32-020,55.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,8.0,8.0,100.0,0.0,9.0,2.0,0.0,0.0,143.0,0.0,3.0,3.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.5,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,8.0,4.0,1.0,12.0,0.0,0.0,0.0,84.0,46.0,1.0,0.0,1.0,1.0,17.0,11.0,64.7,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6,Shehu Abdullahi,4.0,ng NGA,DM,27-259,57.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,15.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,23.0,27.0,85.2,0.0,22.0,0.0,0.0,1.0,353.0,40.0,14.0,14.0,100.0,7.0,9.0,77.8,2.0,4.0,50.0,0.0,1.0,0.0,0.0,25.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,4.0,6.0,19.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,13.3,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,26.0,4.0,1.0,31.0,0.0,0.0,0.0,97.0,31.0,0.0,0.0,1.0,2.0,25.0,24.0,96.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7,Jordi Gómez,16.0,es ESP,DM,35-186,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,66.7,1.0,15.0,2.0,0.0,0.0,245.0,90.0,5.0,6.0,83.3,4.0,6.0,66.7,3.0,5.0,60.0,0.0,0.0,0.0,0.0,14.0,4.0,3.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,11.0,0.0,7.0,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,16.7,2.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,6.0,17.0,2.0,0.0,20.0,0.0,0.0,0.0,69.0,26.0,0.0,0.0,0.0,1.0,16.0,13.0,81.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
8,Ioannis Kousoulos,31.0,cy CYP,DM,24-165,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,27.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,37.0,83.8,1.0,28.0,0.0,1.0,1.0,587.0,120.0,12.0,13.0,92.3,13.0,13.0,100.0,5.0,8.0,62.5,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,6.0,3.0,32.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,18.5,10.0,15.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,11.0,29.0,4.0,1.0,44.0,100.0,1.0,0.0,92.0,25.0,0.0,0.0,0.0,2.0,37.0,33.0,89.2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Kiko,5.0,pt POR,WB,27-311,58.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,39.0,15.0,2.0,1.0,2.0,0.0,0.0,0.2,1.0,0.0,21.0,29.0,72.4,5.0,15.0,1.0,0.0,1.0,428.0,258.0,9.0,10.0,90.0,9.0,12.0,75.0,3.0,6.0,50.0,1.0,2.0,0.0,0.0,18.0,11.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,0.0,18.0,4.0,7.0,22.0,1.0,0.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,7.0,46.7,12.0,1.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,16.0,15.0,10.0,0.0,27.0,0.0,0.0,0.0,61.0,54.0,0.0,0.0,1.0,2.0,19.0,16.0,84.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
