,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gianluca Lapadula,9.0,pe PER,FW,30-269,74.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,39.0,18.0,1.0,0.0,0.0,0.7,0.7,0.3,3.0,1.0,20.0,28.0,71.4,1.0,20.0,1.0,1.0,1.0,221.0,24.0,15.0,21.0,71.4,4.0,5.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,26.0,2.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,3.0,16.0,6.0,3.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,5.0,27.8,3.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,18.0,20.0,7.0,37.0,100.0,1.0,0.0,64.0,13.0,0.0,0.0,1.0,2.0,43.0,29.0,67.4,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,8.0,20.0
1,Gabriele Moncini,21.0,it ITA,FW,24-190,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,57.1,0.0,5.0,0.0,0.0,0.0,42.0,0.0,3.0,5.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,8.0,7.0,87.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
2,Gianluca Caprari,17.0,it ITA,AM,27-095,71.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,52.0,10.0,0.0,1.0,0.0,0.1,0.1,0.5,4.0,1.0,33.0,46.0,71.7,5.0,36.0,4.0,0.0,0.0,500.0,213.0,16.0,17.0,94.1,14.0,20.0,70.0,1.0,6.0,16.7,2.0,4.0,2.0,0.0,40.0,6.0,0.0,1.0,12.0,4.0,0.0,5.0,2.0,3.0,0.0,34.0,4.0,8.0,6.0,38.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,30.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22.0,33.0,3.0,45.0,0.0,0.0,0.0,260.0,102.0,2.0,0.0,1.0,2.0,41.0,37.0,90.2,6.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,100.0
3,Roberto Insigne,19.0,it ITA,AM,26-175,70.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,31.0,14.0,0.0,0.0,2.0,0.7,0.7,0.1,3.0,0.0,19.0,23.0,82.6,1.0,23.0,6.0,0.0,0.0,304.0,34.0,10.0,11.0,90.9,7.0,8.0,87.5,2.0,2.0,100.0,1.0,1.0,1.0,0.0,22.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,50.0,2.0,5.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,19.0,7.0,30.0,0.0,0.0,0.0,149.0,60.0,2.0,1.0,1.0,0.0,20.0,17.0,85.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
4,Riccardo Improta,16.0,it ITA,AM,26-319,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,2.0,9.0,2.0,0.0,0.0,156.0,71.0,2.0,2.0,100.0,6.0,7.0,85.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,1.0,13.0,0.0,0.0,0.0,86.0,43.0,1.0,0.0,1.0,0.0,13.0,10.0,76.9,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
5,Bryan Dabo,14.0,bf BFA,CM,28-258,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,67.0,13.0,0.0,2.0,2.0,0.1,0.1,0.0,1.0,0.0,45.0,51.0,88.2,8.0,37.0,3.0,1.0,1.0,714.0,228.0,23.0,25.0,92.0,20.0,24.0,83.3,2.0,2.0,100.0,1.0,5.0,0.0,0.0,49.0,2.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,4.0,3.0,12.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,30.8,2.0,10.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,4.0,14.0,36.0,20.0,3.0,65.0,100.0,1.0,0.0,222.0,49.0,1.0,1.0,3.0,1.0,54.0,45.0,83.3,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,10.0,7.0,2.0,77.8
6,Artur Ioniță,29.0,md MDA,CM,30-077,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,56.0,27.0,5.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,34.0,45.0,75.6,3.0,25.0,4.0,1.0,2.0,516.0,127.0,20.0,25.0,80.0,13.0,16.0,81.3,1.0,2.0,50.0,0.0,1.0,0.0,0.0,44.0,1.0,1.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,5.0,7.0,11.0,29.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,3.0,66.7,1.0,8.0,29.6,6.0,18.0,3.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,11.0,36.0,12.0,3.0,55.0,50.0,1.0,0.0,129.0,64.0,3.0,0.0,2.0,0.0,44.0,39.0,88.6,7.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,66.7
7,Pasquale Schiattarella,28.0,it ITA,DM,33-156,74.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,18.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,35.0,47.0,74.5,6.0,27.0,3.0,0.0,0.0,766.0,244.0,13.0,16.0,81.3,14.0,18.0,77.8,7.0,12.0,58.3,0.0,5.0,2.0,0.0,44.0,3.0,3.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,25.0,7.0,15.0,3.0,40.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,4.0,25.0,3.0,8.0,44.4,3.0,12.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,7.0,35.0,10.0,0.0,49.0,0.0,0.0,0.0,91.0,43.0,0.0,0.0,0.0,0.0,39.0,35.0,89.7,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
8,Andrés Tello,8.0,co COL,DM,24-057,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,91.7,0.0,12.0,0.0,1.0,1.0,184.0,15.0,4.0,5.0,80.0,7.0,7.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,60.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,2.0,0.0,14.0,100.0,1.0,0.0,37.0,9.0,0.0,0.0,1.0,1.0,11.0,10.0,90.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
9,Daam Foulon,18.0,be BEL,LB,21-224,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,40.0,54.0,74.1,5.0,44.0,8.0,1.0,1.0,678.0,323.0,16.0,19.0,84.2,23.0,26.0,88.5,1.0,8.0,12.5,1.0,5.0,1.0,0.0,48.0,6.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,37.0,4.0,13.0,43.0,4.0,2.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,53.3,8.0,3.0,4.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,14.0,34.0,20.0,0.0,60.0,100.0,1.0,0.0,252.0,139.0,3.0,0.0,2.0,1.0,50.0,46.0,92.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0
