,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Krzysztof Piątek,9.0,pl POL,FW,25-219,62.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,27.0,17.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,0.0,11.0,16.0,68.8,0.0,15.0,3.0,0.0,0.0,159.0,37.0,8.0,8.0,100.0,3.0,7.0,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,11.8,0.0,10.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,11.0,12.0,5.0,25.0,0.0,0.0,0.0,56.0,39.0,1.0,2.0,2.0,1.0,37.0,20.0,54.1,7.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,100.0
1,Nemanja Radonjić,24.0,rs SRB,"LW,FW",24-356,28.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.1,0.1,0.1,2.0,0.0,7.0,8.0,87.5,1.0,9.0,4.0,1.0,2.0,98.0,55.0,5.0,6.0,83.3,2.0,2.0,100.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,2.0,12.0,50.0,2.0,0.0,103.0,87.0,1.0,2.0,0.0,0.0,18.0,11.0,61.1,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
2,Matheus Cunha,10.0,br BRA,"LW,RW",21-254,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,18.0,3.0,2.0,0.0,0.5,0.5,0.1,9.0,0.0,19.0,37.0,51.4,2.0,42.0,5.0,4.0,6.0,299.0,103.0,13.0,18.0,72.2,2.0,5.0,40.0,4.0,13.0,30.8,2.0,3.0,0.0,0.0,29.0,8.0,5.0,0.0,9.0,5.0,3.0,3.0,0.0,2.0,1.0,23.0,2.0,12.0,0.0,35.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,7.0,38.9,7.0,7.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,23.0,26.0,4.0,48.0,66.7,5.0,0.0,268.0,184.0,1.0,3.0,1.0,8.0,51.0,36.0,70.6,7.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
3,Dodi Lukebakio,11.0,be BEL,"RW,FW",23-134,80.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,30.0,9.0,2.0,1.0,1.0,0.4,0.4,0.0,0.0,0.0,18.0,21.0,85.7,0.0,17.0,1.0,1.0,1.0,387.0,84.0,9.0,11.0,81.8,5.0,5.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,4.0,2.0,13.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,7.0,14.0,9.0,2.0,29.0,100.0,1.0,0.0,50.0,18.0,0.0,1.0,2.0,1.0,37.0,22.0,59.5,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,100.0
4,Mathew Leckie,7.0,au AUS,FW,30-001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,0.0,2.0,0.0,0.0,0.0,26.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,100.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,Vladimír Darida,6.0,cz CZE,AM,30-181,55.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,11.0,1.0,1.0,2.0,0.0,0.0,0.5,3.0,0.0,18.0,21.0,85.7,4.0,19.0,4.0,1.0,2.0,373.0,154.0,7.0,8.0,87.5,8.0,8.0,100.0,3.0,5.0,60.0,3.0,4.0,0.0,0.0,20.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,18.2,3.0,6.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,6.0,18.0,8.0,1.0,29.0,50.0,1.0,0.0,115.0,70.0,1.0,1.0,1.0,1.0,23.0,20.0,87.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
6,Mattéo Guendouzi,8.0,fr FRA,AM,21-297,35.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,6.0,1.0,2.0,0.0,0.1,0.1,0.5,1.0,0.0,8.0,14.0,57.1,1.0,13.0,1.0,1.0,1.0,145.0,74.0,4.0,5.0,80.0,2.0,5.0,40.0,2.0,3.0,66.7,1.0,1.0,0.0,0.0,14.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,3.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,10.0,5.0,1.0,17.0,100.0,1.0,1.0,75.0,49.0,0.0,0.0,0.0,0.0,11.0,8.0,72.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7,Santiago Ascacíbar,18.0,ar ARG,DM,23-346,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,78.1,1.0,21.0,1.0,0.0,0.0,456.0,112.0,16.0,16.0,100.0,4.0,9.0,44.4,5.0,7.0,71.4,0.0,1.0,0.0,0.0,31.0,1.0,1.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,4.0,13.0,17.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,4.0,75.0,1.0,9.0,30.0,15.0,13.0,2.0,0.0,0.0,0.0,5.0,2.0,0.0,4.0,14.0,24.0,5.0,0.0,41.0,0.0,0.0,0.0,89.0,58.0,1.0,0.0,0.0,2.0,22.0,21.0,95.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
8,Sami Khedira,28.0,de GER,DM,33-307,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,11.0,81.8,0.0,6.0,0.0,0.0,0.0,218.0,21.0,1.0,2.0,50.0,5.0,5.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,25.0,8.0,0.0,0.0,0.0,0.0,10.0,9.0,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
9,Lucas Tousart,29.0,fr FRA,DM,23-282,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,11.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,29.0,79.3,2.0,25.0,3.0,1.0,1.0,526.0,192.0,7.0,7.0,100.0,13.0,15.0,86.7,3.0,6.0,50.0,0.0,2.0,0.0,0.0,28.0,1.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,4.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,100.0,0.0,4.0,36.4,5.0,5.0,1.0,0.0,0.0,2.0,4.0,7.0,0.0,7.0,20.0,24.0,4.0,1.0,43.0,100.0,1.0,0.0,203.0,92.0,1.0,0.0,0.0,0.0,22.0,20.0,90.9,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
