,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Marcus Berg,33.0,se SWE,FW,34-099,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,13.0,20.0,65.0,1.0,19.0,1.0,0.0,0.0,209.0,18.0,7.0,11.0,63.6,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,4.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,10.0,1.0,4.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,13.0,12.0,5.0,29.0,0.0,0.0,0.0,51.0,19.0,0.0,0.0,3.0,2.0,27.0,20.0,74.1,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0
1,Ari,9.0,ru RUS,FW,34-349,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,0.1,0.1,0.1,1.0,0.0,6.0,12.0,50.0,1.0,16.0,2.0,1.0,1.0,96.0,18.0,4.0,6.0,66.7,2.0,6.0,33.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,2.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,4.0,16.0,100.0,1.0,0.0,63.0,31.0,1.0,0.0,2.0,0.0,20.0,14.0,70.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2,Rémy Cabella,7.0,fr FRA,FW,30-261,84.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,46.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,29.0,36.0,80.6,5.0,39.0,7.0,3.0,3.0,442.0,113.0,17.0,19.0,89.5,9.0,10.0,90.0,3.0,5.0,60.0,0.0,3.0,3.0,0.0,33.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,2.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,20.0,0.0,3.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,31.0,16.0,5.0,43.0,100.0,3.0,0.0,260.0,168.0,1.0,1.0,2.0,2.0,39.0,30.0,76.9,4.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
3,Daniil Utkin,47.0,ru RUS,FW,21-043,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,1.0,2.0,0.0,0.0,0.0,54.0,15.0,3.0,3.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
4,Viktor Claesson,16.0,se SWE,LM,28-327,83.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,35.0,7.0,1.0,0.0,0.0,0.1,0.1,0.1,2.0,0.0,20.0,28.0,71.4,4.0,22.0,3.0,0.0,0.0,240.0,87.0,13.0,16.0,81.3,6.0,9.0,66.7,0.0,0.0,0.0,1.0,0.0,2.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,2.0,1.0,22.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,20.0,4.0,2.0,28.6,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,16.0,18.0,6.0,35.0,0.0,0.0,0.0,89.0,61.0,3.0,0.0,1.0,0.0,34.0,24.0,70.6,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,50.0
5,Yevgeni Chernov,18.0,ru RUS,LM,28-032,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,7.0,2.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0
6,Magomed-Shapi Suleymanov,93.0,ru RUS,RM,20-344,45.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,5.0,2.0,0.0,1.0,0.1,0.1,0.0,1.0,0.0,14.0,19.0,73.7,1.0,20.0,2.0,1.0,2.0,204.0,69.0,9.0,12.0,75.0,5.0,5.0,100.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,8.0,10.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,50.0,1.0,2.0,40.0,1.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,5.0,9.0,15.0,3.0,27.0,50.0,2.0,0.0,102.0,48.0,1.0,1.0,0.0,1.0,26.0,20.0,76.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
7,Wanderson,10.0,br BRA,RM,26-048,45.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,25.0,2.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,11.0,21.0,52.4,1.0,18.0,3.0,1.0,1.0,131.0,32.0,5.0,8.0,62.5,5.0,8.0,62.5,0.0,1.0,0.0,0.0,2.0,0.0,0.0,20.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,12.0,7.0,2.0,0.0,17.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,14.0,3.0,24.0,100.0,1.0,0.0,82.0,52.0,1.0,0.0,1.0,1.0,21.0,18.0,85.7,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,100.0
8,Kristoffer Olsson,14.0,se SWE,DM,25-147,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,5.0,0.0,0.0,1.0,0.0,0.0,0.1,2.0,1.0,27.0,32.0,84.4,4.0,26.0,3.0,1.0,2.0,491.0,145.0,14.0,16.0,87.5,8.0,8.0,100.0,5.0,7.0,71.4,2.0,2.0,2.0,0.0,30.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,4.0,4.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,24.0,9.0,0.0,33.0,50.0,1.0,0.0,165.0,85.0,2.0,0.0,1.0,0.0,25.0,24.0,96.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
9,Tonny Vilhena,52.0,nl NED,DM,25-326,24.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,2.0,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,8.0,11.0,72.7,1.0,11.0,1.0,0.0,0.0,146.0,75.0,2.0,3.0,66.7,4.0,4.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,10.0,4.0,1.0,17.0,0.0,0.0,0.0,22.0,14.0,1.0,0.0,1.0,1.0,11.0,10.0,90.9,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
