,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Joaquín Correa,11.0,ar ARG,FW,26-103,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,42.0,12.0,1.0,0.0,0.0,0.2,0.2,0.8,10.0,3.0,27.0,32.0,84.4,5.0,29.0,5.0,5.0,5.0,552.0,126.0,10.0,13.0,76.9,11.0,11.0,100.0,5.0,5.0,100.0,4.0,4.0,2.0,0.0,31.0,1.0,0.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,9.0,3.0,2.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.7,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,24.0,19.0,5.0,41.0,100.0,5.0,1.0,187.0,131.0,2.0,0.0,4.0,2.0,53.0,37.0,69.8,11.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,50.0
1,Ciro Immobile,17.0,it ITA,FW,30-278,80.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,44.0,10.0,1.0,0.0,0.0,0.9,0.2,0.0,4.0,2.0,28.0,32.0,87.5,3.0,34.0,4.0,2.0,2.0,477.0,89.0,14.0,15.0,93.3,7.0,7.0,100.0,5.0,7.0,71.4,0.0,3.0,0.0,0.0,31.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,6.0,2.0,29.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,2.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,22.0,19.0,4.0,43.0,100.0,2.0,0.0,140.0,76.0,1.0,0.0,3.0,4.0,48.0,38.0,79.2,5.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,2.0,0.0
2,Vedat Muriqi,94.0,xk KVX,FW,26-214,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,7.0,9.0,77.8,2.0,5.0,0.0,0.0,0.0,121.0,52.0,4.0,5.0,80.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,3.0,3.0,14.0,0.0,0.0,0.0,20.0,17.0,0.0,0.0,1.0,2.0,14.0,9.0,64.3,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
3,Luis Alberto,10.0,es ESP,CM,28-057,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,93.0,24.0,4.0,1.0,1.0,0.2,0.2,0.5,2.0,0.0,64.0,80.0,80.0,16.0,66.0,17.0,1.0,3.0,1079.0,455.0,32.0,35.0,91.4,26.0,31.0,83.9,5.0,9.0,55.6,2.0,8.0,5.0,0.0,72.0,8.0,3.0,1.0,16.0,2.0,0.0,5.0,3.0,0.0,0.0,55.0,17.0,8.0,1.0,77.0,0.0,0.0,1.0,0.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0,2.0,4.0,50.0,2.0,8.0,33.3,11.0,12.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,16.0,55.0,33.0,1.0,85.0,33.3,1.0,0.0,558.0,392.0,4.0,0.0,1.0,1.0,79.0,71.0,89.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
4,Marco Parolo,16.0,it ITA,CM,35-304,59.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,8.0,1.0,0.0,2.0,0.3,0.3,0.0,1.0,0.0,9.0,11.0,81.8,1.0,6.0,1.0,0.0,0.0,129.0,42.0,5.0,6.0,83.3,2.0,2.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,12.5,1.0,7.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0,7.0,7.0,6.0,2.0,20.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,1.0,0.0,19.0,12.0,63.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,3.0,62.5
5,Jean-Daniel Akpa-Akpro,92.0,ci CIV,CM,28-044,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,100.0,1.0,6.0,2.0,0.0,1.0,310.0,18.0,4.0,4.0,100.0,3.0,3.0,100.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,42.9,3.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,10.0,1.0,0.0,16.0,0.0,0.0,0.0,54.0,37.0,1.0,0.0,0.0,0.0,13.0,10.0,76.9,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
6,Lucas Leiva,6.0,br BRA,DM,33-320,67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,37.0,42.0,88.1,2.0,28.0,2.0,1.0,1.0,759.0,290.0,12.0,14.0,85.7,20.0,21.0,95.2,5.0,6.0,83.3,1.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,3.0,6.0,31.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,33.3,4.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,21.0,25.0,5.0,0.0,47.0,100.0,1.0,0.0,168.0,86.0,0.0,0.0,1.0,0.0,35.0,34.0,97.1,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,75.0
7,Danilo Cataldi,32.0,it ITA,DM,26-110,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,19.0,84.2,1.0,14.0,1.0,0.0,0.0,270.0,95.0,7.0,7.0,100.0,8.0,10.0,80.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,17.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,14.0,2.0,3.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,11.0,6.0,3.0,0.0,18.0,0.0,0.0,0.0,66.0,18.0,0.0,0.0,0.0,0.0,14.0,14.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
8,Adam Marušić,77.0,me MNE,WB,28-038,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,25.0,29.0,86.2,1.0,24.0,3.0,3.0,3.0,366.0,93.0,15.0,18.0,83.3,6.0,7.0,85.7,3.0,3.0,100.0,1.0,0.0,2.0,1.0,24.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,6.0,1.0,3.0,22.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,33.3,5.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,13.0,10.0,14.0,1.0,31.0,100.0,3.0,1.0,97.0,46.0,0.0,1.0,1.0,0.0,25.0,21.0,84.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
9,Manuel Lazzari,29.0,it ITA,WB,26-361,67.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,36.0,9.0,0.0,1.0,0.0,0.4,0.4,0.0,0.0,0.0,24.0,28.0,85.7,0.0,25.0,6.0,1.0,1.0,418.0,66.0,12.0,13.0,92.3,11.0,12.0,91.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,21.0,7.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,16.0,7.0,5.0,0.0,21.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,44.4,5.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,15.0,14.0,2.0,29.0,100.0,1.0,0.0,105.0,54.0,1.0,1.0,5.0,1.0,30.0,27.0,90.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
