,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Patrick Bamford,9.0,eng ENG,FW,27-097,73.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,19.0,0.0,0.0,0.0,0.3,0.3,0.0,1.0,1.0,12.0,15.0,80.0,1.0,12.0,3.0,1.0,1.0,165.0,44.0,7.0,9.0,77.8,5.0,6.0,83.3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,21.1,1.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,9.0,4.0,18.0,100.0,1.0,0.0,73.0,32.0,0.0,0.0,0.0,0.0,34.0,17.0,50.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,66.7
1,Tyler Roberts,11.0,wls WAL,FW,21-334,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.0,4.0,2.0,0.0,0.0,57.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,4.0,0.0,0.0,0.0,37.0,20.0,1.0,0.0,0.0,1.0,11.0,4.0,36.4,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Jack Harrison,22.0,eng ENG,LM,24-021,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,1.0,0.0,0.0,0.0,0.0,0.1,2.0,0.0,15.0,22.0,68.2,4.0,20.0,5.0,1.0,3.0,320.0,129.0,4.0,6.0,66.7,8.0,9.0,88.9,3.0,4.0,75.0,1.0,3.0,2.0,1.0,22.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,9.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,50.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,10.0,11.0,0.0,27.0,33.3,1.0,0.0,99.0,56.0,1.0,0.0,2.0,0.0,24.0,21.0,87.5,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,66.7
3,Hélder Costa,17.0,ao ANG,LM,26-334,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,62.5,2.0,11.0,3.0,0.0,1.0,143.0,36.0,5.0,5.0,100.0,5.0,9.0,55.6,0.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0,4.0,12.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,25.0,7.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,6.0,15.0,1.0,22.0,0.0,0.0,0.0,95.0,49.0,1.0,0.0,0.0,2.0,23.0,17.0,73.9,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
4,Mateusz Klich,43.0,pl POL,CM,30-181,90.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,61.0,21.0,2.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,40.0,50.0,80.0,1.0,28.0,4.0,0.0,0.0,595.0,59.0,25.0,27.0,92.6,10.0,13.0,76.9,3.0,4.0,75.0,0.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,41.0,3.0,6.0,4.0,43.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,28.6,6.0,10.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,11.0,23.0,30.0,3.0,60.0,0.0,0.0,0.0,203.0,91.0,1.0,0.0,4.0,0.0,45.0,43.0,95.6,8.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
5,Rodrigo,20.0,es ESP,CM,29-280,90.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,41.0,18.0,0.0,0.0,1.0,0.4,0.4,0.0,2.0,0.0,17.0,32.0,53.1,0.0,30.0,5.0,2.0,2.0,281.0,48.0,8.0,12.0,66.7,8.0,13.0,61.5,1.0,5.0,20.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,3.0,7.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,27.8,2.0,11.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,14.0,29.0,5.0,41.0,100.0,2.0,0.0,155.0,62.0,1.0,0.0,3.0,1.0,56.0,37.0,66.1,12.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,50.0
6,Raphael Dias Belloli,18.0,br BRA,RM,23-363,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,58.0,23.0,1.0,2.0,2.0,0.3,0.3,0.3,6.0,0.0,29.0,46.0,63.0,5.0,32.0,4.0,2.0,2.0,539.0,302.0,13.0,17.0,76.5,13.0,16.0,81.3,3.0,10.0,30.0,4.0,4.0,2.0,1.0,38.0,8.0,3.0,1.0,3.0,1.0,4.0,5.0,1.0,2.0,1.0,31.0,3.0,12.0,41.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,21.7,10.0,5.0,8.0,0.0,0.0,2.0,3.0,3.0,0.0,4.0,12.0,16.0,33.0,6.0,51.0,100.0,2.0,0.0,207.0,128.0,1.0,2.0,4.0,0.0,49.0,38.0,77.6,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
7,Kalvin Phillips,23.0,eng ENG,DM,25-009,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,75.0,22.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,56.0,63.0,88.9,5.0,43.0,5.0,0.0,0.0,1513.0,318.0,8.0,8.0,100.0,32.0,34.0,94.1,16.0,20.0,80.0,0.0,9.0,1.0,0.0,59.0,4.0,3.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,47.0,5.0,11.0,6.0,54.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,36.4,8.0,12.0,2.0,1.0,0.0,2.0,5.0,1.0,0.0,6.0,31.0,42.0,7.0,0.0,72.0,0.0,0.0,0.0,282.0,143.0,1.0,0.0,1.0,1.0,48.0,47.0,97.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,50.0
8,Ezgjan Alioski,10.0,mk MKD,LB,28-303,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,13.0,2.0,1.0,1.0,0.0,0.0,0.1,3.0,0.0,27.0,30.0,90.0,1.0,14.0,3.0,0.0,0.0,378.0,111.0,21.0,21.0,100.0,5.0,6.0,83.3,1.0,2.0,50.0,1.0,3.0,1.0,1.0,23.0,7.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,19.0,9.0,2.0,19.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,100.0,0.0,3.0,23.1,3.0,9.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,2.0,15.0,11.0,11.0,0.0,29.0,0.0,0.0,0.0,117.0,82.0,0.0,0.0,0.0,0.0,26.0,21.0,80.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
9,Jamie Shackleton,46.0,eng ENG,RB,21-064,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,10.0,0.0,1.0,2.0,0.0,0.0,0.1,1.0,0.0,26.0,29.0,89.7,1.0,25.0,5.0,0.0,0.0,434.0,137.0,13.0,15.0,86.7,11.0,11.0,100.0,1.0,2.0,50.0,1.0,3.0,1.0,1.0,26.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,4.0,3.0,5.0,20.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,6.0,14.0,14.0,0.0,30.0,0.0,0.0,0.0,103.0,65.0,1.0,0.0,0.0,0.0,31.0,23.0,74.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
