,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Ignatius Ganago,27.0,cm CMR,FW,21-216,74.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,26.0,6.0,0.0,1.0,0.0,1.4,1.4,0.3,6.0,3.0,13.0,16.0,81.3,0.0,27.0,4.0,5.0,5.0,142.0,1.0,10.0,10.0,100.0,2.0,4.0,50.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,18.0,7.0,26.0,100.0,5.0,0.0,100.0,54.0,0.0,1.0,4.0,0.0,40.0,22.0,55.0,9.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,50.0
1,Corentin Jean,25.0,fr FRA,FW,25-066,16.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,100.0,0.0,3.0,0.0,0.0,0.0,38.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,42.9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Florian Sotoca,7.0,fr FRA,FW,29-330,73.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,40.0,10.0,2.0,0.0,0.0,0.5,0.5,0.0,2.0,0.0,24.0,27.0,88.9,2.0,28.0,3.0,0.0,2.0,364.0,108.0,10.0,11.0,90.9,12.0,13.0,92.3,1.0,1.0,100.0,0.0,3.0,1.0,0.0,26.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,5.0,2.0,18.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,20.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,17.0,23.0,6.0,39.0,0.0,0.0,0.0,130.0,49.0,2.0,0.0,3.0,1.0,48.0,32.0,66.7,10.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,57.1
3,Simon Banza,23.0,fr FRA,FW,24-037,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,0.0,3.0,0.0,0.0,1.0,49.0,0.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,4.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
4,Gaël Kakuta,10.0,cd COD,AM,29-090,86.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,70.0,26.0,2.0,1.0,0.0,1.2,0.4,1.0,10.0,0.0,42.0,58.0,72.4,4.0,49.0,9.0,4.0,4.0,704.0,245.0,24.0,28.0,85.7,12.0,17.0,70.6,6.0,13.0,46.2,5.0,2.0,1.0,0.0,47.0,11.0,5.0,0.0,9.0,3.0,1.0,6.0,4.0,1.0,1.0,41.0,5.0,12.0,48.0,7.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,10.0,38.5,4.0,10.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,42.0,32.0,6.0,58.0,100.0,4.0,1.0,215.0,153.0,5.0,3.0,4.0,2.0,56.0,43.0,76.8,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,4.0,33.3
5,Tony Mauricio,22.0,fr FRA,AM,26-181,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,90.0,0.0,9.0,0.0,0.0,0.0,161.0,11.0,5.0,5.0,100.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,9.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,11.0,8.0,72.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Cheick Doucouré,28.0,ml MLI,DM,20-255,62.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,38.0,15.0,1.0,3.0,0.0,0.1,0.1,0.1,3.0,0.0,25.0,28.0,89.3,2.0,34.0,6.0,3.0,5.0,511.0,87.0,12.0,14.0,85.7,8.0,8.0,100.0,4.0,4.0,100.0,1.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,46.7,3.0,8.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,29.0,12.0,1.0,38.0,60.0,3.0,0.0,169.0,81.0,1.0,0.0,0.0,1.0,31.0,29.0,93.5,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0
7,Seko Fofana,8.0,ci CIV,DM,25-135,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,47.0,97.9,3.0,47.0,1.0,1.0,1.0,782.0,138.0,22.0,23.0,95.7,22.0,22.0,100.0,2.0,2.0,100.0,1.0,1.0,1.0,0.0,47.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,1.0,7.0,39.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,39.0,4.0,0.0,48.0,100.0,1.0,0.0,88.0,29.0,1.0,0.0,1.0,0.0,48.0,47.0,97.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Yannick Cahuzac,18.0,fr FRA,DM,35-245,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,6.0,1.0,0.0,2.0,0.0,0.0,0.2,2.0,0.0,40.0,46.0,87.0,3.0,30.0,4.0,1.0,1.0,688.0,98.0,20.0,22.0,90.9,14.0,17.0,82.4,5.0,5.0,100.0,2.0,2.0,2.0,0.0,41.0,5.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,8.0,6.0,5.0,35.0,4.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,1.0,3.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,5.0,38.0,11.0,0.0,47.0,100.0,1.0,0.0,151.0,82.0,1.0,0.0,0.0,0.0,35.0,33.0,94.3,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
9,Issiaga Sylla,3.0,gn GUI,WB,26-262,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,55.0,13.0,2.0,1.0,0.0,0.3,0.3,0.0,2.0,0.0,42.0,50.0,84.0,5.0,34.0,7.0,0.0,0.0,710.0,179.0,22.0,22.0,100.0,16.0,22.0,72.7,4.0,5.0,80.0,1.0,0.0,1.0,0.0,39.0,11.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,30.0,13.0,7.0,36.0,2.0,1.0,11.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,30.8,4.0,7.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,28.0,28.0,2.0,44.0,0.0,0.0,0.0,206.0,118.0,8.0,0.0,0.0,0.0,38.0,34.0,89.5,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
