,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gaël Kakuta,10.0,cd COD,FW,29-174,90.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,71.0,18.0,3.0,1.0,2.0,1.0,0.2,0.1,5.0,1.0,39.0,52.0,75.0,5.0,40.0,5.0,3.0,6.0,699.0,200.0,17.0,19.0,89.5,15.0,19.0,78.9,6.0,11.0,54.5,2.0,3.0,1.0,0.0,48.0,4.0,1.0,0.0,10.0,1.0,2.0,1.0,1.0,0.0,0.0,39.0,6.0,7.0,41.0,8.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,5.6,6.0,9.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,5.0,36.0,32.0,4.0,65.0,50.0,4.0,0.0,204.0,67.0,0.0,0.0,5.0,2.0,64.0,51.0,79.7,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,50.0
1,Arnaud Kalimuendo,29.0,fr FRA,LW,18-326,68.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,16.0,22.0,72.7,2.0,21.0,5.0,2.0,4.0,266.0,32.0,8.0,11.0,72.7,7.0,8.0,87.5,1.0,2.0,50.0,0.0,1.0,1.0,0.0,21.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,4.0,5.0,15.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,50.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,18.0,5.0,29.0,50.0,4.0,0.0,123.0,75.0,1.0,2.0,3.0,1.0,44.0,26.0,59.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
2,Ignatius Ganago,9.0,cm CMR,LW,21-300,22.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.1,0.1,0.2,2.0,0.0,8.0,9.0,88.9,0.0,4.0,1.0,0.0,0.0,80.0,0.0,5.0,6.0,83.3,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,3.0,12.0,0.0,0.0,0.0,19.0,15.0,0.0,0.0,2.0,1.0,21.0,12.0,57.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.3
3,Florian Sotoca,7.0,fr FRA,RW,30-048,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,13.0,0.0,0.0,3.0,0.0,0.0,0.3,4.0,0.0,30.0,37.0,81.1,3.0,29.0,5.0,0.0,2.0,478.0,100.0,16.0,20.0,80.0,8.0,9.0,88.9,4.0,6.0,66.7,2.0,2.0,0.0,0.0,37.0,0.0,0.0,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,4.0,14.0,1.0,29.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,15.4,0.0,8.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,25.0,30.0,9.0,51.0,0.0,0.0,0.0,170.0,92.0,4.0,0.0,1.0,5.0,70.0,44.0,62.9,20.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,33.3
4,Seko Fofana,8.0,ci CIV,DM,25-219,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,45.0,50.0,90.0,5.0,32.0,4.0,0.0,0.0,719.0,169.0,23.0,26.0,88.5,14.0,15.0,93.3,4.0,5.0,80.0,0.0,2.0,0.0,0.0,48.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,5.0,12.0,34.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,16.7,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,35.0,19.0,1.0,54.0,0.0,0.0,0.0,215.0,80.0,3.0,0.0,1.0,0.0,51.0,44.0,86.3,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8.0,3.0,1.0,75.0
5,Yannick Cahuzac,18.0,fr FRA,DM,35-329,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,49.0,13.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,42.0,46.0,91.3,4.0,32.0,8.0,0.0,0.0,764.0,185.0,18.0,18.0,100.0,21.0,24.0,87.5,3.0,4.0,75.0,1.0,6.0,0.0,0.0,43.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,2.0,10.0,4.0,38.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,15.4,2.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,38.0,6.0,0.0,46.0,0.0,0.0,0.0,234.0,166.0,1.0,0.0,0.0,0.0,39.0,35.0,89.7,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
6,Issiaga Sylla,3.0,gn GUI,WB,26-346,76.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,49.0,11.0,2.0,0.0,1.0,0.0,0.0,0.1,3.0,0.0,31.0,41.0,75.6,3.0,24.0,2.0,2.0,2.0,472.0,137.0,15.0,19.0,78.9,15.0,17.0,88.2,0.0,4.0,0.0,3.0,1.0,1.0,0.0,30.0,11.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,18.0,12.0,11.0,23.0,6.0,2.0,9.0,0.0,0.0,2.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,5.0,45.5,2.0,5.0,4.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,7.0,19.0,24.0,1.0,38.0,100.0,2.0,0.0,108.0,57.0,0.0,0.0,2.0,1.0,32.0,26.0,81.3,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,50.0
7,Clément Michelin,13.0,fr FRA,WB,23-215,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,12.0,18.0,66.7,1.0,9.0,1.0,0.0,0.0,258.0,120.0,4.0,6.0,66.7,6.0,7.0,85.7,2.0,5.0,40.0,0.0,1.0,1.0,0.0,11.0,7.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,0.0,0.0,4.0,3.0,11.0,1.0,10.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,10.0,10.0,0.0,14.0,0.0,0.0,0.0,60.0,44.0,0.0,0.0,1.0,1.0,12.0,12.0,100.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,100.0
8,Jonathan Clauss,11.0,fr FRA,WB,28-078,76.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.0,6.0,3.0,0.0,2.0,0.0,0.0,0.4,3.0,0.0,32.0,46.0,69.6,1.0,28.0,4.0,1.0,2.0,687.0,210.0,11.0,13.0,84.6,17.0,23.0,73.9,4.0,9.0,44.4,2.0,0.0,2.0,2.0,35.0,11.0,2.0,0.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,25.0,7.0,14.0,6.0,31.0,1.0,8.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,66.7,1.0,1.0,16.7,2.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,7.0,16.0,33.0,1.0,43.0,50.0,1.0,0.0,160.0,110.0,2.0,1.0,1.0,0.0,35.0,32.0,91.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
9,Ismaëlben Boura,33.0,fr FRA,WB,20-120,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,5.0,8.0,62.5,1.0,5.0,0.0,0.0,0.0,114.0,42.0,1.0,2.0,50.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,3.0,1.0,11.0,0.0,0.0,0.0,38.0,30.0,0.0,0.0,1.0,1.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,100.0
