,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Luis Suárez,9.0,uy URU,FW,34-024,90.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,37.0,14.0,1.0,1.0,0.0,0.2,0.2,0.1,3.0,0.0,15.0,23.0,65.2,2.0,28.0,2.0,0.0,2.0,221.0,54.0,11.0,14.0,78.6,3.0,4.0,75.0,1.0,3.0,33.3,1.0,2.0,2.0,0.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,4.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,21.4,0.0,2.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,27.0,13.0,37.0,0.0,0.0,0.0,56.0,22.0,0.0,2.0,3.0,1.0,62.0,32.0,51.6,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0
1,Ángel Correa,10.0,ar ARG,"FW,AM",25-345,80.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,22.0,1.0,2.0,1.0,0.8,0.8,0.0,2.0,0.0,35.0,46.0,76.1,4.0,50.0,6.0,1.0,6.0,593.0,150.0,16.0,19.0,84.2,16.0,19.0,84.2,2.0,4.0,50.0,1.0,2.0,1.0,1.0,43.0,3.0,0.0,0.0,5.0,1.0,2.0,1.0,0.0,0.0,0.0,34.0,6.0,6.0,11.0,35.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,27.3,1.0,7.0,14.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,23.0,40.0,7.0,59.0,16.7,2.0,0.0,160.0,91.0,3.0,1.0,2.0,2.0,60.0,43.0,71.7,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
2,Vitolo,20.0,es ESP,AM,31-107,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,5.0,1.0,0.0,0.0,51.0,10.0,1.0,2.0,50.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,6.0,0.0,0.0,0.0,22.0,6.0,0.0,0.0,0.0,0.0,5.0,4.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Saúl Ñíguez,8.0,es ESP,"CM,WB,AM",26-088,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,63.0,32.0,5.0,1.0,4.0,0.1,0.1,0.3,5.0,0.0,41.0,48.0,85.4,6.0,46.0,2.0,0.0,2.0,591.0,108.0,26.0,31.0,83.9,11.0,12.0,91.7,3.0,4.0,75.0,5.0,2.0,2.0,0.0,46.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,38.0,6.0,4.0,31.0,13.0,3.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,3.0,1.0,1.0,3.0,33.3,2.0,9.0,28.1,5.0,13.0,14.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,5.0,22.0,38.0,5.0,61.0,0.0,0.0,0.0,164.0,58.0,1.0,1.0,1.0,1.0,58.0,44.0,75.9,9.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
4,Marcos Llorente,14.0,es ESP,"WB,CM",26-018,90.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,62.0,22.0,3.0,2.0,2.0,0.1,0.1,0.1,5.0,0.0,43.0,51.0,84.3,2.0,51.0,4.0,5.0,6.0,752.0,182.0,20.0,23.0,87.0,18.0,20.0,90.0,5.0,6.0,83.3,2.0,0.0,2.0,2.0,46.0,5.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,33.0,9.0,9.0,2.0,39.0,3.0,5.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,36.4,1.0,14.0,7.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,6.0,27.0,34.0,2.0,58.0,83.3,5.0,0.0,341.0,190.0,3.0,0.0,0.0,2.0,54.0,46.0,85.2,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,100.0
5,Koke,6.0,es ESP,DM,29-040,80.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,16.0,1.0,2.0,3.0,0.0,0.0,0.1,3.0,1.0,61.0,71.0,85.9,7.0,58.0,2.0,2.0,3.0,1191.0,318.0,22.0,26.0,84.6,27.0,28.0,96.4,11.0,13.0,84.6,2.0,6.0,3.0,1.0,67.0,4.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,52.0,12.0,7.0,5.0,64.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,7.0,43.8,4.0,9.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,8.0,52.0,21.0,2.0,76.0,66.7,3.0,0.0,141.0,48.0,0.0,0.0,2.0,1.0,55.0,53.0,96.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,100.0
6,Lucas Torreira,5.0,uy URU,DM,25-006,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,5.0,1.0,0.0,0.0,72.0,20.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,33.3,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,22.0,21.0,1.0,0.0,0.0,0.0,6.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Yannick Carrasco,21.0,be BEL,WB,27-166,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,26.0,39.0,66.7,5.0,35.0,7.0,1.0,4.0,435.0,165.0,11.0,15.0,73.3,14.0,19.0,73.7,1.0,5.0,20.0,0.0,0.0,3.0,0.0,31.0,8.0,1.0,0.0,2.0,1.0,3.0,4.0,3.0,0.0,0.0,25.0,7.0,7.0,6.0,29.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,70.0,1.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,42.0,4.0,40.0,25.0,1.0,0.0,162.0,78.0,4.0,0.0,1.0,1.0,44.0,33.0,75.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
8,João Félix,7.0,pt POR,AM,21-099,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,55.6,0.0,12.0,1.0,0.0,0.0,93.0,50.0,4.0,7.0,57.1,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,0.0,13.0,0.0,0.0,0.0,32.0,15.0,1.0,0.0,2.0,1.0,11.0,11.0,100.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
9,Šime Vrsaljko,24.0,hr CRO,WB,29-038,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,42.0,71.4,1.0,34.0,5.0,1.0,1.0,482.0,129.0,17.0,19.0,89.5,11.0,15.0,73.3,2.0,7.0,28.6,0.0,1.0,1.0,1.0,35.0,7.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,23.0,7.0,12.0,3.0,31.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,18.0,26.0,0.0,36.0,100.0,1.0,0.0,127.0,47.0,2.0,0.0,0.0,0.0,33.0,32.0,97.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
