,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Alexander Isak,19.0,se SWE,FW,21-089,90.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,37.0,11.0,1.0,0.0,2.0,0.3,0.3,0.0,3.0,0.0,19.0,22.0,86.4,1.0,17.0,3.0,0.0,2.0,291.0,28.0,11.0,11.0,100.0,2.0,4.0,50.0,4.0,4.0,100.0,1.0,1.0,0.0,0.0,20.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,2.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,2.0,18.2,0.0,3.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,20.0,18.0,7.0,33.0,0.0,0.0,0.0,127.0,90.0,1.0,2.0,4.0,1.0,45.0,25.0,55.6,8.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,75.0
1,Portu,7.0,es ESP,FW,28-212,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,0.0,8.0,14.0,57.1,2.0,9.0,1.0,0.0,0.0,119.0,34.0,5.0,8.0,62.5,3.0,5.0,60.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,16.7,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,7.0,16.0,0.0,0.0,0.0,42.0,23.0,1.0,0.0,1.0,0.0,39.0,12.0,30.8,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0
2,Willian José,9.0,br BRA,FW,29-026,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,71.4,0.0,7.0,0.0,1.0,1.0,50.0,20.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,6.0,100.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,71.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,Ander Barrenetxea,22.0,es ESP,LM,18-358,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,9.0,0.0,0.0,1.0,0.0,0.0,0.4,4.0,0.0,17.0,24.0,70.8,4.0,37.0,9.0,4.0,5.0,233.0,62.0,12.0,14.0,85.7,5.0,8.0,62.5,0.0,1.0,0.0,2.0,0.0,3.0,0.0,24.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,1.0,5.0,4.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,44.4,2.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,18.0,24.0,2.0,40.0,80.0,5.0,0.0,239.0,143.0,5.0,1.0,3.0,6.0,41.0,28.0,68.3,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0
4,Nacho Monreal,20.0,es ESP,LM,34-297,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,0.0,3.0,1.0,0.0,0.0,36.0,1.0,3.0,3.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,7.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,1.0,0.0,7.0,5.0,71.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,Mikel Merino,8.0,es ESP,CM,24-180,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57.0,15.0,3.0,2.0,5.0,0.1,0.1,0.0,0.0,0.0,35.0,39.0,89.7,4.0,35.0,4.0,2.0,2.0,688.0,210.0,18.0,19.0,94.7,10.0,12.0,83.3,6.0,7.0,85.7,0.0,7.0,1.0,0.0,39.0,0.0,0.0,0.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,21.0,8.0,10.0,31.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,5.0,33.3,4.0,8.0,3.0,2.0,0.0,3.0,5.0,0.0,0.0,3.0,10.0,31.0,20.0,3.0,57.0,100.0,2.0,0.0,154.0,72.0,2.0,0.0,1.0,0.0,45.0,38.0,84.4,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,60.0
6,Ander Guevara,16.0,es ESP,CM,23-165,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,45.0,86.7,3.0,28.0,4.0,0.0,0.0,790.0,160.0,13.0,13.0,100.0,17.0,22.0,77.3,8.0,9.0,88.9,0.0,4.0,0.0,0.0,45.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,6.0,10.0,6.0,35.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,15.0,32.0,5.0,0.0,49.0,0.0,0.0,0.0,164.0,79.0,0.0,0.0,0.0,0.0,34.0,31.0,91.2,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,100.0
7,Martín Zubimendi,36.0,es ESP,CM,21-321,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,16.0,87.5,1.0,10.0,3.0,0.0,0.0,339.0,102.0,5.0,7.0,71.4,4.0,4.0,100.0,4.0,4.0,100.0,0.0,1.0,1.0,0.0,14.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0,5.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,8.0,5.0,1.0,16.0,0.0,0.0,0.0,71.0,50.0,0.0,0.0,0.0,0.0,14.0,13.0,92.9,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0
8,Martín Merquelanz,17.0,es ESP,RM,25-190,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,65.0,2.0,0.0,0.0,0.0,0.6,0.6,0.1,4.0,0.0,32.0,53.0,60.4,1.0,48.0,8.0,1.0,1.0,655.0,165.0,15.0,16.0,93.8,10.0,17.0,58.8,6.0,14.0,42.9,1.0,3.0,0.0,0.0,44.0,9.0,5.0,0.0,4.0,5.0,3.0,4.0,3.0,1.0,0.0,31.0,8.0,14.0,46.0,5.0,1.0,0.0,1.0,1.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,31.0,37.0,3.0,57.0,100.0,1.0,0.0,264.0,160.0,4.0,0.0,1.0,4.0,55.0,49.0,89.1,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
9,Aihen Muñoz,12.0,es ESP,LB,23-125,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,12.0,2.0,0.0,1.0,0.0,0.0,0.1,2.0,1.0,30.0,48.0,62.5,2.0,26.0,5.0,1.0,1.0,707.0,369.0,8.0,9.0,88.9,15.0,22.0,68.2,7.0,15.0,46.7,1.0,1.0,1.0,0.0,34.0,14.0,1.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,13.0,8.0,27.0,21.0,8.0,6.0,13.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,17.0,21.0,18.0,1.0,40.0,100.0,1.0,0.0,163.0,95.0,0.0,1.0,0.0,1.0,29.0,27.0,93.1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
