,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Jonathan David,9.0,ca CAN,FW,21-045,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,13.0,0.0,1.0,0.0,0.2,0.2,0.0,1.0,0.0,13.0,18.0,72.2,1.0,22.0,2.0,0.0,1.0,140.0,10.0,11.0,15.0,73.3,2.0,3.0,66.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,4.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,38.5,1.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,21.0,6.0,28.0,0.0,0.0,0.0,69.0,33.0,0.0,1.0,4.0,2.0,52.0,24.0,46.2,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,25.0
1,Jonathan Ikone,10.0,fr FRA,FW,22-302,90.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,62.0,18.0,1.0,0.0,0.0,0.3,0.3,0.1,7.0,0.0,40.0,51.0,78.4,5.0,48.0,7.0,6.0,7.0,620.0,142.0,18.0,24.0,75.0,14.0,17.0,82.4,4.0,5.0,80.0,2.0,2.0,3.0,0.0,47.0,4.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,4.0,41.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,44.4,3.0,3.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,20.0,40.0,5.0,58.0,85.7,6.0,1.0,187.0,105.0,0.0,1.0,2.0,3.0,71.0,50.0,70.4,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0,25.0
2,Jonathan Bamba,7.0,fr FRA,LM,24-339,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,45.0,63.0,71.4,1.0,43.0,3.0,3.0,5.0,739.0,148.0,26.0,29.0,89.7,13.0,18.0,72.2,5.0,15.0,33.3,2.0,6.0,0.0,0.0,49.0,14.0,4.0,0.0,11.0,4.0,3.0,6.0,2.0,4.0,0.0,38.0,12.0,13.0,5.0,52.0,1.0,4.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,50.0,1.0,4.0,57.1,1.0,4.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,7.0,26.0,40.0,0.0,60.0,60.0,4.0,0.0,185.0,73.0,0.0,0.0,1.0,4.0,65.0,53.0,81.5,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,50.0
3,Timothy Weah,22.0,us USA,LM,21-006,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,4.0,0.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,8.0,14.0,57.1,1.0,11.0,1.0,0.0,1.0,112.0,53.0,6.0,6.0,100.0,2.0,3.0,66.7,0.0,3.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,0.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,14.0,1.0,15.0,0.0,0.0,0.0,29.0,16.0,0.0,0.0,0.0,0.0,13.0,10.0,76.9,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
4,Luiz Araújo,11.0,br BRA,RM,24-271,59.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,20.0,70.0,2.0,21.0,1.0,2.0,4.0,247.0,93.0,5.0,8.0,62.5,8.0,9.0,88.9,1.0,2.0,50.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,2.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,6.0,35.3,2.0,8.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,11.0,16.0,1.0,32.0,50.0,2.0,0.0,70.0,36.0,0.0,0.0,3.0,2.0,29.0,22.0,75.9,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
5,Yusuf Yazıcı,12.0,tr TUR,RM,24-030,31.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,2.0,0.0,12.0,18.0,66.7,3.0,15.0,3.0,1.0,2.0,298.0,122.0,4.0,5.0,80.0,5.0,7.0,71.4,3.0,6.0,50.0,2.0,2.0,1.0,0.0,13.0,5.0,2.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,9.0,0.0,9.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,75.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,0.0,16.0,50.0,1.0,0.0,55.0,33.0,0.0,0.0,0.0,0.0,22.0,15.0,68.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,Boubakary Soumaré,24.0,fr FRA,DM,22-001,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,59.0,66.0,89.4,9.0,48.0,6.0,1.0,1.0,1136.0,361.0,24.0,24.0,100.0,24.0,28.0,85.7,9.0,12.0,75.0,0.0,11.0,0.0,0.0,65.0,1.0,1.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,54.0,6.0,6.0,15.0,47.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,54.0,8.0,0.0,68.0,100.0,1.0,0.0,224.0,111.0,0.0,0.0,0.0,1.0,60.0,57.0,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,33.3
7,Xeka,8.0,pt POR,DM,26-110,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.0,28.0,82.1,4.0,25.0,3.0,0.0,0.0,531.0,154.0,6.0,7.0,85.7,13.0,16.0,81.3,3.0,4.0,75.0,1.0,6.0,0.0,0.0,26.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,3.0,4.0,23.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,5.0,20.0,4.0,6.0,42.9,6.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,16.0,12.0,2.0,30.0,0.0,0.0,0.0,156.0,96.0,1.0,1.0,1.0,1.0,23.0,22.0,95.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0
8,Benjamin André,21.0,fr FRA,DM,30-209,90.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,98.0,28.0,4.0,2.0,0.0,0.0,0.0,0.1,2.0,1.0,66.0,81.0,81.5,13.0,68.0,8.0,2.0,4.0,1331.0,449.0,32.0,38.0,84.2,20.0,24.0,83.3,14.0,16.0,87.5,2.0,12.0,2.0,1.0,80.0,1.0,0.0,0.0,18.0,3.0,3.0,0.0,0.0,0.0,0.0,58.0,10.0,13.0,9.0,63.0,4.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,7.0,14.3,6.0,15.0,53.6,11.0,14.0,3.0,0.0,0.0,0.0,6.0,2.0,0.0,1.0,14.0,55.0,33.0,4.0,97.0,50.0,2.0,0.0,297.0,145.0,2.0,0.0,2.0,3.0,87.0,77.0,88.5,10.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,3.0,6.0,33.3
9,Reinildo Mandava,28.0,mz MOZ,LB,27-038,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,15.0,3.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,72.0,84.0,85.7,12.0,65.0,10.0,1.0,1.0,1184.0,403.0,37.0,39.0,94.9,28.0,30.0,93.3,5.0,12.0,41.7,0.0,4.0,2.0,1.0,76.0,8.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,57.0,14.0,13.0,62.0,11.0,2.0,8.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,25.0,3.0,4.0,26.7,6.0,6.0,3.0,1.0,0.0,3.0,5.0,1.0,0.0,4.0,20.0,40.0,45.0,1.0,90.0,100.0,1.0,0.0,301.0,196.0,5.0,0.0,0.0,3.0,73.0,67.0,91.8,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,6.0,25.0
