,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Joelinton,9.0,br BRA,FW,24-253,59.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,17.0,1.0,1.0,1.0,0.2,0.2,0.0,1.0,0.0,12.0,18.0,66.7,2.0,15.0,5.0,0.0,2.0,188.0,45.0,6.0,9.0,66.7,5.0,7.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,2.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,29.4,6.0,8.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0,19.0,8.0,6.0,29.0,0.0,0.0,0.0,109.0,60.0,1.0,2.0,5.0,0.0,33.0,21.0,63.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,85.7
1,Callum Wilson,13.0,eng ENG,FW,29-056,31.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,2.0,2.0,100.0,0.0,6.0,2.0,0.0,0.0,32.0,3.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,2.0,6.0,0.0,0.0,0.0,40.0,30.0,1.0,1.0,3.0,0.0,13.0,5.0,38.5,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Allan Saint-Maximin,10.0,fr FRA,FW,24-043,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.0,20.0,30.0,66.7,4.0,47.0,7.0,6.0,10.0,321.0,86.0,13.0,16.0,81.3,5.0,8.0,62.5,2.0,5.0,40.0,1.0,4.0,0.0,0.0,29.0,1.0,0.0,0.0,12.0,1.0,4.0,0.0,0.0,0.0,0.0,21.0,7.0,2.0,4.0,25.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,26.7,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,31.0,14.0,3.0,44.0,60.0,8.0,0.0,245.0,136.0,2.0,1.0,1.0,7.0,40.0,31.0,77.5,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0
3,Jonjo Shelvey,8.0,eng ENG,"CM,CB",29-056,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,13.0,1.0,1.0,2.0,0.0,0.0,0.3,3.0,0.0,36.0,47.0,76.6,3.0,33.0,3.0,0.0,0.0,933.0,285.0,12.0,13.0,92.3,10.0,12.0,83.3,14.0,22.0,63.6,2.0,4.0,4.0,1.0,46.0,1.0,1.0,1.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,26.0,7.0,14.0,5.0,42.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,23.1,5.0,6.0,2.0,1.0,0.0,1.0,2.0,4.0,0.0,9.0,34.0,21.0,4.0,0.0,53.0,0.0,0.0,0.0,176.0,89.0,0.0,0.0,0.0,0.0,34.0,32.0,94.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,100.0
4,Miguel Almirón,24.0,py PAR,CM,27-073,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,95.5,2.0,26.0,0.0,1.0,4.0,417.0,171.0,10.0,10.0,100.0,8.0,8.0,100.0,3.0,4.0,75.0,0.0,0.0,1.0,0.0,19.0,3.0,0.0,0.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,15.0,2.0,5.0,18.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,20.0,2.0,4.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,14.0,11.0,9.0,0.0,29.0,25.0,1.0,0.0,122.0,32.0,0.0,0.0,1.0,2.0,31.0,20.0,64.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0
5,Dwight Gayle,12.0,eng ENG,CM,30-189,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,2.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Sean Longstaff,36.0,eng ENG,DM,23-176,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,44.0,37.0,4.0,1.0,2.0,0.3,0.3,0.2,2.0,0.0,23.0,32.0,71.9,1.0,27.0,1.0,0.0,0.0,450.0,86.0,11.0,11.0,100.0,9.0,12.0,75.0,3.0,8.0,37.5,1.0,1.0,0.0,0.0,29.0,3.0,1.0,0.0,11.0,3.0,0.0,2.0,2.0,0.0,0.0,21.0,2.0,9.0,4.0,27.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,7.0,28.6,5.0,8.0,21.6,14.0,22.0,1.0,0.0,0.0,2.0,5.0,2.0,0.0,2.0,17.0,22.0,6.0,1.0,42.0,0.0,0.0,0.0,127.0,54.0,0.0,0.0,0.0,2.0,28.0,26.0,92.9,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
7,Matt Ritchie,11.0,sct SCO,WB,31-226,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,9.0,1.0,2.0,2.0,0.0,0.0,0.1,2.0,0.0,29.0,36.0,80.6,2.0,29.0,3.0,1.0,1.0,547.0,247.0,14.0,16.0,87.5,9.0,9.0,100.0,5.0,10.0,50.0,1.0,1.0,2.0,1.0,32.0,4.0,2.0,0.0,16.0,1.0,4.0,0.0,0.0,0.0,0.0,22.0,5.0,9.0,26.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,33.3,6.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,12.0,18.0,12.0,1.0,37.0,100.0,1.0,0.0,169.0,101.0,1.0,0.0,0.0,0.0,25.0,25.0,100.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
8,Jacob Murphy,23.0,eng ENG,WB,26-059,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,23.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,36.0,46.0,78.3,2.0,43.0,7.0,4.0,5.0,560.0,339.0,17.0,18.0,94.4,17.0,23.0,73.9,2.0,4.0,50.0,0.0,2.0,0.0,0.0,38.0,8.0,0.0,0.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,28.0,13.0,5.0,5.0,32.0,1.0,8.0,0.0,1.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,4.0,5.0,80.0,1.0,12.0,52.2,15.0,8.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,1.0,23.0,26.0,14.0,1.0,50.0,80.0,5.0,0.0,224.0,141.0,1.0,1.0,1.0,1.0,35.0,34.0,97.1,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0
9,Paul Dummett,3.0,wls WAL,CB,29-210,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,11.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,24.0,28.0,85.7,2.0,21.0,0.0,0.0,0.0,574.0,320.0,4.0,4.0,100.0,14.0,14.0,100.0,5.0,9.0,55.6,0.0,2.0,1.0,0.0,28.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,8.0,25.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,18.2,11.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,10.0,34.0,10.0,1.0,0.0,41.0,0.0,0.0,0.0,114.0,83.0,0.0,0.0,0.0,0.0,27.0,27.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
