,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Gabriel Jesus,9.0,br BRA,FW,23-316,78.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,44.0,12.0,1.0,0.0,1.0,0.4,0.4,0.0,3.0,1.0,30.0,32.0,93.8,2.0,36.0,5.0,1.0,1.0,431.0,34.0,21.0,22.0,95.5,8.0,9.0,88.9,1.0,1.0,100.0,0.0,2.0,2.0,0.0,31.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,1.0,5.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0,16.7,2.0,4.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,23.0,21.0,5.0,43.0,100.0,1.0,0.0,183.0,122.0,2.0,0.0,0.0,2.0,44.0,35.0,79.5,7.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
1,Riyad Mahrez,26.0,dz ALG,FW,29-358,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,80.0,0.0,11.0,2.0,2.0,3.0,59.0,18.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,1.0,9.0,66.7,2.0,0.0,49.0,45.0,1.0,0.0,0.0,2.0,7.0,7.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Raheem Sterling,7.0,eng ENG,"LW,RW",26-067,90.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,8.0,2.0,0.0,0.0,0.4,0.4,0.4,5.0,1.0,46.0,51.0,90.2,0.0,60.0,11.0,3.0,3.0,581.0,48.0,32.0,33.0,97.0,10.0,11.0,90.9,1.0,2.0,50.0,3.0,0.0,1.0,1.0,51.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,44.0,4.0,3.0,2.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,25.0,0.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,33.0,12.0,63.0,100.0,3.0,0.0,291.0,185.0,1.0,4.0,1.0,4.0,67.0,59.0,88.1,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
3,Phil Foden,47.0,eng ENG,"RW,LW",20-261,90.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,63.0,20.0,6.0,0.0,0.0,0.0,0.0,0.8,4.0,0.0,38.0,48.0,79.2,5.0,47.0,13.0,2.0,3.0,607.0,231.0,25.0,26.0,96.2,11.0,13.0,84.6,2.0,6.0,33.3,3.0,1.0,3.0,0.0,43.0,5.0,1.0,0.0,7.0,3.0,1.0,4.0,1.0,1.0,2.0,39.0,3.0,6.0,44.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,1.0,2.0,5.0,40.0,3.0,9.0,45.0,2.0,11.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,5.0,24.0,39.0,12.0,58.0,66.7,2.0,1.0,223.0,138.0,2.0,3.0,4.0,1.0,49.0,40.0,81.6,8.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0
4,İlkay Gündoğan,8.0,de GER,CM,30-112,68.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,59.0,10.0,0.0,0.0,1.0,1.2,1.2,0.1,5.0,3.0,45.0,53.0,84.9,4.0,52.0,5.0,1.0,1.0,589.0,81.0,31.0,32.0,96.9,11.0,13.0,84.6,1.0,3.0,33.3,1.0,0.0,4.0,0.0,51.0,2.0,2.0,0.0,10.0,1.0,3.0,0.0,0.0,0.0,0.0,39.0,10.0,4.0,17.0,35.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,25.0,36.0,9.0,58.0,100.0,1.0,0.0,191.0,91.0,3.0,2.0,0.0,0.0,61.0,54.0,88.5,5.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,100.0
5,Ferrán Torres,21.0,es ESP,CM,20-350,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,0.0,0.0,0.0,24.0,3.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,4.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,Bernardo Silva,20.0,pt POR,CM,26-187,90.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,76.0,14.0,0.0,2.0,0.0,0.1,0.1,0.0,0.0,0.0,62.0,69.0,89.9,2.0,70.0,10.0,3.0,6.0,1020.0,157.0,33.0,35.0,94.3,24.0,25.0,96.0,4.0,7.0,57.1,0.0,7.0,0.0,0.0,67.0,2.0,1.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,49.0,9.0,11.0,65.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,21.4,2.0,8.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,53.0,27.0,2.0,74.0,50.0,3.0,0.0,352.0,166.0,3.0,1.0,0.0,1.0,74.0,65.0,87.8,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
7,Rodri,16.0,es ESP,DM,24-236,90.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,98.0,23.0,6.0,0.0,3.0,0.8,0.1,0.1,3.0,0.0,83.0,87.0,95.4,7.0,76.0,5.0,1.0,1.0,1602.0,373.0,34.0,37.0,91.9,39.0,39.0,100.0,10.0,11.0,90.9,1.0,11.0,0.0,0.0,84.0,3.0,3.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,71.0,10.0,6.0,20.0,63.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,2.0,3.0,1.0,2.0,4.0,50.0,2.0,9.0,39.1,5.0,17.0,1.0,0.0,0.0,3.0,6.0,1.0,0.0,1.0,20.0,73.0,11.0,2.0,95.0,100.0,1.0,0.0,299.0,159.0,2.0,0.0,0.0,0.0,78.0,74.0,94.9,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,4.0,42.9
8,Oleksandr Zinchenko,11.0,ua UKR,LB,24-060,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,120.0,13.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,102.0,109.0,93.6,6.0,92.0,15.0,1.0,2.0,1622.0,441.0,57.0,60.0,95.0,39.0,40.0,97.5,5.0,7.0,71.4,0.0,7.0,0.0,0.0,104.0,5.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,11.0,8.0,88.0,14.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,2.0,5.0,8.0,62.5,3.0,4.0,30.8,3.0,6.0,4.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,27.0,74.0,27.0,1.0,115.0,50.0,1.0,0.0,434.0,231.0,3.0,1.0,0.0,1.0,91.0,89.0,97.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
9,Aymeric Laporte,14.0,es ESP,CB,26-262,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,63.0,70.0,90.0,1.0,58.0,4.0,0.0,0.0,1375.0,388.0,14.0,14.0,100.0,39.0,40.0,97.5,10.0,16.0,62.5,0.0,1.0,0.0,0.0,70.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,3.0,10.0,48.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,12.0,34.0,46.0,1.0,1.0,74.0,0.0,0.0,0.0,347.0,210.0,0.0,0.0,0.0,0.0,65.0,63.0,96.9,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,7.0,3.0,0.0,100.0
