,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Darío Benedetto,9.0,ar ARG,FW,30-244,90.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,45.0,8.0,1.0,1.0,1.0,0.8,0.8,0.2,4.0,1.0,25.0,32.0,78.1,0.0,28.0,1.0,1.0,3.0,442.0,68.0,14.0,16.0,87.5,8.0,10.0,80.0,3.0,6.0,50.0,1.0,1.0,2.0,2.0,29.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,22.0,3.0,7.0,4.0,27.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,2.0,25.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,15.0,29.0,6.0,42.0,33.3,1.0,0.0,96.0,20.0,0.0,1.0,3.0,2.0,58.0,35.0,60.3,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0
1,Dimitri Payet,10.0,fr FRA,LW,33-293,65.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,59.0,3.0,0.0,0.0,2.0,0.1,0.1,0.6,2.0,0.0,44.0,53.0,83.0,1.0,36.0,14.0,0.0,0.0,773.0,90.0,19.0,21.0,90.5,20.0,23.0,87.0,4.0,8.0,50.0,2.0,0.0,1.0,1.0,48.0,5.0,0.0,0.0,7.0,2.0,4.0,3.0,2.0,1.0,0.0,38.0,6.0,9.0,9.0,41.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,25.0,38.0,3.0,54.0,0.0,0.0,0.0,284.0,198.0,4.0,1.0,0.0,1.0,59.0,49.0,83.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2,Nemanja Radonjić,7.0,rs SRB,LW,24-336,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,27.3,1.0,10.0,2.0,1.0,2.0,48.0,33.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,5.0,3.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,14.0,50.0,1.0,0.0,50.0,23.0,1.0,0.0,0.0,0.0,15.0,8.0,53.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,Florian Thauvin,26.0,fr FRA,RW,27-356,65.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,47.0,3.0,0.0,0.0,0.0,1.0,0.2,0.2,2.0,0.0,24.0,40.0,60.0,2.0,34.0,8.0,2.0,5.0,397.0,108.0,14.0,20.0,70.0,9.0,12.0,75.0,1.0,8.0,12.5,2.0,1.0,1.0,1.0,35.0,5.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,0.0,23.0,6.0,11.0,36.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,31.0,4.0,43.0,40.0,3.0,1.0,178.0,94.0,1.0,1.0,1.0,0.0,47.0,40.0,85.1,7.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
4,Valère Germain,28.0,fr FRA,"AM,RW",30-274,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,80.0,0.0,2.0,0.0,0.0,0.0,83.0,0.0,1.0,2.0,50.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,4.0,57.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
5,Morgan Sanson,8.0,fr FRA,AM,26-151,64.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,12.0,2.0,1.0,0.0,0.1,0.1,0.0,1.0,0.0,19.0,26.0,73.1,1.0,26.0,2.0,0.0,1.0,355.0,86.0,9.0,11.0,81.8,7.0,9.0,77.8,3.0,3.0,100.0,0.0,3.0,1.0,1.0,25.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,1.0,1.0,7.0,17.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,25.0,3.0,4.0,33.3,2.0,3.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,20.0,12.0,1.0,32.0,0.0,1.0,0.0,107.0,39.0,0.0,0.0,0.0,2.0,39.0,28.0,71.8,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Mickaël Cuisance,17.0,fr FRA,"RW,AM",21-153,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,18.0,61.1,2.0,17.0,1.0,3.0,3.0,224.0,37.0,4.0,6.0,66.7,6.0,7.0,85.7,1.0,3.0,33.3,1.0,1.0,1.0,0.0,15.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,10.0,5.0,3.0,14.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,33.3,0.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,11.0,9.0,2.0,19.0,100.0,3.0,0.0,66.0,24.0,0.0,0.0,0.0,0.0,15.0,11.0,73.3,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
7,Boubacar Kamara,4.0,fr FRA,DM,21-054,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,95.7,2.0,21.0,0.0,0.0,0.0,512.0,121.0,6.0,6.0,100.0,11.0,11.0,100.0,5.0,6.0,83.3,0.0,5.0,0.0,0.0,23.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,2.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,100.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0,21.0,1.0,0.0,27.0,0.0,0.0,0.0,54.0,33.0,0.0,0.0,0.0,1.0,24.0,23.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Pape Gueye,22.0,sn SEN,DM,21-358,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,74.0,85.0,87.1,4.0,69.0,3.0,0.0,1.0,1651.0,308.0,22.0,22.0,100.0,36.0,39.0,92.3,16.0,22.0,72.7,0.0,13.0,0.0,0.0,85.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,65.0,4.0,16.0,76.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,40.0,0.0,4.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,16.0,79.0,10.0,0.0,94.0,0.0,0.0,0.0,427.0,214.0,2.0,0.0,0.0,1.0,86.0,82.0,95.3,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,60.0
9,Valentin Rongier,21.0,fr FRA,DM,26-040,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,116.0,11.0,7.0,3.0,3.0,0.2,0.2,0.0,3.0,0.0,94.0,100.0,94.0,9.0,71.0,7.0,1.0,1.0,1736.0,319.0,39.0,41.0,95.1,47.0,51.0,92.2,7.0,7.0,100.0,0.0,14.0,1.0,0.0,100.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,87.0,4.0,9.0,20.0,74.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,3.0,4.0,6.0,66.7,2.0,6.0,54.5,2.0,6.0,3.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,10.0,81.0,29.0,2.0,116.0,100.0,1.0,0.0,282.0,136.0,0.0,0.0,1.0,0.0,89.0,87.0,97.8,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,100.0
