,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Thierry Ambrose,9.0,gp GLP,FW,24-056,77.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,23.0,27.0,2.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,11.0,14.0,78.6,0.0,15.0,1.0,1.0,2.0,185.0,8.0,5.0,6.0,83.3,5.0,5.0,100.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,2.0,3.0,10.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.1,0.0,18.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,16.0,9.0,4.0,23.0,50.0,1.0,0.0,54.0,21.0,1.0,1.0,2.0,0.0,40.0,20.0,50.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
1,Vagner Gonçalves,27.0,cv CPV,"LW,FW",25-133,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,2.0,0.0,0.0,0.0,55.0,43.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,28.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2,Papa Ndiaga Yade,26.0,sn SEN,LW,21-138,77.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.0,14.0,1.0,1.0,0.0,0.0,0.0,0.2,4.0,0.0,13.0,20.0,65.0,2.0,18.0,8.0,1.0,2.0,143.0,33.0,9.0,9.0,100.0,3.0,5.0,60.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,20.0,0.0,0.0,1.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,12.0,1.0,7.0,15.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,21.4,2.0,6.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,6.0,23.0,2.0,30.0,50.0,1.0,0.0,164.0,141.0,1.0,2.0,2.0,1.0,34.0,20.0,58.8,6.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,66.7
3,Lamine Gueye,13.0,sn SEN,"FW,LW",23-071,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,5.0,2.0,0.0,0.0,116.0,21.0,2.0,2.0,100.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,1.0,8.0,0.0,0.0,0.0,57.0,41.0,0.0,1.0,1.0,0.0,7.0,6.0,85.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4,Farid Boulaya,10.0,dz ALG,RW,28-087,90.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,57.0,18.0,1.0,0.0,3.0,0.8,0.1,0.0,6.0,1.0,36.0,47.0,76.6,6.0,41.0,6.0,3.0,3.0,655.0,211.0,20.0,22.0,90.9,10.0,13.0,76.9,4.0,8.0,50.0,2.0,4.0,1.0,0.0,42.0,5.0,0.0,1.0,9.0,3.0,3.0,1.0,0.0,0.0,0.0,30.0,6.0,11.0,5.0,37.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,25.0,3.0,5.0,27.8,4.0,13.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,37.0,22.0,2.0,51.0,100.0,3.0,1.0,291.0,159.0,3.0,0.0,0.0,4.0,49.0,38.0,77.6,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
5,Pape Matar Sarr,15.0,sn SEN,CM,18-251,90.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,49.0,22.0,1.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,29.0,36.0,80.6,2.0,34.0,4.0,1.0,1.0,640.0,175.0,9.0,11.0,81.8,12.0,15.0,80.0,7.0,8.0,87.5,0.0,4.0,0.0,0.0,36.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,29.0,2.0,5.0,6.0,28.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,9.1,4.0,17.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,5.0,15.0,29.0,11.0,1.0,49.0,100.0,1.0,0.0,262.0,127.0,3.0,0.0,1.0,0.0,34.0,34.0,100.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,100.0
6,Habib Maïga,19.0,ci CIV,CM,25-142,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,32.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,41.0,85.4,2.0,31.0,2.0,0.0,1.0,666.0,201.0,15.0,17.0,88.2,13.0,15.0,86.7,6.0,7.0,85.7,0.0,6.0,0.0,0.0,40.0,1.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,7.0,6.0,2.0,34.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,4.0,12.5,8.0,22.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0,14.0,31.0,8.0,0.0,50.0,0.0,0.0,1.0,162.0,101.0,0.0,0.0,1.0,1.0,37.0,34.0,91.9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,50.0
7,Kévin N'Doram,4.0,fr FRA,DM,25-121,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,81.0,1.0,17.0,2.0,1.0,1.0,326.0,54.0,6.0,7.0,85.7,9.0,12.0,75.0,2.0,2.0,100.0,0.0,1.0,0.0,0.0,20.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,30.0,9.0,10.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,9.0,18.0,2.0,0.0,26.0,100.0,1.0,0.0,71.0,41.0,0.0,0.0,0.0,1.0,18.0,17.0,94.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,33.3
8,Thomas Delaine,17.0,fr FRA,LB,29-060,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,14.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,77.8,2.0,24.0,5.0,0.0,2.0,489.0,163.0,15.0,19.0,78.9,7.0,8.0,87.5,4.0,6.0,66.7,0.0,1.0,1.0,1.0,29.0,7.0,1.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,20.0,7.0,9.0,18.0,12.0,0.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,3.0,33.3,2.0,2.0,14.3,7.0,7.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,22.0,20.0,7.0,1.0,40.0,0.0,0.0,0.0,119.0,89.0,1.0,0.0,0.0,0.0,34.0,27.0,79.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
9,Matthieu Udol,3.0,fr FRA,LB,25-064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
