,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Vagner Gonçalves,27.0,cv CPV,FW,25-014,63.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,23.0,12.0,3.0,1.0,0.0,0.1,0.1,0.0,2.0,0.0,10.0,12.0,83.3,1.0,18.0,3.0,3.0,4.0,155.0,16.0,7.0,8.0,87.5,1.0,2.0,50.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,3.0,25.0,3.0,6.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,10.0,11.0,2.0,23.0,75.0,3.0,0.0,66.0,41.0,1.0,0.0,1.0,3.0,28.0,16.0,57.1,5.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0
1,Lamine Gueye,13.0,sn SEN,FW,22-317,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,8.0,75.0,1.0,10.0,0.0,0.0,0.0,70.0,27.0,4.0,4.0,100.0,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,66.7,1.0,2.0,28.6,1.0,4.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,7.0,3.0,0.0,12.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,1.0,15.0,8.0,53.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
2,Aaron Leya Iseka,24.0,be BEL,FW,23-070,63.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,16.0,6.0,1.0,0.0,1.0,0.3,0.3,0.0,0.0,0.0,8.0,12.0,66.7,0.0,7.0,0.0,0.0,1.0,105.0,8.0,6.0,8.0,75.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,3.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,10.0,5.0,1.0,16.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,32.0,13.0,40.6,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,40.0
3,Thierry Ambrose,9.0,gp GLP,FW,23-302,27.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,44.4,0.0,8.0,1.0,1.0,2.0,41.0,1.0,4.0,8.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,1.0,13.0,50.0,1.0,0.0,26.0,21.0,1.0,0.0,0.0,2.0,16.0,10.0,62.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,80.0
4,Farid Boulaya,10.0,dz ALG,AM,27-334,90.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,71.0,8.0,1.0,0.0,2.0,0.2,0.2,0.3,4.0,1.0,35.0,55.0,63.6,3.0,47.0,7.0,1.0,2.0,796.0,160.0,14.0,17.0,82.4,14.0,18.0,77.8,7.0,17.0,41.2,3.0,8.0,1.0,0.0,48.0,7.0,2.0,1.0,4.0,4.0,1.0,3.0,1.0,1.0,0.0,31.0,8.0,16.0,8.0,44.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,4.0,4.0,50.0,1.0,5.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,9.0,46.0,19.0,2.0,63.0,50.0,1.0,0.0,269.0,107.0,1.0,1.0,3.0,2.0,57.0,50.0,87.7,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,100.0
5,Pape Matar Sarr,15.0,sn SEN,DM,18-132,90.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,69.0,15.0,4.0,2.0,1.0,0.1,0.1,0.0,2.0,0.0,49.0,52.0,94.2,8.0,52.0,10.0,2.0,2.0,998.0,271.0,16.0,17.0,94.1,25.0,26.0,96.2,8.0,9.0,88.9,0.0,3.0,0.0,0.0,47.0,5.0,4.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,45.0,3.0,4.0,4.0,48.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,4.0,0.0,0.0,3.0,3.0,100.0,0.0,7.0,46.7,6.0,8.0,1.0,1.0,0.0,0.0,6.0,4.0,0.0,3.0,21.0,45.0,9.0,1.0,65.0,100.0,2.0,0.0,319.0,153.0,1.0,0.0,5.0,1.0,46.0,45.0,97.8,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0
6,Victorien Angban,5.0,ci CIV,DM,24-117,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,32.0,93.8,0.0,27.0,1.0,0.0,0.0,728.0,113.0,7.0,8.0,87.5,13.0,13.0,100.0,10.0,11.0,90.9,1.0,3.0,0.0,0.0,30.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,6.0,2.0,1.0,29.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,5.0,40.0,3.0,5.0,50.0,4.0,5.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,21.0,6.0,1.0,37.0,0.0,0.0,0.0,106.0,29.0,1.0,0.0,0.0,1.0,26.0,26.0,100.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
7,Mamadou Fofana,6.0,ml MLI,DM,23-003,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
8,Matthieu Udol,3.0,fr FRA,WB,24-310,90.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,42.0,5.0,0.0,0.0,4.0,0.1,0.1,0.0,1.0,0.0,28.0,35.0,80.0,2.0,27.0,8.0,1.0,1.0,445.0,173.0,14.0,16.0,87.5,13.0,14.0,92.9,1.0,4.0,25.0,1.0,2.0,1.0,1.0,29.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,22.0,8.0,5.0,26.0,3.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,3.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,9.0,22.0,14.0,1.0,36.0,100.0,1.0,0.0,183.0,136.0,1.0,1.0,0.0,0.0,28.0,28.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
9,Fabien Centonze,18.0,fr FRA,WB,25-008,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,5.0,2.0,0.0,1.0,0.0,0.0,0.1,3.0,1.0,37.0,44.0,84.1,0.0,36.0,12.0,1.0,4.0,532.0,165.0,24.0,25.0,96.0,12.0,13.0,92.3,1.0,5.0,20.0,1.0,1.0,1.0,1.0,37.0,7.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,29.0,5.0,10.0,5.0,32.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,40.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,0.0,2.0,19.0,29.0,16.0,0.0,53.0,25.0,1.0,0.0,355.0,227.0,2.0,0.0,1.0,1.0,44.0,38.0,86.4,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0
