,player,shirtnumber,nationality,position,age,minutes,goals,assists,pens_made,pens_att,shots_total,shots_on_target,cards_yellow,cards_red,touches,pressures,tackles,interceptions,blocks,xg,npxg,xa,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,dribbles_completed,dribbles,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_pressure,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_ground,passes_low,passes_high,passes_left_foot,passes_right_foot,passes_head,throw_ins,passes_other_body,passes_offsides,passes_oob,passes_intercepted,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,pressure_regains,pressure_regain_pct,pressures_def_3rd,pressures_mid_3rd,pressures_att_3rd,blocked_shots,blocked_shots_saves,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed_pct,players_dribbled_past,nutmegs,carry_distance,carry_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,pass_targets,passes_received,passes_received_pct,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
0,Zlatan Ibrahimović,11.0,se SWE,FW,39-036,90.0,1.0,0.0,0.0,1.0,13.0,3.0,0.0,0.0,63.0,4.0,0.0,0.0,0.0,1.7,0.9,0.1,9.0,1.0,34.0,46.0,73.9,8.0,29.0,6.0,0.0,0.0,571.0,267.0,16.0,19.0,84.2,14.0,21.0,66.7,3.0,3.0,100.0,1.0,5.0,3.0,2.0,43.0,3.0,0.0,0.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,18.0,7.0,8.0,27.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,75.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,44.0,18.0,58.0,0.0,0.0,0.0,168.0,101.0,3.0,0.0,1.0,2.0,80.0,52.0,65.0,16.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,6.0,12.0,6.0,66.7
1,Rafael Leão,17.0,pt POR,"LW,RW",21-151,77.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,41.0,6.0,1.0,0.0,0.0,0.2,0.2,0.0,4.0,0.0,19.0,29.0,65.5,6.0,39.0,7.0,3.0,3.0,328.0,95.0,8.0,11.0,72.7,9.0,15.0,60.0,1.0,1.0,100.0,1.0,2.0,3.0,0.0,29.0,0.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,20.0,3.0,6.0,3.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,18.0,25.0,7.0,41.0,100.0,3.0,0.0,243.0,118.0,2.0,3.0,2.0,4.0,49.0,36.0,73.5,10.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,16.7
2,Brahim Díaz,21.0,es ESP,RW,21-097,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,6.0,6.0,100.0,1.0,7.0,0.0,0.0,0.0,66.0,19.0,5.0,5.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,9.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,2.0,8.0,7.0,87.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
3,Alexis Saelemaekers,56.0,be BEL,RW,21-134,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,0.1,0.1,0.4,6.0,0.0,19.0,22.0,86.4,4.0,21.0,4.0,0.0,0.0,302.0,112.0,9.0,10.0,90.0,10.0,10.0,100.0,0.0,1.0,0.0,4.0,1.0,2.0,1.0,21.0,1.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,19.0,1.0,2.0,4.0,17.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,17.0,3.0,29.0,0.0,0.0,0.0,140.0,88.0,2.0,1.0,4.0,0.0,28.0,26.0,92.9,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,Ante Rebić,12.0,hr CRO,"LW,RW",27-048,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,6.0,0.0,0.0,2.0,0.0,0.0,0.5,2.0,0.0,11.0,13.0,84.6,0.0,16.0,4.0,0.0,2.0,144.0,77.0,8.0,8.0,100.0,3.0,3.0,100.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,13.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,4.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.7,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,3.0,20.0,0.0,0.0,0.0,64.0,37.0,2.0,1.0,0.0,1.0,23.0,16.0,69.6,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
5,Hakan Çalhanoğlu,10.0,tr TUR,AM,26-274,86.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,70.0,9.0,2.0,0.0,0.0,0.1,0.1,0.8,17.0,0.0,42.0,62.0,67.7,4.0,35.0,6.0,0.0,0.0,844.0,298.0,16.0,22.0,72.7,17.0,19.0,89.5,8.0,17.0,47.1,11.0,2.0,3.0,2.0,47.0,15.0,3.0,0.0,11.0,6.0,6.0,11.0,4.0,4.0,2.0,32.0,8.0,22.0,3.0,53.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,66.7,1.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,22.0,46.0,7.0,55.0,0.0,0.0,0.0,172.0,73.0,1.0,2.0,3.0,0.0,47.0,38.0,80.9,11.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,14.0,2.0,4.0,33.3
6,Jens Petter Hauge,15.0,no NOR,AM,21-027,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,4.0,0.0,0.0,0.0,37.0,13.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,57.1,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
7,Franck Kessié,79.0,ci CIV,DM,23-325,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,62.0,11.0,3.0,1.0,6.0,0.2,0.2,0.0,6.0,1.0,45.0,48.0,93.8,2.0,39.0,2.0,2.0,2.0,774.0,175.0,16.0,16.0,100.0,24.0,25.0,96.0,4.0,5.0,80.0,1.0,4.0,1.0,0.0,47.0,1.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,4.0,12.0,30.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,63.6,6.0,3.0,2.0,2.0,0.0,4.0,4.0,1.0,0.0,0.0,13.0,39.0,15.0,8.0,61.0,100.0,2.0,0.0,194.0,110.0,1.0,0.0,1.0,2.0,36.0,34.0,94.4,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,17.0,6.0,3.0,66.7
8,Ismaël Bennacer,4.0,dz ALG,DM,22-343,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,74.0,19.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,44.0,60.0,73.3,7.0,52.0,6.0,1.0,2.0,809.0,291.0,19.0,21.0,90.5,18.0,19.0,94.7,6.0,16.0,37.5,1.0,4.0,2.0,0.0,55.0,5.0,2.0,0.0,14.0,1.0,1.0,3.0,0.0,2.0,0.0,37.0,6.0,17.0,51.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,50.0,1.0,8.0,42.1,9.0,8.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,13.0,47.0,23.0,0.0,70.0,50.0,2.0,0.0,350.0,138.0,4.0,0.0,0.0,2.0,51.0,47.0,92.2,3.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,16.0,2.0,2.0,50.0
9,Theo Hernández,19.0,fr FRA,LB,23-033,90.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,74.0,5.0,1.0,0.0,0.0,0.7,0.7,0.2,6.0,0.0,61.0,68.0,89.7,12.0,52.0,9.0,2.0,2.0,1038.0,488.0,28.0,28.0,100.0,28.0,30.0,93.3,4.0,9.0,44.4,3.0,4.0,6.0,1.0,58.0,10.0,2.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,45.0,11.0,12.0,48.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,80.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,37.0,26.0,5.0,64.0,100.0,2.0,0.0,339.0,217.0,4.0,1.0,1.0,2.0,53.0,52.0,98.1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0,60.0
